,country,date,co2_quarterly
0,austria,2000-01,26394179.718000002
1,austria,2000-04,17164335.284
2,austria,2000-07,15404068.998
3,austria,2000-12,23024213.042
4,austria,2001-01,26736837.047
5,austria,2001-04,18678499.542
6,austria,2001-07,16157704.026999999
7,austria,2001-12,26304385.305
8,austria,2002-01,27176544.32
9,austria,2002-04,19101145.735
10,austria,2002-07,16719647.473000001
11,austria,2002-12,25423353.844
12,austria,2003-01,29303585.04
13,austria,2003-04,19599304.063
14,austria,2003-07,17927153.889
15,austria,2003-12,27256575.919
16,austria,2004-01,29548160.156
17,austria,2004-04,21235836.087
18,austria,2004-07,18086516.728
19,austria,2004-12,26643379.908
20,austria,2005-01,30486604.834
21,austria,2005-04,21412724.244
22,austria,2005-07,18753428.898000002
23,austria,2005-12,28268733.561
24,austria,2006-01,31748388.439999998
25,austria,2006-04,21440509.636
26,austria,2006-07,19047372.511
27,austria,2006-12,26893651.884999998
28,austria,2007-01,28506447.346
29,austria,2007-04,21028137.813
30,austria,2007-07,19781920.72
31,austria,2007-12,28964490.781000003
32,austria,2008-01,29712716.655
33,austria,2008-04,21494149.663000003
34,austria,2008-07,19727416.824
35,austria,2008-12,27871629.044999998
36,austria,2009-01,28728455.031
37,austria,2009-04,19780030.197
38,austria,2009-07,17601989.992
39,austria,2009-12,26768170.472000003
40,austria,2010-01,30343033.542
41,austria,2010-04,22062268.887000002
42,austria,2010-07,19671855.762
43,austria,2010-12,28902494.318
44,austria,2011-01,30385030.622
45,austria,2011-04,21986282.633
46,austria,2011-07,18871675.463
47,austria,2011-12,27559613.916
48,austria,2012-01,29514020.145000003
49,austria,2012-04,21072046.020999998
50,austria,2012-07,18561902.375
51,austria,2012-12,27652379.379
52,austria,2013-01,30267348.723
53,austria,2013-04,21534237.586
54,austria,2013-07,18846537.15
55,austria,2013-12,26904781.185000002
56,austria,2014-01,27202956.327
57,austria,2014-04,21151161.634999998
58,austria,2014-07,18721280.12
59,austria,2014-12,26350993.357
60,austria,2015-01,28516186.276999995
61,austria,2015-04,20979864.242
62,austria,2015-07,18872223.310000002
63,austria,2015-12,26999035.341
64,austria,2016-01,28278271.038000003
65,austria,2016-04,21345055.141999997
66,austria,2016-07,18373118.631
67,austria,2016-12,28414735.266
68,austria,2017-01,29148716.851
69,austria,2017-04,22263478.064999998
70,austria,2017-07,20000965.732
71,austria,2017-12,27264171.311
72,austria,2018-01,28802073.599
73,austria,2018-04,20678434.108
74,austria,2018-07,18612684.064
75,austria,2018-12,26399543.136
76,austria,2019-01,29311300.502
77,austria,2019-04,21104866.706
78,austria,2019-07,19124450.395999998
79,austria,2019-12,26720135.002
80,belgium,2000-01,39052229.15
81,belgium,2000-04,29230109.882
82,belgium,2000-07,25539225.522
83,belgium,2000-12,34727347.35
84,belgium,2001-01,37879464.9
85,belgium,2001-04,29675295.218
86,belgium,2001-07,26968825.213
87,belgium,2001-12,35342801.622
88,belgium,2002-01,35103513.160000004
89,belgium,2002-04,28522418.683
90,belgium,2002-07,24745674.018999998
91,belgium,2002-12,34134957.99
92,belgium,2003-01,37892070.1
93,belgium,2003-04,28808698.309
94,belgium,2003-07,25780680.597999997
95,belgium,2003-12,35638804.04
96,belgium,2004-01,37619820.29
97,belgium,2004-04,29006813.064
98,belgium,2004-07,25595340.855
99,belgium,2004-12,35349634.11
100,belgium,2005-01,37174010.17
101,belgium,2005-04,28106611.016000003
102,belgium,2005-07,24849449.419
103,belgium,2005-12,34009111.263
104,belgium,2006-01,38687125.72
105,belgium,2006-04,27424603.449
106,belgium,2006-07,24892455.61
107,belgium,2006-12,32207954.154
108,belgium,2007-01,34181557.620000005
109,belgium,2007-04,26827967.945
110,belgium,2007-07,24744341.274
111,belgium,2007-12,34533129.010000005
112,belgium,2008-01,35154776.83
113,belgium,2008-04,27877335.659
114,belgium,2008-07,25690844.247
115,belgium,2008-12,34542146.39
116,belgium,2009-01,34524871.05
117,belgium,2009-04,25451251.826
118,belgium,2009-07,24208797.64
119,belgium,2009-12,32291144.047
120,belgium,2010-01,37607893.93
121,belgium,2010-04,28848759.26
122,belgium,2010-07,25581358.097
123,belgium,2010-12,35291912.07
124,belgium,2011-01,34915975.67
125,belgium,2011-04,25931208.301999997
126,belgium,2011-07,23867489.248
127,belgium,2011-12,31900871.531999998
128,belgium,2012-01,34550460.16
129,belgium,2012-04,26423941.778
130,belgium,2012-07,23792600.213999998
131,belgium,2012-12,31644172.005999997
132,belgium,2013-01,37352509.08
133,belgium,2013-04,27314958.477
134,belgium,2013-07,23075291.405
135,belgium,2013-12,30552968.639
136,belgium,2014-01,31172825.61
137,belgium,2014-04,25057076.369000003
138,belgium,2014-07,23170500.018999998
139,belgium,2014-12,31119938.763
140,belgium,2015-01,34746744.45
141,belgium,2015-04,26123192.199
142,belgium,2015-07,24088836.518
143,belgium,2015-12,30606233.759999998
144,belgium,2016-01,33204393.82
145,belgium,2016-04,25736099.584
146,belgium,2016-07,23052903.552
147,belgium,2016-12,33243522.799999997
148,belgium,2017-01,33460145.049999997
149,belgium,2017-04,25995235.063
150,belgium,2017-07,23009559.509999998
151,belgium,2017-12,31571302.891
152,belgium,2018-01,33586602.28
153,belgium,2018-04,26174949.471
154,belgium,2018-07,23030331.057
155,belgium,2018-12,31706119.455000002
156,belgium,2019-01,33245370.020000003
157,belgium,2019-04,25934612.73
158,belgium,2019-07,22959192.167
159,belgium,2019-12,31439738.436
160,bulgaria,2000-01,13823243.697
161,bulgaria,2000-04,11941594.009
162,bulgaria,2000-07,12084038.609000001
163,bulgaria,2000-12,13092740.607
164,bulgaria,2001-01,13451597.098000001
165,bulgaria,2001-04,12530378.667
166,bulgaria,2001-07,12754406.761
167,bulgaria,2001-12,14488397.651999999
168,bulgaria,2002-01,13401085.012
169,bulgaria,2002-04,12033273.216
170,bulgaria,2002-07,11938571.664
171,bulgaria,2002-12,13535140.872000001
172,bulgaria,2003-01,14858596.171
173,bulgaria,2003-04,13396555.791000001
174,bulgaria,2003-07,13806211.428
175,bulgaria,2003-12,14390752.793000001
176,bulgaria,2004-01,14746540.175
177,bulgaria,2004-04,12985657.307
178,bulgaria,2004-07,12873684.249000002
179,bulgaria,2004-12,14444010.767
180,bulgaria,2005-01,14875998.996
181,bulgaria,2005-04,13116648.890999999
182,bulgaria,2005-07,13377712.546
183,bulgaria,2005-12,14515321.748
184,bulgaria,2006-01,15341870.511
185,bulgaria,2006-04,13441964.29
186,bulgaria,2006-07,13764942.932
187,bulgaria,2006-12,14613152.091
188,bulgaria,2007-01,15378937.289
189,bulgaria,2007-04,14158509.8
190,bulgaria,2007-07,14429339.434
191,bulgaria,2007-12,16452750.543000001
192,bulgaria,2008-01,15318580.976
193,bulgaria,2008-04,13787644.848000001
194,bulgaria,2008-07,13988176.841000002
195,bulgaria,2008-12,15385941.189999998
196,bulgaria,2009-01,13586565.704
197,bulgaria,2009-04,11541888.36
198,bulgaria,2009-07,11878758.628
199,bulgaria,2009-12,13005487.621000001
200,bulgaria,2010-01,14415530.599
201,bulgaria,2010-04,12370871.075
202,bulgaria,2010-07,12908423.404
203,bulgaria,2010-12,13980134.757
204,bulgaria,2011-01,16445624.167
205,bulgaria,2011-04,13801536.821000002
206,bulgaria,2011-07,14035473.933
207,bulgaria,2011-12,15168214.347
208,bulgaria,2012-01,15451325.144000001
209,bulgaria,2012-04,12347358.458
210,bulgaria,2012-07,12828040.825
211,bulgaria,2012-12,14196286.678
212,bulgaria,2013-01,13680832.682
213,bulgaria,2013-04,11351545.197999999
214,bulgaria,2013-07,11946963.117999999
215,bulgaria,2013-12,13304942.864
216,bulgaria,2014-01,13614231.644
217,bulgaria,2014-04,12151677.308
218,bulgaria,2014-07,12874164.002999999
219,bulgaria,2014-12,14031277.544999998
220,bulgaria,2015-01,14889135.265999999
221,bulgaria,2015-04,12443554.746
222,bulgaria,2015-07,13221974.397999998
223,bulgaria,2015-12,14627272.204
224,bulgaria,2016-01,13487458.254999999
225,bulgaria,2016-04,11182265.586
226,bulgaria,2016-07,13083707.280000001
227,bulgaria,2016-12,15179378.131000001
228,bulgaria,2017-01,15582100.853
229,bulgaria,2017-04,12261602.28
230,bulgaria,2017-07,12874068.319000002
231,bulgaria,2017-12,14713791.689999998
232,bulgaria,2018-01,15156153.117999999
233,bulgaria,2018-04,12116036.311999999
234,bulgaria,2018-07,12565367.56
235,bulgaria,2018-12,14420249.605
236,bulgaria,2019-01,14766740.851
237,bulgaria,2019-04,11912391.206999999
238,bulgaria,2019-07,12274562.371
239,bulgaria,2019-12,14111452.281999998
240,croatia,2000-01,8121390.899
241,croatia,2000-04,4980682.23
242,croatia,2000-07,4650428.331
243,croatia,2000-12,6443099.505
244,croatia,2001-01,7522243.382999999
245,croatia,2001-04,5513176.611
246,croatia,2001-07,4924347.199
247,croatia,2001-12,7763415.8100000005
248,croatia,2002-01,8242305.68
249,croatia,2002-04,5730159.791
250,croatia,2002-07,5128817.916
251,croatia,2002-12,7460646.823000001
252,croatia,2003-01,9156806.33
253,croatia,2003-04,6041603.4860000005
254,croatia,2003-07,5488771.351
255,croatia,2003-12,7860473.4350000005
256,croatia,2004-01,9231925.052000001
257,croatia,2004-04,6173628.482
258,croatia,2004-07,5607902.249
259,croatia,2004-12,7817009.944
260,croatia,2005-01,9359853.802
261,croatia,2005-04,6176305.518999999
262,croatia,2005-07,5664297.754
263,croatia,2005-12,8116960.33
264,croatia,2006-01,9592153.083
265,croatia,2006-04,6166519.178
266,croatia,2006-07,5761391.334
267,croatia,2006-12,7855608.4969999995
268,croatia,2007-01,8767091.022
269,croatia,2007-04,6546656.387
270,croatia,2007-07,6157582.124
271,croatia,2007-12,9336342.669
272,croatia,2008-01,9054432.086
273,croatia,2008-04,6447555.328
274,croatia,2008-07,5991572.141
275,croatia,2008-12,8189616.575999999
276,croatia,2009-01,8792872.946
277,croatia,2009-04,5667184.914
278,croatia,2009-07,5411216.927
279,croatia,2009-12,7782015.946
280,croatia,2010-01,8577914.481
281,croatia,2010-04,5662541.994
282,croatia,2010-07,5237647.295
283,croatia,2010-12,7700731.92
284,croatia,2011-01,8351845.942
285,croatia,2011-04,5431980.626
286,croatia,2011-07,5117206.194
287,croatia,2011-12,7640476.034
288,croatia,2012-01,8119588.903
289,croatia,2012-04,5271305.117000001
290,croatia,2012-07,4850339.877
291,croatia,2012-12,6861289.227
292,croatia,2013-01,8013067.527000001
293,croatia,2013-04,5158454.888
294,croatia,2013-07,4782629.464
295,croatia,2013-12,6776859.302999999
296,croatia,2014-01,7032309.6219999995
297,croatia,2014-04,5073261.734999999
298,croatia,2014-07,4597811.681
