date,gdp
2000-01-01,51002500000.0
2000-02-01,51312466666.666664
2000-03-01,51622433333.333336
2000-04-01,51932400000.0
2000-05-01,52178666666.666664
2000-06-01,52424933333.333336
2000-07-01,52671200000.0
2000-08-01,52910466666.666664
2000-09-01,53149733333.333336
2000-10-01,53389000000.0
2000-11-01,53614666666.666664
2000-12-01,53840333333.333336
2001-01-01,54066000000.0
2001-02-01,54370333333.333336
2001-03-01,54674666666.666664
2001-04-01,54979000000.0
2001-05-01,55338266666.666664
2001-06-01,55697533333.333336
2001-07-01,56056800000.0
2001-08-01,56468100000.0
2001-09-01,56879400000.0
2001-10-01,57290700000.0
2001-11-01,57813700000.0
2001-12-01,58336700000.0
2002-01-01,58859700000.0
2002-02-01,59355733333.333336
2002-03-01,59851766666.666664
2002-04-01,60347800000.0
2002-05-01,60804666666.666664
2002-06-01,61261533333.333336
2002-07-01,61718400000.0
2002-08-01,62068900000.0
2002-09-01,62419400000.0
2002-10-01,62769900000.0
2002-11-01,63138766666.666664
2002-12-01,63507633333.333336
2003-01-01,63876500000.0
2003-02-01,64126633333.333336
2003-03-01,64376766666.666664
2003-04-01,64626900000.0
2003-05-01,64940666666.666664
2003-06-01,65254433333.333336
2003-07-01,65568200000.0
2003-08-01,66076800000.0
2003-09-01,66585400000.0
2003-10-01,67094000000.0
2003-11-01,67439100000.0
2003-12-01,67784200000.0
2004-01-01,68129300000.0
2004-02-01,68727666666.66667
2004-03-01,69326033333.33333
2004-04-01,69924400000.0
2004-05-01,70555666666.66667
2004-06-01,71186933333.33333
2004-07-01,71818200000.0
2004-08-01,72394366666.66667
2004-09-01,72970533333.33333
2004-10-01,73546700000.0
2004-11-01,74326166666.66667
2004-12-01,75105633333.33333
2005-01-01,75885100000.0
2005-02-01,76483700000.0
2005-03-01,77082300000.0
2005-04-01,77680900000.0
2005-05-01,78264433333.33333
2005-06-01,78847966666.66667
2005-07-01,79431500000.0
2005-08-01,80060900000.0
2005-09-01,80690300000.0
2005-10-01,81319700000.0
2005-11-01,81847466666.66667
2005-12-01,82375233333.33333
2006-01-01,82903000000.0
2006-02-01,83622333333.33333
2006-03-01,84341666666.66667
2006-04-01,85061000000.0
2006-05-01,85885533333.33333
2006-06-01,86710066666.66667
2006-07-01,87534600000.0
2006-08-01,88220666666.66667
2006-09-01,88906733333.33333
2006-10-01,89592800000.0
2006-11-01,90433900000.0
2006-12-01,91275000000.0
2007-01-01,92116100000.0
2007-02-01,93130866666.66667
2007-03-01,94145633333.33333
2007-04-01,95160400000.0
2007-05-01,95942966666.66667
2007-06-01,96725533333.33333
2007-07-01,97508100000.0
2007-08-01,98602066666.66667
2007-09-01,99696033333.33333
2007-10-01,100790000000.0
2007-11-01,101736200000.0
2007-12-01,102682400000.0
2008-01-01,103628600000.0
2008-02-01,104460233333.33333
2008-03-01,105291866666.66667
2008-04-01,106123500000.0
2008-05-01,106994233333.33333
2008-06-01,107864966666.66667
2008-07-01,108735700000.0
2008-08-01,109187533333.33333
2008-09-01,109639366666.66667
2008-10-01,110091200000.0
2008-11-01,108507166666.66667
2008-12-01,106923133333.33333
2009-01-01,105339100000.0
2009-02-01,105364600000.0
2009-03-01,105390100000.0
2009-04-01,105415600000.0
2009-05-01,106011066666.66667
2009-06-01,106606533333.33333
2009-07-01,107202000000.0
2009-08-01,106248900000.0
2009-09-01,105295800000.0
2009-10-01,104342700000.0
2009-11-01,105266466666.66667
2009-12-01,106190233333.33333
2010-01-01,107114000000.0
2010-02-01,107952133333.33333
2010-03-01,108790266666.66667
2010-04-01,109628400000.0
2010-05-01,110156000000.0
2010-06-01,110683600000.0
2010-07-01,111211200000.0
2010-08-01,111762833333.33333
2010-09-01,112314466666.66667
2010-10-01,112866100000.0
2010-11-01,113067633333.33333
2010-12-01,113269166666.66667
2011-01-01,113470700000.0
2011-02-01,114169600000.0
2011-03-01,114868500000.0
2011-04-01,115567400000.0
2011-05-01,115982700000.0
2011-06-01,116398000000.0
2011-07-01,116813300000.0
2011-08-01,117050166666.66667
2011-09-01,117287033333.33333
2011-10-01,117523900000.0
2011-11-01,117970200000.0
2011-12-01,118416500000.0
2012-01-01,118862800000.0
2012-02-01,118812966666.66667
2012-03-01,118763133333.33333
2012-04-01,118713300000.0
2012-05-01,118856900000.0
2012-06-01,119000500000.0
2012-07-01,119144100000.0
2012-08-01,119215566666.66667
2012-09-01,119287033333.33333
2012-10-01,119358500000.0
2012-11-01,119376433333.33333
2012-12-01,119394366666.66667
2013-01-01,119412300000.0
2013-02-01,119537600000.0
2013-03-01,119662900000.0
2013-04-01,119788200000.0
2013-05-01,120328033333.33333
2013-06-01,120867866666.66667
2013-07-01,121407700000.0
2013-08-01,121842266666.66667
2013-09-01,122276833333.33333
2013-10-01,122711400000.0
