,country,date,year,month,co2
0,austria,2000-01-01,2000,1,9726927646.0
1,austria,2000-02-01,2000,2,8532685058.999999
2,austria,2000-03-01,2000,3,8134567013.0
3,austria,2000-04-01,2000,4,6546737758.0
4,austria,2000-05-01,2000,5,5603261736.0
5,austria,2000-06-01,2000,6,5014335790.0
6,austria,2000-07-01,2000,7,5086068559.0
7,austria,2000-08-01,2000,8,4677045310.0
8,austria,2000-09-01,2000,9,5640955129.0
9,austria,2000-10-01,2000,10,6713320305.0
10,austria,2000-11-01,2000,11,7693260028.0
11,austria,2000-12-01,2000,12,8617632709.0
12,austria,2001-01-01,2001,1,9542545264.0
13,austria,2001-02-01,2001,2,8877452527.0
14,austria,2001-03-01,2001,3,8316839255.999999
15,austria,2001-04-01,2001,4,7379342608.0
16,austria,2001-05-01,2001,5,5741236683.0
17,austria,2001-06-01,2001,6,5557920251.0
18,austria,2001-07-01,2001,7,4963339075.0
19,austria,2001-08-01,2001,8,4855754670.0
20,austria,2001-09-01,2001,9,6338610282.0
21,austria,2001-10-01,2001,10,7035414504.0
22,austria,2001-11-01,2001,11,9009560381.0
23,austria,2001-12-01,2001,12,10259410420.0
24,austria,2002-01-01,2002,1,10052484000.0
25,austria,2002-02-01,2002,2,8656166216.0
26,austria,2002-03-01,2002,3,8467894104.000001
27,austria,2002-04-01,2002,4,7594850968.0
28,austria,2002-05-01,2002,5,6062569927.0
29,austria,2002-06-01,2002,6,5443724840.0
30,austria,2002-07-01,2002,7,5254730552.0
31,austria,2002-08-01,2002,8,5075866082.0
32,austria,2002-09-01,2002,9,6389050839.0
33,austria,2002-10-01,2002,10,7819502930.0
34,austria,2002-11-01,2002,11,8209776250.000001
35,austria,2002-12-01,2002,12,9394074664.0
36,austria,2003-01-01,2003,1,10190965820.0
37,austria,2003-02-01,2003,2,10162442310.0
38,austria,2003-03-01,2003,3,8950176910.0
39,austria,2003-04-01,2003,4,7904104007.0
40,austria,2003-05-01,2003,5,6126987391.0
41,austria,2003-06-01,2003,6,5568212665.0
42,austria,2003-07-01,2003,7,5667806073.0
43,austria,2003-08-01,2003,8,5665774772.0
44,austria,2003-09-01,2003,9,6593573044.0
45,austria,2003-10-01,2003,10,8642580908.0
46,austria,2003-11-01,2003,11,8856032408.0
47,austria,2003-12-01,2003,12,9757962603.0
48,austria,2004-01-01,2004,1,10502331110.0
