date,pop
2000-01-01,
2000-02-01,-0.0011021811725573372
2000-03-01,-0.0011033973164273903
2000-04-01,-0.0011046161470442684
2000-05-01,-0.0010984118664101317
2000-06-01,-0.0010996197018631193
2000-07-01,-0.0011008301965560463
2000-08-01,-0.006518183209623274
2000-09-01,-0.006560948828525426
2000-10-01,-0.006604279323676465
2000-11-01,-0.007435488268818347
2000-12-01,-0.007491189176608515
2001-01-01,-0.007547730923221252
2001-02-01,0.00039581369333596683
2001-03-01,0.0003956570868410836
2001-04-01,0.0003955006042222209
2001-05-01,0.0003875938994735151
2001-06-01,0.00038744372864663035
2001-07-01,0.00038729367413914417
2001-08-01,0.0
2001-09-01,0.0
2001-10-01,0.0
2001-11-01,0.00010067179068684595
2001-12-01,0.00010066165689792683
2002-01-01,0.00010065152515004172
2002-02-01,0.0
2002-03-01,0.0
2002-04-01,0.0
2002-05-01,-7.742065351479255e-06
2002-06-01,-7.742125291088087e-06
2002-07-01,-7.742185230696919e-06
2002-08-01,0.0
2002-09-01,0.0
2002-10-01,0.0
2002-11-01,0.0
2002-12-01,0.0
2003-01-01,0.0
2003-02-01,7.742185230696919e-06
2003-03-01,7.742125291088087e-06
2003-04-01,7.742065351479255e-06
2003-05-01,7.742005411870423e-06
2003-06-01,7.741945472261591e-06
2003-07-01,7.741885536205473e-06
2003-08-01,7.741825600149355e-06
2003-09-01,7.741765665869593e-06
2003-10-01,7.741705729813475e-06
2003-11-01,5.4190262023467994e-05
2003-12-01,5.41873255972547e-05
2004-01-01,5.4184389490785634e-05
2004-02-01,0.00010062036332314506
2004-03-01,0.0001006102398868336
2004-04-01,0.00010060011848267436
2004-05-01,9.285266609992959e-05
2004-06-01,9.284404528031587e-05
2004-07-01,9.283542606652873e-05
2004-08-01,0.00010056198687991014
2004-09-01,0.00010055187518354103
2004-10-01,0.0001005417655211005
2004-11-01,6.959991650745678e-05
2004-12-01,6.95950726967709e-05
2005-01-01,6.959022956110061e-05
2005-02-01,3.0927436503347394e-05
2005-03-01,3.092648002755993e-05
2005-04-01,3.092552361039225e-05
2005-05-01,3.092456725184434e-05
2005-06-01,3.092361095369256e-05
2005-07-01,3.09226547123842e-05
2005-08-01,3.0921698531471975e-05
2005-09-01,3.0920742409179525e-05
2005-10-01,3.091978634550685e-05
2005-11-01,2.318921237964844e-05
2005-12-01,2.3188674653340513e-05
