date,ind_prod
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,-0.019000000000000003
2001-02-01,-0.015
2001-03-01,-0.025999999999999995
2001-04-01,-0.044000000000000004
2001-05-01,-0.056
2001-06-01,-0.023000000000000003
2001-07-01,-0.049
2001-08-01,-0.030000000000000006
2001-09-01,-0.024000000000000004
2001-10-01,-0.036
2001-11-01,-0.044
2001-12-01,-0.074
2002-01-01,-0.041999999999999996
2002-02-01,-0.055
2002-03-01,-0.051000000000000004
2002-04-01,-0.008
2002-05-01,-0.023
2002-06-01,-0.036000000000000004
2002-07-01,-0.009000000000000001
2002-08-01,-0.062
2002-09-01,-0.019
2002-10-01,-0.005000000000000001
2002-11-01,0.024
2002-12-01,0.003000000000000006
2003-01-01,0.012
2003-02-01,0.027000000000000003
2003-03-01,0.005999999999999998
2003-04-01,-0.020999999999999998
2003-05-01,-0.021
2003-06-01,-0.016000000000000004
2003-07-01,0.003000000000000001
2003-08-01,-0.015000000000000003
2003-09-01,-0.005000000000000001
2003-10-01,0.025
2003-11-01,-0.02
2003-12-01,0.047
2004-01-01,0.0
2004-02-01,-0.01
2004-03-01,0.016
2004-04-01,0.026
2004-05-01,0.069
2004-06-01,0.07500000000000001
2004-07-01,0.036
2004-08-01,0.035
2004-09-01,0.05
2004-10-01,0.0
2004-11-01,0.026
2004-12-01,-0.013
2005-01-01,0.027999999999999997
2005-02-01,0.006
2005-03-01,-0.025
2005-04-01,-0.0009999999999999992
2005-05-01,-0.026000000000000002
2005-06-01,-0.052000000000000005
2005-07-01,-0.041999999999999996
2005-08-01,0.023
2005-09-01,-0.027999999999999997
2005-10-01,-0.044
2005-11-01,0.011000000000000003
2005-12-01,0.007000000000000001
2006-01-01,-0.036
2006-02-01,-0.012
2006-03-01,0.048
2006-04-01,-0.015000000000000001
2006-05-01,0.022000000000000002
2006-06-01,0.038
2006-07-01,0.032
2006-08-01,0.0040000000000000036
2006-09-01,-0.005
2006-10-01,0.055
2006-11-01,-0.043000000000000003
2006-12-01,-0.004
2007-01-01,0.013000000000000001
2007-02-01,0.028999999999999998
2007-03-01,-0.019000000000000003
2007-04-01,0.004
2007-05-01,-0.019000000000000003
2007-06-01,-0.027
2007-07-01,0.004
2007-08-01,0.011999999999999997
2007-09-01,-0.01
2007-10-01,0.0020000000000000018
2007-11-01,0.031000000000000003
2007-12-01,-0.009000000000000001
2008-01-01,0.011
2008-02-01,-0.0049999999999999975
2008-03-01,-0.014
2008-04-01,0.038
2008-05-01,-0.041999999999999996
2008-06-01,-0.033
2008-07-01,-0.041
2008-08-01,-0.08199999999999999
2008-09-01,-0.022999999999999996
2008-10-01,-0.09
2008-11-01,-0.10999999999999999
2008-12-01,-0.106
2009-01-01,-0.15900000000000003
2009-02-01,-0.182
2009-03-01,-0.168
2009-04-01,-0.23199999999999998
2009-05-01,-0.11599999999999999
2009-06-01,-0.10300000000000001
2009-07-01,-0.117
2009-08-01,-0.08100000000000002
2009-09-01,-0.078
2009-10-01,-0.031
2009-11-01,0.05899999999999999
2009-12-01,0.06
2010-01-01,0.165
2010-02-01,0.19599999999999998
2010-03-01,0.23600000000000002
2010-04-01,0.259
2010-05-01,0.20299999999999999
2010-06-01,0.168
2010-07-01,0.186
2010-08-01,0.14900000000000002
2010-09-01,0.133
2010-10-01,0.129
2010-11-01,0.08099999999999999
2010-12-01,0.107
2011-01-01,0.032
2011-02-01,0.04000000000000001
