date,gdp
2000-01-01,2215883800000.0
2000-02-01,2222966900000.0
2000-03-01,2230050000000.0
2000-04-01,2237133100000.0
2000-05-01,2239516500000.0
2000-06-01,2241899900000.0
2000-07-01,2244283300000.0
2000-08-01,2245921966666.6665
2000-09-01,2247560633333.3335
2000-10-01,2249199300000.0
2000-11-01,2271148933333.3335
2000-12-01,2293098566666.6665
2001-01-01,2315048200000.0
2001-02-01,2321256100000.0
2001-03-01,2327464000000.0
2001-04-01,2333671900000.0
2001-05-01,2338072100000.0
2001-06-01,2342472300000.0
2001-07-01,2346872500000.0
2001-08-01,2352276000000.0
2001-09-01,2357679500000.0
2001-10-01,2363083000000.0
2001-11-01,2365273966666.6665
2001-12-01,2367464933333.3335
2002-01-01,2369655900000.0
2002-02-01,2378834466666.6665
2002-03-01,2388013033333.3335
2002-04-01,2397191600000.0
2002-05-01,2408024700000.0
2002-06-01,2418857800000.0
2002-07-01,2429690900000.0
2002-08-01,2435643600000.0
2002-09-01,2441596300000.0
2002-10-01,2447549000000.0
2002-11-01,2441638733333.3335
2002-12-01,2435728466666.6665
2003-01-01,2429818200000.0
2003-02-01,2435930000000.0
2003-03-01,2442041800000.0
2003-04-01,2448153600000.0
2003-05-01,2462139966666.6665
2003-06-01,2476126333333.3335
2003-07-01,2490112700000.0
2003-08-01,2500925400000.0
2003-09-01,2511738100000.0
2003-10-01,2522550800000.0
2003-11-01,2531094833333.3335
2003-12-01,2539638866666.6665
2004-01-01,2548182900000.0
2004-02-01,2560326333333.3335
2004-03-01,2572469766666.6665
2004-04-01,2584613200000.0
2004-05-01,2585822433333.3335
2004-06-01,2587031666666.6665
2004-07-01,2588240900000.0
2004-08-01,2588177900000.0
2004-09-01,2588114900000.0
2004-10-01,2588051900000.0
2004-11-01,2585828933333.3335
2004-12-01,2583605966666.6665
2005-01-01,2581383000000.0
2005-02-01,2586118833333.3335
2005-03-01,2590854666666.6665
2005-04-01,2595590500000.0
2005-05-01,2607542833333.3335
2005-06-01,2619495166666.6665
2005-07-01,2631447500000.0
2005-08-01,2642636900000.0
2005-09-01,2653826300000.0
2005-10-01,2665015700000.0
2005-11-01,2682919266666.6665
2005-12-01,2700822833333.3335
2006-01-01,2718726400000.0
2006-02-01,2745020133333.3335
2006-03-01,2771313866666.6665
2006-04-01,2797607600000.0
2006-05-01,2812922066666.6665
2006-06-01,2828236533333.3335
2006-07-01,2843551000000.0
2006-08-01,2862484000000.0
2006-09-01,2881417000000.0
2006-10-01,2900350000000.0
2006-11-01,2910140266666.6665
2006-12-01,2919930533333.3335
2007-01-01,2929720800000.0
2007-02-01,2944786933333.3335
2007-03-01,2959853066666.6665
2007-04-01,2974919200000.0
2007-05-01,2986164400000.0
2007-06-01,2997409600000.0
2007-07-01,3008654800000.0
2007-08-01,3020955333333.3335
2007-09-01,3033255866666.6665
2007-10-01,3045556400000.0
2007-11-01,3057538233333.3335
2007-12-01,3069520066666.6665
2008-01-01,3081501900000.0
2008-02-01,3087820166666.6665
2008-03-01,3094138433333.3335
2008-04-01,3100456700000.0
2008-05-01,3106696866666.6665
2008-06-01,3112937033333.3335
2008-07-01,3119177200000.0
2008-08-01,3112096166666.6665
2008-09-01,3105015133333.3335
2008-10-01,3097934100000.0
2008-11-01,3057628833333.3335
2008-12-01,3017323566666.6665
2009-01-01,2977018300000.0
2009-02-01,2982710300000.0
2009-03-01,2988402300000.0
2009-04-01,2994094300000.0
2009-05-01,3003907333333.3335
2009-06-01,3013720366666.6665
2009-07-01,3023533400000.0
2009-08-01,3034636000000.0
2009-09-01,3045738600000.0
2009-10-01,3056841200000.0
2009-11-01,3065466733333.3335
2009-12-01,3074092266666.6665
2010-01-01,3082717800000.0
2010-02-01,3110170733333.3335
2010-03-01,3137623666666.6665
2010-04-01,3165076600000.0
2010-05-01,3178618533333.3335
2010-06-01,3192160466666.6665
2010-07-01,3205702400000.0
2010-08-01,3224204933333.3335
2010-09-01,3242707466666.6665
2010-10-01,3261210000000.0
2010-11-01,3293757966666.6665
2010-12-01,3326305933333.3335
2011-01-01,3358853900000.0
2011-02-01,3370798066666.6665
2011-03-01,3382742233333.3335
2011-04-01,3394686400000.0
2011-05-01,3412803700000.0
2011-06-01,3430921000000.0
2011-07-01,3449038300000.0
2011-08-01,3445440100000.0
2011-09-01,3441841900000.0
2011-10-01,3438243700000.0
2011-11-01,3443555633333.3335
2011-12-01,3448867566666.6665
2012-01-01,3454179500000.0
2012-02-01,3460194533333.3335
2012-03-01,3466209566666.6665
2012-04-01,3472224600000.0
2012-05-01,3483490000000.0
2012-06-01,3494755400000.0
2012-07-01,3506020800000.0
2012-08-01,3511676233333.3335
2012-09-01,3517331666666.6665
2012-10-01,3522987100000.0
2012-11-01,3530311666666.6665
2012-12-01,3537636233333.3335
2013-01-01,3544960800000.0
2013-02-01,3567828266666.6665
2013-03-01,3590695733333.3335
2013-04-01,3613563200000.0
2013-05-01,3631630100000.0
2013-06-01,3649697000000.0
2013-07-01,3667763900000.0
2013-08-01,3682952500000.0
2013-09-01,3698141100000.0
2013-10-01,3713329700000.0
2013-11-01,3733566666666.6665
2013-12-01,3753803633333.3335
2014-01-01,3774040600000.0
2014-02-01,3781782466666.6665
2014-03-01,3789524333333.3335
2014-04-01,3797266200000.0
2014-05-01,3807482333333.3335
2014-06-01,3817698466666.6665
2014-07-01,3827914600000.0
2014-08-01,3836161466666.6665
2014-09-01,3844408333333.3335
2014-10-01,3852655200000.0
2014-11-01,3839113433333.3335
2014-12-01,3825571666666.6665
2015-01-01,3812029900000.0
2015-02-01,3828103333333.3335
2015-03-01,3844176766666.6665
2015-04-01,3860250200000.0
2015-05-01,3876103766666.6665
2015-06-01,3891957333333.3335
2015-07-01,3907810900000.0
2015-08-01,3926235433333.3335
2015-09-01,3944659966666.6665
2015-10-01,3963084500000.0
2015-11-01,3992903000000.0
2015-12-01,4022721500000.0
2016-01-01,4052540000000.0
2016-02-01,4083169666666.6665
2016-03-01,4113799333333.3335
2016-04-01,4144429000000.0
2016-05-01,4161215566666.6665
2016-06-01,4178002133333.3335
2016-07-01,4194788700000.0
2016-08-01,4210793433333.3335
2016-09-01,4226798166666.667
2016-10-01,4242802900000.0005
2016-11-01,4264845966666.667
2016-12-01,4286889033333.333
2017-01-01,4308932099999.9995
2017-02-01,4324547899999.9995
2017-03-01,4340163700000.0
2017-04-01,4355779500000.0
2017-05-01,4374601766666.6665
2017-06-01,4393424033333.3335
2017-07-01,4412246300000.0
2017-08-01,4438588066666.667
2017-09-01,4464929833333.333
2017-10-01,4491271600000.0
2017-11-01,4496191700000.0
2017-12-01,4501111800000.0
2018-01-01,4506031900000.0
2018-02-01,4534296900000.0
2018-03-01,4562561900000.0
2018-04-01,4590826900000.0
2018-05-01,4587901866666.667
2018-06-01,4584976833333.333
2018-07-01,4582051800000.0
2018-08-01,4605330733333.333
2018-09-01,4628609666666.667
2018-10-01,4651888600000.0
2018-11-01,4673611700000.0
2018-12-01,4695334800000.0
2019-01-01,4717057900000.0
2019-02-01,4728894833333.333
2019-03-01,4740731766666.667
2019-04-01,4752568700000.0
2019-05-01,4766084500000.0
2019-06-01,4779600300000.0
2019-07-01,4793116100000.0
2019-08-01,4811572600000.0
2019-09-01,4830029100000.0
2019-10-01,4848485600000.0
