date,pop
2000-01-01,10217100000.0
2000-02-01,10215166666.666666
2000-03-01,10213233333.333334
2000-04-01,10211300000.0
2000-05-01,10209466666.666666
2000-06-01,10207633333.333334
2000-07-01,10205800000.0
2000-08-01,10204200000.0
2000-09-01,10202600000.0
2000-10-01,10201000000.0
2000-11-01,10199733333.333334
2000-12-01,10198466666.666666
2001-01-01,10197200000.0
2001-02-01,10195433333.333334
2001-03-01,10193666666.666666
2001-04-01,10191900000.0
2001-05-01,10189800000.0
2001-06-01,10187700000.0
2001-07-01,10185600000.0
2001-08-01,10183133333.333334
2001-09-01,10180666666.666666
2001-10-01,10178200000.0
2001-11-01,10175533333.333334
2001-12-01,10172866666.666666
2002-01-01,10170200000.0
2002-02-01,10167366666.666666
2002-03-01,10164533333.333334
2002-04-01,10161700000.0
2002-05-01,10158866666.666666
2002-06-01,10156033333.333334
2002-07-01,10153200000.0
2002-08-01,10150633333.333334
2002-09-01,10148066666.666666
2002-10-01,10145500000.0
2002-11-01,10142600000.0
2002-12-01,10139700000.0
2003-01-01,10136800000.0
2003-02-01,10134300000.0
2003-03-01,10131800000.0
2003-04-01,10129300000.0
2003-05-01,10127266666.666666
2003-06-01,10125233333.333334
2003-07-01,10123200000.0
2003-08-01,10121433333.333334
2003-09-01,10119666666.666666
2003-10-01,10117900000.0
2003-11-01,10116333333.333334
2003-12-01,10114766666.666666
2004-01-01,10113200000.0
2004-02-01,10111733333.333334
2004-03-01,10110266666.666666
2004-04-01,10108800000.0
2004-05-01,10106900000.0
2004-06-01,10105000000.0
2004-07-01,10103100000.0
2004-08-01,10101366666.666666
2004-09-01,10099633333.333334
2004-10-01,10097900000.0
2004-11-01,10096633333.333334
2004-12-01,10095366666.666666
2005-01-01,10094100000.0
2005-02-01,10092266666.666666
2005-03-01,10090433333.333334
2005-04-01,10088600000.0
2005-05-01,10086633333.333334
2005-06-01,10084666666.666666
2005-07-01,10082700000.0
2005-08-01,10081066666.666666
2005-09-01,10079433333.333334
2005-10-01,10077800000.0
2005-11-01,10076666666.666666
2005-12-01,10075533333.333334
2006-01-01,10074400000.0
2006-02-01,10073433333.333334
2006-03-01,10072466666.666666
2006-04-01,10071500000.0
2006-05-01,10070166666.666666
2006-06-01,10068833333.333334
2006-07-01,10067500000.0
2006-08-01,10066466666.666666
2006-09-01,10065433333.333334
2006-10-01,10064400000.0
2006-11-01,10063700000.0
2006-12-01,10063000000.0
2007-01-01,10062300000.0
2007-02-01,10060600000.0
2007-03-01,10058900000.0
2007-04-01,10057200000.0
2007-05-01,10055366666.666666
2007-06-01,10053533333.333334
2007-07-01,10051700000.0
2007-08-01,10049966666.666666
2007-09-01,10048233333.333334
2007-10-01,10046500000.0
2007-11-01,10045066666.666666
2007-12-01,10043633333.333334
2008-01-01,10042200000.0
2008-02-01,10041000000.0
2008-03-01,10039800000.0
2008-04-01,10038600000.0
2008-05-01,10037600000.0
2008-06-01,10036600000.0
2008-07-01,10035600000.0
2008-08-01,10034400000.0
2008-09-01,10033200000.0
2008-10-01,10032000000.0
2008-11-01,10030466666.666666
2008-12-01,10028933333.333334
2009-01-01,10027400000.0
2009-02-01,10026066666.666666
2009-03-01,10024733333.333334
2009-04-01,10023400000.0
2009-05-01,10022300000.0
2009-06-01,10021200000.0
2009-07-01,10020100000.0
2009-08-01,10018666666.666666
2009-09-01,10017233333.333334
2009-10-01,10015800000.0
2009-11-01,10014300000.0
2009-12-01,10012800000.0
2010-01-01,10011300000.0
2010-02-01,10009533333.333334
2010-03-01,10007766666.666666
2010-04-01,10006000000.0
2010-05-01,10003166666.666666
2010-06-01,10000333333.333334
2010-07-01,9997500000.0
2010-08-01,9994500000.0
2010-09-01,9991500000.0
2010-10-01,9988500000.0
2010-11-01,9986133333.333334
2010-12-01,9983766666.666666
2011-01-01,9981400000.0
2011-02-01,9979166666.666666
2011-03-01,9976933333.333334
2011-04-01,9974700000.0
2011-05-01,9972633333.333334
2011-06-01,9970566666.666666
2011-07-01,9968500000.0
2011-08-01,9966833333.333334
2011-09-01,9965166666.666666
2011-10-01,9963500000.0
2011-11-01,9959700000.0
2011-12-01,9955900000.0
2012-01-01,9952100000.0
2012-02-01,9949233333.333334
2012-03-01,9946366666.666666
2012-04-01,9943500000.0
2012-05-01,9940700000.0
2012-06-01,9937900000.0
2012-07-01,9935100000.0
2012-08-01,9932500000.0
2012-09-01,9929900000.0
2012-10-01,9927300000.0
2012-11-01,9919433333.333334
2012-12-01,9911566666.666666
2013-01-01,9903700000.0
2013-02-01,9900900000.0
2013-03-01,9898100000.0
2013-04-01,9895300000.0
2013-05-01,9892466666.666666
2013-06-01,9889633333.333334
2013-07-01,9886800000.0
2013-08-01,9884300000.0
2013-09-01,9881800000.0
2013-10-01,9879300000.0
2013-11-01,9877400000.0
2013-12-01,9875500000.0
2014-01-01,9873600000.0
2014-02-01,9871833333.333334
