,country,date,year,month,infl
0,austria,2000-01-01,2000,1,-0.004
1,austria,2000-02-01,2000,2,0.008
2,austria,2000-03-01,2000,3,0.001
3,austria,2000-04-01,2000,4,-0.002
4,austria,2000-05-01,2000,5,-0.001
5,austria,2000-06-01,2000,6,0.004
6,austria,2000-07-01,2000,7,-0.003
7,austria,2000-08-01,2000,8,0.001
8,austria,2000-09-01,2000,9,0.004
9,austria,2000-10-01,2000,10,0.003
10,austria,2000-11-01,2000,11,0.004
11,austria,2000-12-01,2000,12,0.004
12,austria,2001-01-01,2001,1,0.0
13,austria,2001-02-01,2001,2,0.003
14,austria,2001-03-01,2001,3,0.002
15,austria,2001-04-01,2001,4,0.005
16,austria,2001-05-01,2001,5,0.002
17,austria,2001-06-01,2001,6,0.001
18,austria,2001-07-01,2001,7,-0.001
19,austria,2001-08-01,2001,8,-0.002
20,austria,2001-09-01,2001,9,0.004
21,austria,2001-10-01,2001,10,0.002
22,austria,2001-11-01,2001,11,0.0
23,austria,2001-12-01,2001,12,0.003
24,austria,2002-01-01,2002,1,0.002
25,austria,2002-02-01,2002,2,0.002
26,austria,2002-03-01,2002,3,0.001
27,austria,2002-04-01,2002,4,0.005
28,austria,2002-05-01,2002,5,0.002
29,austria,2002-06-01,2002,6,0.0
30,austria,2002-07-01,2002,7,-0.002
31,austria,2002-08-01,2002,8,0.003
32,austria,2002-09-01,2002,9,0.0
33,austria,2002-10-01,2002,10,0.002
34,austria,2002-11-01,2002,11,0.0
35,austria,2002-12-01,2002,12,0.003
36,austria,2003-01-01,2003,1,0.002
37,austria,2003-02-01,2003,2,0.002
38,austria,2003-03-01,2003,3,0.003
39,austria,2003-04-01,2003,4,-0.001
40,austria,2003-05-01,2003,5,-0.001
41,austria,2003-06-01,2003,6,0.0
42,austria,2003-07-01,2003,7,-0.001
43,austria,2003-08-01,2003,8,0.003
44,austria,2003-09-01,2003,9,0.003
45,austria,2003-10-01,2003,10,0.0
46,austria,2003-11-01,2003,11,0.003
47,austria,2003-12-01,2003,12,0.003
48,austria,2004-01-01,2004,1,0.001
49,austria,2004-02-01,2004,2,0.004
50,austria,2004-03-01,2004,3,0.004
51,austria,2004-04-01,2004,4,-0.001
52,austria,2004-05-01,2004,5,0.004
53,austria,2004-06-01,2004,6,0.002
54,austria,2004-07-01,2004,7,-0.003
55,austria,2004-08-01,2004,8,0.004
56,austria,2004-09-01,2004,9,-0.001
57,austria,2004-10-01,2004,10,0.005
58,austria,2004-11-01,2004,11,0.002
59,austria,2004-12-01,2004,12,0.005
60,austria,2005-01-01,2005,1,0.0
61,austria,2005-02-01,2005,2,0.003
62,austria,2005-03-01,2005,3,0.005
63,austria,2005-04-01,2005,4,-0.002
64,austria,2005-05-01,2005,5,0.0
65,austria,2005-06-01,2005,6,0.003
66,austria,2005-07-01,2005,7,-0.002
67,austria,2005-08-01,2005,8,0.002
68,austria,2005-09-01,2005,9,0.006
69,austria,2005-10-01,2005,10,0.0
70,austria,2005-11-01,2005,11,-0.002
71,austria,2005-12-01,2005,12,0.003
72,austria,2006-01-01,2006,1,0.0
73,austria,2006-02-01,2006,2,0.003
74,austria,2006-03-01,2006,3,0.003
75,austria,2006-04-01,2006,4,0.006
76,austria,2006-05-01,2006,5,0.0
77,austria,2006-06-01,2006,6,0.0
78,austria,2006-07-01,2006,7,-0.002
79,austria,2006-08-01,2006,8,0.003
80,austria,2006-09-01,2006,9,-0.001
81,austria,2006-10-01,2006,10,-0.001
82,austria,2006-11-01,2006,11,0.001
83,austria,2006-12-01,2006,12,0.004
84,austria,2007-01-01,2007,1,0.001
85,austria,2007-02-01,2007,2,0.003
86,austria,2007-03-01,2007,3,0.005
87,austria,2007-04-01,2007,4,0.004
88,austria,2007-05-01,2007,5,0.002
89,austria,2007-06-01,2007,6,0.0
90,austria,2007-07-01,2007,7,-0.001
91,austria,2007-08-01,2007,8,0.0
92,austria,2007-09-01,2007,9,0.002
93,austria,2007-10-01,2007,10,0.006999999999999999
94,austria,2007-11-01,2007,11,0.005
95,austria,2007-12-01,2007,12,0.006
96,austria,2008-01-01,2008,1,-0.003
97,austria,2008-02-01,2008,2,0.003
98,austria,2008-03-01,2008,3,0.009000000000000001
99,austria,2008-04-01,2008,4,0.003
100,austria,2008-05-01,2008,5,0.005
101,austria,2008-06-01,2008,6,0.003
102,austria,2008-07-01,2008,7,-0.003
103,austria,2008-08-01,2008,8,-0.002
104,austria,2008-09-01,2008,9,0.004
105,austria,2008-10-01,2008,10,0.0
106,austria,2008-11-01,2008,11,-0.003
107,austria,2008-12-01,2008,12,-0.002
108,austria,2009-01-01,2009,1,-0.006
109,austria,2009-02-01,2009,2,0.005
110,austria,2009-03-01,2009,3,0.002
111,austria,2009-04-01,2009,4,0.002
112,austria,2009-05-01,2009,5,0.001
113,austria,2009-06-01,2009,6,-0.001
114,austria,2009-07-01,2009,7,-0.004
115,austria,2009-08-01,2009,8,0.004
116,austria,2009-09-01,2009,9,0.002
117,austria,2009-10-01,2009,10,0.001
118,austria,2009-11-01,2009,11,0.002
119,austria,2009-12-01,2009,12,0.003
120,austria,2010-01-01,2010,1,-0.004
121,austria,2010-02-01,2010,2,0.002
122,austria,2010-03-01,2010,3,0.01
123,austria,2010-04-01,2010,4,0.002
124,austria,2010-05-01,2010,5,-0.001
125,austria,2010-06-01,2010,6,0.0
126,austria,2010-07-01,2010,7,-0.005
127,austria,2010-08-01,2010,8,0.003
128,austria,2010-09-01,2010,9,0.004
129,austria,2010-10-01,2010,10,0.004
130,austria,2010-11-01,2010,11,0.0
131,austria,2010-12-01,2010,12,0.006999999999999999
132,austria,2011-01-01,2011,1,-0.001
133,austria,2011-02-01,2011,2,0.008
134,austria,2011-03-01,2011,3,0.012
135,austria,2011-04-01,2011,4,0.006
136,austria,2011-05-01,2011,5,-0.001
137,austria,2011-06-01,2011,6,0.0
138,austria,2011-07-01,2011,7,-0.004
139,austria,2011-08-01,2011,8,0.002
140,austria,2011-09-01,2011,9,0.006
141,austria,2011-10-01,2011,10,0.002
142,austria,2011-11-01,2011,11,0.001
143,austria,2011-12-01,2011,12,0.002
144,austria,2012-01-01,2012,1,-0.006
145,austria,2012-02-01,2012,2,0.005
146,austria,2012-03-01,2012,3,0.012
147,austria,2012-04-01,2012,4,0.003
148,austria,2012-05-01,2012,5,-0.002
149,austria,2012-06-01,2012,6,0.0
150,austria,2012-07-01,2012,7,-0.005
151,austria,2012-08-01,2012,8,0.004
152,austria,2012-09-01,2012,9,0.011000000000000001
153,austria,2012-10-01,2012,10,0.003
154,austria,2012-11-01,2012,11,0.001
155,austria,2012-12-01,2012,12,0.002
156,austria,2013-01-01,2013,1,-0.006
157,austria,2013-02-01,2013,2,0.003
158,austria,2013-03-01,2013,3,0.01
159,austria,2013-04-01,2013,4,0.0
160,austria,2013-05-01,2013,5,0.001
161,austria,2013-06-01,2013,6,-0.002
162,austria,2013-07-01,2013,7,-0.006
163,austria,2013-08-01,2013,8,0.002
164,austria,2013-09-01,2013,9,0.01
165,austria,2013-10-01,2013,10,0.0
166,austria,2013-11-01,2013,11,0.0
167,austria,2013-12-01,2013,12,0.008
168,austria,2014-01-01,2014,1,-0.011000000000000001
169,austria,2014-02-01,2014,2,0.003
170,austria,2014-03-01,2014,3,0.009000000000000001
171,austria,2014-04-01,2014,4,0.001
172,austria,2014-05-01,2014,5,0.001
173,austria,2014-06-01,2014,6,0.0
174,austria,2014-07-01,2014,7,-0.006999999999999999
175,austria,2014-08-01,2014,8,0.0
176,austria,2014-09-01,2014,9,0.009000000000000001
177,austria,2014-10-01,2014,10,0.0
178,austria,2014-11-01,2014,11,0.001
179,austria,2014-12-01,2014,12,0.0
180,austria,2015-01-01,2015,1,-0.013999999999999999
181,austria,2015-02-01,2015,2,0.003
182,austria,2015-03-01,2015,3,0.013999999999999999
183,austria,2015-04-01,2015,4,0.001
184,austria,2015-05-01,2015,5,0.002
185,austria,2015-06-01,2015,6,0.0
186,austria,2015-07-01,2015,7,-0.005
187,austria,2015-08-01,2015,8,-0.002
188,austria,2015-09-01,2015,9,0.005
189,austria,2015-10-01,2015,10,0.001
190,austria,2015-11-01,2015,11,0.0
191,austria,2015-12-01,2015,12,0.006
192,austria,2016-01-01,2016,1,-0.011000000000000001
193,austria,2016-02-01,2016,2,-0.001
194,austria,2016-03-01,2016,3,0.011000000000000001
