date,pop
2000-01-01,3783400000.0
2000-02-01,3787333333.3333335
2000-03-01,3791266666.6666665
2000-04-01,3795200000.0
2000-05-01,3800000000.0
2000-06-01,3804800000.0
2000-07-01,3809600000.0
2000-08-01,3815966666.6666665
2000-09-01,3822333333.3333335
2000-10-01,3828700000.0
2000-11-01,3832433333.3333335
2000-12-01,3836166666.6666665
2001-01-01,3839900000.0
2001-02-01,3844933333.3333335
2001-03-01,3849966666.6666665
2001-04-01,3855000000.0
2001-05-01,3860533333.3333335
2001-06-01,3866066666.6666665
2001-07-01,3871600000.0
2001-08-01,3877300000.0
2001-09-01,3883000000.0
2001-10-01,3888700000.0
2001-11-01,3894500000.0
2001-12-01,3900300000.0
2002-01-01,3906100000.0
2002-02-01,3912366666.6666665
2002-03-01,3918633333.3333335
2002-04-01,3924900000.0
2002-05-01,3929966666.6666665
2002-06-01,3935033333.3333335
2002-07-01,3940100000.0
2002-08-01,3945466666.6666665
2002-09-01,3950833333.3333335
2002-10-01,3956200000.0
2002-11-01,3961933333.3333335
2002-12-01,3967666666.6666665
2003-01-01,3973400000.0
2003-02-01,3978366666.6666665
2003-03-01,3983333333.3333335
2003-04-01,3988300000.0
2003-05-01,3993800000.0
2003-06-01,3999300000.0
2003-07-01,4004800000.0
2003-08-01,4010300000.0
2003-09-01,4015800000.0
2003-10-01,4021300000.0
2003-11-01,4026766666.6666665
2003-12-01,4032233333.3333335
2004-01-01,4037700000.0
2004-02-01,4043533333.3333335
2004-03-01,4049366666.6666665
2004-04-01,4055200000.0
2004-05-01,4062366666.6666665
2004-06-01,4069533333.3333335
2004-07-01,4076700000.0
2004-08-01,4084400000.0
2004-09-01,4092100000.0
2004-10-01,4099800000.0
2004-11-01,4107366666.6666665
2004-12-01,4114933333.3333335
2005-01-01,4122500000.0
2005-02-01,4130133333.333333
2005-03-01,4137766666.6666665
2005-04-01,4145399999.9999995
2005-05-01,4154466666.6666665
2005-06-01,4163533333.3333335
2005-07-01,4172600000.0000005
2005-08-01,4181666666.666667
2005-09-01,4190733333.3333335
2005-10-01,4199800000.0
2005-11-01,4208600000.0
2005-12-01,4217400000.0
2006-01-01,4226200000.0
2006-02-01,4232600000.0
2006-03-01,4238999999.9999995
2006-04-01,4245399999.9999995
2006-05-01,4259399999.9999995
2006-06-01,4273399999.9999995
2006-07-01,4287399999.9999995
2006-08-01,4298533333.333333
2006-09-01,4309666666.666666
2006-10-01,4320800000.0
2006-11-01,4332000000.0
2006-12-01,4343200000.0
2007-01-01,4354400000.0
2007-02-01,4365000000.0
2007-03-01,4375600000.0
2007-04-01,4386200000.0
2007-05-01,4396033333.333333
2007-06-01,4405866666.666667
2007-07-01,4415700000.0
2007-08-01,4425400000.0
2007-09-01,4435100000.0
2007-10-01,4444800000.0
