date,pop
2000-01-01,56929000.0
2000-02-01,56931866.666666664
2000-03-01,56934733.333333336
2000-04-01,56937600.0
2000-05-01,56940533.333333336
2000-06-01,56943466.666666664
2000-07-01,56946400.0
2000-08-01,56949400.0
2000-09-01,56952400.0
2000-10-01,56955400.0
2000-11-01,56958500.0
2000-12-01,56961600.0
2001-01-01,56964700.0
2001-02-01,56967966.666666664
2001-03-01,56971233.333333336
2001-04-01,56974500.0
2001-05-01,56977900.0
2001-06-01,56981300.0
2001-07-01,56984700.0
2001-08-01,56988233.333333336
2001-09-01,56991766.666666664
2001-10-01,56995300.0
2001-11-01,57002133.333333336
2001-12-01,57008966.666666664
2002-01-01,57015800.0
2002-02-01,57032333.333333336
2002-03-01,57048866.666666664
2002-04-01,57065400.0
2002-05-01,57081766.666666664
2002-06-01,57098133.333333336
2002-07-01,57114500.0
2002-08-01,57130833.333333336
2002-09-01,57147166.666666664
2002-10-01,57163500.0
2002-11-01,57188966.666666664
2002-12-01,57214433.333333336
2003-01-01,57239900.0
2003-02-01,57275133.333333336
2003-03-01,57310366.666666664
2003-04-01,57345600.0
2003-05-01,57381133.333333336
2003-06-01,57416666.666666664
2003-07-01,57452200.0
2003-08-01,57487833.333333336
2003-09-01,57523466.666666664
2003-10-01,57559100.0
2003-11-01,57594766.666666664
2003-12-01,57630433.333333336
2004-01-01,57666100.0
2004-02-01,57702000.0
2004-03-01,57737900.0
2004-04-01,57773800.0
2004-05-01,57809966.666666664
2004-06-01,57846133.333333336
2004-07-01,57882300.0
2004-08-01,57918433.333333336
2004-09-01,57954566.666666664
2004-10-01,57990700.0
2004-11-01,58018766.666666664
2004-12-01,58046833.333333336
2005-01-01,58074900.0
2005-02-01,58095200.0
2005-03-01,58115500.0
2005-04-01,58135800.0
2005-05-01,58156333.333333336
2005-06-01,58176866.666666664
2005-07-01,58197400.0
2005-08-01,58217833.333333336
2005-09-01,58238266.666666664
2005-10-01,58258700.0
2005-11-01,58277900.0
2005-12-01,58297100.0
2006-01-01,58316300.0
2006-02-01,58334700.0
2006-03-01,58353100.0
2006-04-01,58371500.0
2006-05-01,58390233.333333336
2006-06-01,58408966.666666664
2006-07-01,58427700.0
2006-08-01,58446500.0
2006-09-01,58465300.0
2006-10-01,58484100.0
2006-11-01,58513633.333333336
2006-12-01,58543166.666666664
2007-01-01,58572700.0
2007-02-01,58613166.666666664
2007-03-01,58653633.333333336
2007-04-01,58694100.0
2007-05-01,58735200.0
2007-06-01,58776300.0
2007-07-01,58817400.0
2007-08-01,58858466.666666664
2007-09-01,58899533.333333336
2007-10-01,58940600.0
2007-11-01,58978666.666666664
2007-12-01,59016733.333333336
2008-01-01,59054800.0
2008-02-01,59089300.0
2008-03-01,59123800.0
2008-04-01,59158300.0
2008-05-01,59193300.0
2008-06-01,59228300.0
2008-07-01,59263300.0
2008-08-01,59298366.666666664
2008-09-01,59333433.333333336
2008-10-01,59368500.0
2008-11-01,59397166.666666664
2008-12-01,59425833.333333336
2009-01-01,59454500.0
2009-02-01,59476766.666666664
2009-03-01,59499033.333333336
2009-04-01,59521300.0
2009-05-01,59543966.666666664
2009-06-01,59566633.333333336
2009-07-01,59589300.0
2009-08-01,59611833.333333336
2009-09-01,59634366.666666664
2009-10-01,59656900.0
2009-11-01,59679100.0
2009-12-01,59701300.0
2010-01-01,59723500.0
2010-02-01,59744733.333333336
2010-03-01,59765966.666666664
2010-04-01,59787200.0
2010-05-01,59808500.0
2010-06-01,59829800.0
2010-07-01,59851100.0
2010-08-01,59872633.333333336
2010-09-01,59894166.666666664
2010-10-01,59915700.0
2010-11-01,59933100.0
2010-12-01,59950500.0
2011-01-01,59967900.0
2011-02-01,59980766.666666664
2011-03-01,59993633.333333336
2011-04-01,60006500.0
2011-05-01,60019833.333333336
2011-06-01,60033166.666666664
2011-07-01,60046500.0
2011-08-01,60059766.666666664
2011-09-01,60073033.333333336
2011-10-01,60086300.0
2011-11-01,60099800.0
