date,co2
2000-01-01,1559264754.0
2000-02-01,1470131596.0
2000-03-01,1437988322.0
2000-04-01,1170322257.0
2000-05-01,1083703793.0
2000-06-01,988539894.5
2000-07-01,951717436.4
2000-08-01,927696435.2
2000-09-01,1155639500.0
2000-10-01,1264490718.0
2000-11-01,1413457993.0
2000-12-01,1565426623.0
2001-01-01,1606808546.0
2001-02-01,1559455094.0
2001-03-01,1556811737.0
2001-04-01,1303088284.0
2001-05-01,1129516878.0
2001-06-01,1048869134.0
2001-07-01,926561254.4000001
2001-08-01,990016679.9
2001-09-01,1168611449.0
2001-10-01,1354964495.0
2001-11-01,1542813866.0
2001-12-01,1719869808.0
2002-01-01,1626632542.0
2002-02-01,1475151224.0
2002-03-01,1489925170.0
2002-04-01,1324997966.0
2002-05-01,1120727613.0
2002-06-01,1087421166.0
2002-07-01,1064493549.9999999
2002-08-01,1057871476.9999999
2002-09-01,1164174595.0
2002-10-01,1509801963.0
2002-11-01,1549362723.0
2002-12-01,1798024751.0
2003-01-01,1793220724.0
2003-02-01,1704991954.0
2003-03-01,1555834648.0
2003-04-01,1388792753.0
2003-05-01,1148569219.0
2003-06-01,1059403039.9999999
2003-07-01,1031002983.0000001
2003-08-01,1034396148.9999999
2003-09-01,1150253646.0
2003-10-01,1505674180.0
2003-11-01,1503802775.0
2003-12-01,1552562699.0
2004-01-01,1835491397.0
2004-02-01,1625861470.0
2004-03-01,1582864189.0
2004-04-01,1449573061.0
2004-05-01,1315041071.0
2004-06-01,1190448202.0
2004-07-01,1116755313.0
2004-08-01,1102129422.0
2004-09-01,1256899181.0
2004-10-01,1478594687.0
2004-11-01,1628913587.0
2004-12-01,1632716104.0
2005-01-01,1815495138.0
2005-02-01,1862551004.0
2005-03-01,1885872341.0
2005-04-01,1501882888.0
2005-05-01,1332591527.0
2005-06-01,1206565801.0
2005-07-01,1155293208.0
2005-08-01,1146217366.0
2005-09-01,1238525678.0
2005-10-01,1554506296.0
2005-11-01,1673917891.0
2005-12-01,1802478792.0
2006-01-01,1977086811.0
2006-02-01,1864690725.0
2006-03-01,1888735604.0
2006-04-01,1590750246.0
2006-05-01,1426940228.0
2006-06-01,1283496218.0
2006-07-01,1205694992.0
2006-08-01,1165081291.0
2006-09-01,1274783649.0
2006-10-01,1539492006.0
2006-11-01,1643718846.0
2006-12-01,1616324113.0
2007-01-01,1949433708.0
2007-02-01,2099417640.0000002
2007-03-01,1820125581.0
2007-04-01,1709055345.0
2007-05-01,1494430837.0
2007-06-01,1347546128.0
2007-07-01,1311449703.0
2007-08-01,1294090209.0
2007-09-01,1464331209.0
2007-10-01,1768011659.0
2007-11-01,1932589407.0
2007-12-01,1900353651.0
2008-01-01,2072201220.9999998
2008-02-01,1946783557.0
2008-03-01,1956161983.0
2008-04-01,1706161333.0
2008-05-01,1519636808.0
2008-06-01,1371111894.0
2008-07-01,1328899956.0
2008-08-01,1339116104.0
2008-09-01,1554993870.0
2008-10-01,1786386510.0
2008-11-01,1922647656.0
2008-12-01,1987490770.0
2009-01-01,1894597126.0
2009-02-01,1811930562.0
2009-03-01,1760903696.0
2009-04-01,1438698108.0
2009-05-01,1283851377.0
2009-06-01,1182402255.0
2009-07-01,1125417614.0
2009-08-01,1162340267.0
2009-09-01,1290280291.0
2009-10-01,1683248676.0
2009-11-01,1637234983.0
2009-12-01,1883583612.0
2010-01-01,2037359664.0
2010-02-01,1786044499.0
2010-03-01,1773303624.0
2010-04-01,1542367287.0
2010-05-01,1358044913.0
2010-06-01,1232796160.0
2010-07-01,1188463131.0
2010-08-01,1165833631.0
2010-09-01,1351357308.0
2010-10-01,1689651239.0
2010-11-01,1718433671.0
2010-12-01,1995562976.0
2011-01-01,1989439751.0
2011-02-01,2056073696.9999998
2011-03-01,1978724793.0
2011-04-01,1616059851.0
2011-05-01,1373292532.0
2011-06-01,1161722165.0
2011-07-01,1185939733.0
2011-08-01,1179060587.0
2011-09-01,1308151418.0
2011-10-01,1651897061.0
2011-11-01,1746222134.0
2011-12-01,1761913962.0
2012-01-01,1881144536.0
2012-02-01,1992048399.0
2012-03-01,1912880100.0
2012-04-01,1674864739.0
2012-05-01,1495285261.0
2012-06-01,1382733057.0
2012-07-01,1314023339.0
2012-08-01,1253986893.0
2012-09-01,1433504290.0
2012-10-01,1770112299.0
2012-11-01,1785744774.0
2012-12-01,1985709460.0
2013-01-01,1997570150.0
2013-02-01,1755527322.0
2013-03-01,2015790540.0
2013-04-01,1672762984.0
2013-05-01,1319279009.0
2013-06-01,1266407042.0
2013-07-01,1207644985.0
2013-08-01,1186879568.0
2013-09-01,1403687796.0
2013-10-01,1661467552.0
2013-11-01,1710329717.0
2013-12-01,1727042971.0
2014-01-01,1942323079.0
2014-02-01,1750994829.0
2014-03-01,1765961291.0
2014-04-01,1614243989.0
2014-05-01,1439897028.0
2014-06-01,1321347528.0
2014-07-01,1232123717.0
2014-08-01,1238462981.0
2014-09-01,1418408320.0
2014-10-01,1771271205.0
2014-11-01,1814533850.0
2014-12-01,1856596636.0
2015-01-01,1894151477.0
2015-02-01,1859469568.0
2015-03-01,1893242800.0
2015-04-01,1763340188.0
2015-05-01,1555789626.0
2015-06-01,1379261358.0
2015-07-01,1319676882.0
2015-08-01,1339965922.0
2015-09-01,1526871951.0
2015-10-01,1892237501.0
2015-11-01,1865912560.0
2015-12-01,1917532731.0
2016-01-01,2099871375.0000002
2016-02-01,1724795136.0
2016-03-01,1808290310.0
2016-04-01,1649611687.0
2016-05-01,1411895811.0
2016-06-01,1417755280.0
2016-07-01,1276112776.0
2016-08-01,1226857201.0
2016-09-01,1532534696.0
2016-10-01,1782990856.0
