date,pop
2000-01-01,
2000-02-01,
2000-03-01,0.0
2000-04-01,0.0
2000-05-01,0.0
2000-06-01,0.0
2000-07-01,0.0
2000-08-01,0.0
2000-09-01,0.0
2000-10-01,0.0
2000-11-01,-0.0027374673123219395
2000-12-01,-7.514302149402852e-06
2001-01-01,-7.555668993575182e-06
2001-02-01,0.0027525372834649176
2001-03-01,0.0
2001-04-01,0.0
2001-05-01,0.0
2001-06-01,0.0
2001-07-01,0.0
2001-08-01,0.0
2001-09-01,0.0
2001-10-01,0.0
2001-11-01,-0.0026638345134628594
2001-12-01,-7.114971641186685e-06
2002-01-01,-7.153080931132649e-06
2002-02-01,0.0026781025660351787
2002-03-01,0.0
2002-04-01,0.0
2002-05-01,0.0
2002-06-01,0.0
2002-07-01,0.0
2002-08-01,0.0
2002-09-01,0.0
2002-10-01,0.0
2002-11-01,-0.0027047087116223167
2002-12-01,-7.335293528143438e-06
2003-01-01,-7.375189056801901e-06
2003-02-01,0.002719419194207262
2003-03-01,0.0
2003-04-01,0.0
2003-05-01,0.0
2003-06-01,0.0
2003-07-01,0.0
2003-08-01,0.0
2003-09-01,0.0
2003-10-01,0.0
2003-11-01,-0.0037256009181323435
2003-12-01,-1.3932023534835025e-05
2004-01-01,-1.4036613418255683e-05
2004-02-01,0.0037535695550854342
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,-0.005403813624841547
2004-12-01,-2.9359929111905103e-05
2005-01-01,-2.9680708719226345e-05
2005-02-01,0.005462854262672678
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,-0.00529112408116994
2005-12-01,-2.8144978626798434e-05
2006-01-01,-2.844600270357489e-05
2006-02-01,0.005347715062500313
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,-0.003942642793067108
2006-12-01,-1.5605981298350002e-05
2007-01-01,-1.5730017301152088e-05
2007-02-01,0.00397397879166661
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,-0.003420361180424436
2007-12-01,-1.1739033823232603e-05
2008-01-01,-1.1819890572084546e-05
2008-02-01,0.003443920104819753
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,-0.003685937586171306
2008-12-01,-1.3636414356810178e-05
2009-01-01,-1.3737687101667007e-05
2009-02-01,0.0037133116876297834
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,-0.006937495437147945
2009-12-01,-4.846526624291414e-05
2010-01-01,-4.9147188564191424e-05
2010-02-01,0.00703510789195505
2010-03-01,0.0
2010-04-01,0.0
2010-05-01,0.0
2010-06-01,0.0
2010-07-01,0.0
2010-08-01,0.0
2010-09-01,0.0
2010-10-01,0.0
2010-11-01,-0.00747521655714678
2010-12-01,-5.629998126543967e-05
2011-01-01,-5.7154473450893306e-05
2011-02-01,0.007588671011863113
2011-03-01,0.0
