date,pop
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,-0.0006173379681335689
2002-02-01,-0.0007197397590914534
2002-03-01,-0.0008220591131511412
2002-04-01,-0.0009242961276463291
2002-05-01,-0.0010678833683890332
2002-06-01,-0.0012113091298786571
2002-07-01,-0.0013545736850488765
2002-08-01,-0.001518230773093876
2002-09-01,-0.0016816938690205063
2002-10-01,-0.0018449633188382109
2002-11-01,-0.0018633180897147383
2002-12-01,-0.0018816828971282007
2003-01-01,-0.0019000576890277898
2003-02-01,-0.0018358678264611683
2003-03-01,-0.0017717547961630942
2003-04-01,-0.0017077184746732144
2003-05-01,-0.0016638658190863964
2003-06-01,-0.001620101105977767
2003-07-01,-0.0015764241329030426
2003-08-01,-0.001512061443527557
2003-09-01,-0.0014478167836671219
2003-10-01,-0.0013836898814645338
2003-11-01,-0.0013204899182639451
2003-12-01,-0.0012573540454425824
2004-01-01,-0.001194282171400829
2004-02-01,-0.0012546486861388928
2004-03-01,-0.0013150084122095507
2004-04-01,-0.0013753613361586758
2004-05-01,-0.0013533319666834132
2004-06-01,-0.0013313454216259402
2004-07-01,-0.0013094016223611504
2004-08-01,-0.0012260907996797243
2004-09-01,-0.0011428624417746391
2004-10-01,-0.0010597164280028437
2004-11-01,-0.0011611742296828709
2004-12-01,-0.0012626047806563179
2005-01-01,-0.0013640080861030413
2005-02-01,-0.0012811268207855164
2005-03-01,-0.0011982940189234625
2005-04-01,-0.0011155096435082612
2005-05-01,-0.0010737438292416357
2005-06-01,-0.0010320148254194805
2005-07-01,-0.0009903225892742284
2005-08-01,-0.0010714134311236023
2005-09-01,-0.0011524648435177198
2005-10-01,-0.001233476853467863
2005-11-01,-0.001089681046448021
2005-12-01,-0.0009459479613980193
2006-01-01,-0.0008022775562928075
2006-02-01,-0.0008019406824040232
2006-03-01,-0.0008016114308873057
2006-04-01,-0.0008012897979980949
2006-05-01,-0.0008008770925229669
2006-06-01,-0.0008004721729371056
2006-07-01,-0.0008000750297867398
2006-08-01,-0.000677124842738408
2006-09-01,-0.0005542450538875698
2006-10-01,-0.00043143560187175467
2006-11-01,-0.00039057234864614543
2006-12-01,-0.00034971826753960045
2007-01-01,-0.00030887335543638983
2007-02-01,-8.461154452987785e-05
2007-03-01,0.00013961081876701087
2007-04-01,0.00036379374780892704
2007-05-01,0.0005675130366675774
2007-06-01,0.0007711501694664946
2007-07-01,0.0009747051978443722
2007-08-01,0.0010761662452409837
2007-09-01,0.001177571577446912
2007-10-01,0.0012789212408712558
2007-11-01,0.0014005833909926935
2007-12-01,0.001522195267735782
2008-01-01,0.0016437569027374366
2008-02-01,0.0016020673881342873
2008-03-01,0.0015603519388847076
2008-04-01,0.0015186105868387756
2008-05-01,0.0015782023510801935
2008-06-01,0.001637699286309413
2008-07-01,0.0016971015361981756
2008-08-01,0.0017768654107612747
2008-09-01,0.0018565344951539942
2008-10-01,0.001936108933410452
2008-11-01,0.0018738689695041444
2008-12-01,0.00181163541605045
2009-01-01,0.0017494082842226533
2009-02-01,0.0016872880657778921
2009-03-01,0.0016251874927775134
2009-04-01,0.0015631065607202288
2009-05-01,0.0013991937336612636
2009-06-01,0.0012353982666333252
2009-07-01,0.0010717200335648158
