date,pop
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,0.00759226947931424
2001-02-01,0.0074650142735102065
2001-03-01,0.007337904748737856
2001-04-01,0.007210940653948228
2001-05-01,0.007097037292286501
2001-06-01,0.00698326409514749
2001-07-01,0.006869620838795498
2001-08-01,0.006762772003941819
2001-09-01,0.0066560381817666325
2001-10-01,0.006549419186058003
2001-11-01,0.006342934404226952
2001-12-01,0.006136685517603269
2002-01-01,0.005930672117809621
2002-02-01,0.0058507788795658655
2002-03-01,0.005770960578921347
2002-04-01,0.005691217110239677
2002-05-01,0.005576318047065598
2002-06-01,0.005461524037613685
2002-07-01,0.005346834937121514
2002-08-01,0.0052100306579419
2002-09-01,0.005073340350321587
2002-10-01,0.004936763870624361
2002-11-01,0.004838688148513626
2002-12-01,0.004740694646610422
2003-01-01,0.004642783261093797
2003-02-01,0.0044622097374116265
2003-03-01,0.004281758608989605
2003-04-01,0.004101429748498475
2003-05-01,0.0038512188824597615
2003-06-01,0.0036011455302258355
2003-07-01,0.003351209570656266
2003-08-01,0.0032067007582625706
2003-09-01,0.00306227172600515
2003-10-01,0.002917922406322049
2003-11-01,0.0027767744474829215
2003-12-01,0.0026357110878656442
2004-01-01,0.0024947322500388225
2004-02-01,0.0024241200549113273
2004-03-01,0.002353538000129163
2004-04-01,0.0022829860662056944
2004-05-01,0.0023303429335577164
2004-06-01,0.002377683373328665
2004-07-01,0.002425007394112555
2004-08-01,0.0024118018105276917
2004-09-01,0.0023986014362904484
2004-10-01,0.0023854062683206223
2004-11-01,0.002260987497443523
2004-12-01,0.0021366102806723575
2005-01-01,0.0020122745962254385
2005-02-01,0.0019611121369500495
2005-03-01,0.0019099652891796381
2005-04-01,0.001858834045709301
2005-05-01,0.001852120062640239
2005-06-01,0.001845408681308669
2005-07-01,0.001838699900201135
2005-08-01,0.0017939388744068197
2005-09-01,0.0017491929127260164
2005-10-01,0.0017044620075097328
2005-11-01,0.0017772140507652523
2005-12-01,0.0018499455528058206
2006-01-01,0.0019226565225274328
2006-02-01,0.001925581798520426
2006-03-01,0.0019285063229474986
2006-04-01,0.0019314300961070785
2006-05-01,0.001836023670588105
2006-06-01,0.0017406444777847696
2006-07-01,0.0016452925056071876
2006-08-01,0.0016640547494368718
2006-09-01,0.0016828111664750622
2006-10-01,0.0017015617594395849
2006-11-01,0.0017044252642754998
2006-12-01,0.001707287744196151
2007-01-01,0.001710149199737998
2007-02-01,0.0017921832696750073
2007-03-01,0.0018741892971405605
2007-04-01,0.001956167296786049
2007-05-01,0.002028703196529591
2007-06-01,0.0021012200498837785
2007-07-01,0.002173717864533131
2007-08-01,0.0021196368489277972
2007-09-01,0.002065570719434362
2007-10-01,0.0020115194698213656
2007-11-01,0.001954292949974956
2007-12-01,0.001897083803481081
2008-01-01,0.0018398920223390292
2008-02-01,0.0017352911598571552
2008-03-01,0.0016307236946246917
2008-04-01,0.001526189610071782
2008-05-01,0.001447009083030082
2008-06-01,0.0013678488211752438
2008-07-01,0.0012887088164923455
2008-08-01,0.0012285964438056851
2008-09-01,0.0011684937551876828
2008-10-01,0.0011084007482047298
2008-11-01,0.001064083496757462
2008-12-01,0.0010197752011258387
2009-01-01,0.0009754758585600598
2009-02-01,0.0009564409763846982
2009-03-01,0.0009374098192864722
2009-04-01,0.0009183823861604878
2009-05-01,0.000911992767267833
2009-06-01,0.0009056042371398121
2009-07-01,0.0008992167954886554
