date,pop
2000-01-01,
2000-02-01,
2000-03-01,-4.0489828023737573e-07
2000-04-01,-4.0438349202531754e-07
2000-05-01,-6.884541075891093e-06
2000-06-01,-3.951721865291802e-07
2000-07-01,-3.9467582269026025e-07
2000-08-01,-3.5971527974965056e-05
2000-09-01,-3.5033173162446474e-07
2000-10-01,-3.4991737862810623e-07
2000-11-01,8.359132445434625e-05
2000-12-01,-4.552563588333669e-07
2001-01-01,-4.546426310980678e-07
2001-02-01,-0.00016478118332230451
2001-03-01,-2.5921725566036e-07
2001-04-01,-2.5895350574955955e-07
2001-05-01,6.17619205200981e-06
2001-06-01,-2.650076638133214e-07
2001-07-01,-2.647350356710376e-07
2001-08-01,-2.917710647665217e-05
2001-09-01,-2.3531905313234347e-07
2001-10-01,-2.3509091207074562e-07
2001-11-01,-1.627446167162816e-05
2001-12-01,-2.1936114080745028e-07
2002-01-01,-2.19155811720384e-07
2002-02-01,-3.866102176885988e-05
2002-03-01,-1.84279656423314e-07
2002-04-01,-1.84121542901039e-07
2002-05-01,-2.897940244039887e-05
2002-06-01,-1.5995394164747267e-07
2002-07-01,-1.5982607592945897e-07
2002-08-01,-5.129228516764783e-05
2002-09-01,-1.2134748672565365e-07
2002-10-01,-1.2126299253623074e-07
2002-11-01,2.2226295918414962e-05
2002-12-01,-1.3714094038164149e-07
2003-01-01,-1.3703942158826976e-07
2003-02-01,-0.00012132315993440557
2003-03-01,-6.188439627408115e-08
2003-04-01,-6.185361201005435e-08
2003-05-01,-9.886140798798237e-05
2003-06-01,-2.244013685981372e-08
2003-07-01,-2.243341157281975e-08
2003-08-01,5.413486201177875e-05
2003-09-01,-4.1567357556004936e-08
2003-10-01,-4.1550414664470736e-08
2003-11-01,2.5427656762389006e-05
2003-12-01,-5.2541718531529114e-08
2004-01-01,-5.2517631132786846e-08
2004-02-01,-5.095651723507899e-05
2004-03-01,-3.174405094341637e-08
2004-04-01,-3.173275331391778e-08
2004-05-01,1.904739328750793e-05
2004-06-01,-3.886771793304433e-08
2004-07-01,-3.8852398631661345e-08
2004-08-01,-6.394742356974348e-06
2004-09-01,-3.635800993606608e-08
2004-10-01,-3.63441472472914e-08
2004-11-01,-8.579594614488428e-05
2004-12-01,-1.0987612597546104e-08
2005-01-01,-1.0985306886368562e-08
2005-02-01,2.221670793645103e-05
2005-03-01,-1.6132545965774625e-08
2005-04-01,-1.6128453239616647e-08
2005-05-01,6.346465368878285e-05
2005-06-01,-3.6265980440930434e-08
2005-07-01,-3.6252174595574616e-08
2005-08-01,-4.4446987043755826e-05
2005-09-01,-2.1293896423912884e-08
2005-10-01,-2.128768272768866e-08
2005-11-01,3.16870023269189e-05
2005-12-01,-3.1528827548754634e-08
2006-01-01,-3.1517625842525376e-08
2006-02-01,-4.756898579216795e-05
2006-03-01,-1.6884111886383835e-08
2006-04-01,-1.6879720732276837e-08
2006-05-01,-3.486554498977057e-05
2006-06-01,-9.033264802837948e-09
2006-07-01,-9.031548842131087e-09
2006-08-01,6.96672289635103e-05
2006-09-01,-2.712068791765887e-08
2006-10-01,-2.7111756395470366e-08
2006-11-01,1.579991419831117e-05
2006-12-01,-3.255374281252443e-08
2007-01-01,-3.2542004646529676e-08
2007-02-01,3.160362860299415e-05
2007-03-01,-4.4926583342430604e-08
2007-04-01,-4.490754079711223e-08
2007-05-01,-4.430764489171679e-05
2007-06-01,-2.8079654157409095e-08
2007-07-01,-2.807025367701499e-08
2007-08-01,-5.691160129117634e-05
2007-09-01,-1.2234576018954613e-08
2007-10-01,-1.2231875956558724e-08
