date,pop
2000-01-01,22455700000.0
2000-02-01,22452700000.0
2000-03-01,22449700000.0
2000-04-01,22446700000.0
2000-05-01,22446700000.0
2000-06-01,22446700000.0
2000-07-01,22446700000.0
2000-08-01,22446700000.0
2000-09-01,22446700000.0
2000-10-01,22446700000.0
2000-11-01,22441600000.0
2000-12-01,22436500000.0
2001-01-01,22431400000.0
2001-02-01,22427566666.666668
2001-03-01,22423733333.333332
2001-04-01,22419900000.0
2001-05-01,22419900000.0
2001-06-01,22419900000.0
2001-07-01,22419900000.0
2001-08-01,22419900000.0
2001-09-01,22419900000.0
2001-10-01,22419900000.0
2001-11-01,22225666666.666668
2001-12-01,22031433333.333332
2002-01-01,21837200000.0
2002-02-01,21831466666.666668
2002-03-01,21825733333.333332
2002-04-01,21820000000.0
2002-05-01,21776633333.333332
2002-06-01,21733266666.666668
2002-07-01,21689900000.0
2002-08-01,21683066666.666668
2002-09-01,21676233333.333332
2002-10-01,21669400000.0
2002-11-01,21657933333.333332
2002-12-01,21646466666.666668
2003-01-01,21635000000.0
2003-02-01,21627266666.666668
2003-03-01,21619533333.333332
2003-04-01,21611800000.0
2003-05-01,21604633333.333332
2003-06-01,21597466666.666668
2003-07-01,21590300000.0
2003-08-01,21581600000.0
2003-09-01,21572900000.0
2003-10-01,21564200000.0
2003-11-01,21553566666.666668
2003-12-01,21542933333.333332
2004-01-01,21532300000.0
2004-02-01,21522933333.333332
2004-03-01,21513566666.666668
2004-04-01,21504200000.0
2004-05-01,21492366666.666668
2004-06-01,21480533333.333332
2004-07-01,21468700000.0
2004-08-01,21458766666.666668
2004-09-01,21448833333.333332
2004-10-01,21438900000.0
2004-11-01,21424600000.0
2004-12-01,21410300000.0
2005-01-01,21396000000.0
2005-02-01,21385800000.0
2005-03-01,21375600000.0
2005-04-01,21365400000.0
2005-05-01,21355700000.0
2005-06-01,21346000000.0
2005-07-01,21336300000.0
2005-08-01,21325900000.0
2005-09-01,21315500000.0
2005-10-01,21305100000.0
2005-11-01,21294233333.333332
2005-12-01,21283366666.666668
2006-01-01,21272500000.0
2006-02-01,21261533333.333332
2006-03-01,21250566666.666668
2006-04-01,21239600000.0
2006-05-01,21229833333.333332
2006-06-01,21220066666.666668
2006-07-01,21210300000.0
2006-08-01,21199700000.0
2006-09-01,21189100000.0
2006-10-01,21178500000.0
2006-11-01,21168100000.0
2006-12-01,21157700000.0
2007-01-01,21147300000.0
2007-02-01,21135633333.333332
2007-03-01,21123966666.666668
2007-04-01,21112300000.0
2007-05-01,21041400000.0
