date,pop
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,-0.0010827165209512657
2001-02-01,-0.0011200172292795685
2001-03-01,-0.001157329298703047
2001-04-01,-0.001194652734437085
2001-05-01,-0.001194652734437085
2001-06-01,-0.001194652734437085
2001-07-01,-0.001194652734437085
2001-08-01,-0.001194652734437085
2001-09-01,-0.001194652734437085
2001-10-01,-0.001194652734437085
2001-11-01,-0.009668602159894846
2001-12-01,-0.018218875519259825
2002-01-01,-0.02684682546137296
2002-02-01,-0.026938502853152357
2002-03-01,-0.027030219999222282
2002-04-01,-0.02712197692584084
2002-05-01,-0.029111427837726467
2002-06-01,-0.031104844555635225
2002-07-01,-0.033102242922158354
2002-08-01,-0.03341733934811231
2002-09-01,-0.03373253509112217
2002-10-01,-0.034047830213811636
2002-11-01,-0.025875954153445235
2002-12-01,-0.017627982824826915
2003-01-01,-0.009302563852671142
2003-02-01,-0.00939748985416955
2003-03-01,-0.00949247474619952
2003-04-01,-0.00958751858400575
2003-05-01,-0.007929731633240067
2003-06-01,-0.006268088913927272
2003-07-01,-0.00460257465651992
2003-08-01,-0.004690518176353464
2003-09-01,-0.004778524885828972
2003-10-01,-0.004866594853417894
2003-11-01,-0.004830513618198751
2003-12-01,-0.004794395460613998
2004-01-01,-0.0047582403239445625
2004-02-01,-0.004835830965099319
2004-03-01,-0.004913483142026109
2004-04-01,-0.004991196928191499
2004-05-01,-0.005209964527054467
2004-06-01,-0.005428925230209103
2004-07-01,-0.00564807929869815
2004-08-01,-0.005707835519650928
2004-09-01,-0.005767643513369336
2004-10-01,-0.005827503347280327
2004-11-01,-0.006001514897651106
2004-12-01,-0.006175728558197591
2005-01-01,-0.006350144683899828
2005-02-01,-0.006391882937347049
2005-03-01,-0.006433659279569071
2005-04-01,-0.0064754737627765735
2005-05-01,-0.0063791503679233585
2005-06-01,-0.006282730139218984
2005-07-01,-0.006186212930117563
2005-08-01,-0.006210967813537138
2005-09-01,-0.006235746239472206
2005-10-01,-0.006260548241527886
2005-11-01,-0.006103493995617271
2005-12-01,-0.005946254667357209
2006-01-01,-0.005788829927428907
2006-02-01,-0.005827657142653209
2006-03-01,-0.00586652292276213
2006-04-01,-0.0059054273252563405
2006-05-01,-0.005911257806456405
2006-06-01,-0.005917093620642078
2006-07-01,-0.005922934775139055
2006-08-01,-0.005935265838665771
2006-09-01,-0.005947609087321837
2006-10-01,-0.005959964539172802
2006-11-01,-0.005940969062336876
2006-12-01,-0.0059219545497981585
2007-01-01,-0.005902920972935988
2007-02-01,-0.005939093574834686
2007-03-01,-0.005975304822069205
2007-04-01,-0.0060115547766272925
2007-05-01,-0.008915499578581176
2007-06-01,-0.011830586655481312
2007-07-01,-0.014756892716494718
2007-08-01,-0.014777091976952761
2007-09-01,-0.01479731185569122
2007-10-01,-0.01481755238430793
2007-11-01,-0.017742685345691456
2007-12-01,-0.020679288173010235
2008-01-01,-0.023627441198240007
2008-02-01,-0.02366486165067272
2008-03-01,-0.0237023248400412
2008-04-01,-0.02373983083963438
2008-05-01,-0.021396661834433672
2008-06-01,-0.01904318183597553
2008-07-01,-0.01667931607363471
2008-08-01,-0.016679952718124724
2008-09-01,-0.016680590025750064
2008-10-01,-0.016681227997544568
2008-11-01,-0.014296866151532583
2008-12-01,-0.011901859091565825
2009-01-01,-0.009496128453054808
2009-02-01,-0.009482189043698241
2009-03-01,-0.009468233386623837
2009-04-01,-0.009454261453409885
