date,infl
2000-01-01,0.13699999999999998
2000-02-01,0.167
2000-03-01,0.168
2000-04-01,0.162
2000-05-01,0.163
2000-06-01,0.157
2000-07-01,0.09300000000000001
2000-08-01,0.08800000000000001
2000-09-01,0.08800000000000001
2000-10-01,0.087
2000-11-01,0.086
2000-12-01,0.084
2001-01-01,0.075
2001-02-01,0.063
2001-03-01,0.066
2001-04-01,0.071
2001-05-01,0.073
2001-06-01,0.075
2001-07-01,0.08
2001-08-01,0.077
2001-09-01,0.073
2001-10-01,0.069
2001-11-01,0.068
2001-12-01,0.067
2002-01-01,0.065
2002-02-01,0.044000000000000004
2002-03-01,0.038
2002-04-01,0.037000000000000005
2002-05-01,0.033
2002-06-01,0.027999999999999997
2002-07-01,0.022000000000000002
2002-08-01,0.03
2002-09-01,0.031000000000000003
2002-10-01,0.033
2002-11-01,0.03
2002-12-01,0.032
2003-01-01,0.071
2003-02-01,0.07400000000000001
2003-03-01,0.08
2003-04-01,0.077
2003-05-01,0.076
2003-06-01,0.083
2003-07-01,0.085
2003-08-01,0.09
2003-09-01,0.09300000000000001
2003-10-01,0.09300000000000001
2003-11-01,0.095
2003-12-01,0.094
2004-01-01,0.083
2004-02-01,0.084
2004-03-01,0.08
2004-04-01,0.079
2004-05-01,0.08199999999999999
2004-06-01,0.08199999999999999
2004-07-01,0.084
2004-08-01,0.071
2004-09-01,0.066
2004-10-01,0.066
2004-11-01,0.062000000000000006
2004-12-01,0.059000000000000004
2005-01-01,0.032
2005-02-01,0.027000000000000003
2005-03-01,0.024
2005-04-01,0.026000000000000002
2005-05-01,0.024
2005-06-01,0.026000000000000002
2005-07-01,0.021
2005-08-01,0.021
2005-09-01,0.023
2005-10-01,0.035
2005-11-01,0.036000000000000004
2005-12-01,0.038
2006-01-01,0.040999999999999995
2006-02-01,0.043
2006-03-01,0.043
2006-04-01,0.044000000000000004
2006-05-01,0.048
2006-06-01,0.045
2006-07-01,0.05
2006-08-01,0.05
2006-09-01,0.045
2006-10-01,0.031000000000000003
2006-11-01,0.036000000000000004
2006-12-01,0.037000000000000005
2007-01-01,0.022000000000000002
2007-02-01,0.02
2007-03-01,0.02
2007-04-01,0.02
2007-05-01,0.015
2007-06-01,0.015
2007-07-01,0.012
2007-08-01,0.012
2007-09-01,0.017
2007-10-01,0.024
2007-11-01,0.023
2007-12-01,0.025
2008-01-01,0.032
2008-02-01,0.034
2008-03-01,0.036000000000000004
2008-04-01,0.036000000000000004
2008-05-01,0.04
2008-06-01,0.043
2008-07-01,0.044000000000000004
2008-08-01,0.045
2008-09-01,0.046
2008-10-01,0.042
2008-11-01,0.039
2008-12-01,0.035
2009-01-01,0.027000000000000003
2009-02-01,0.024
2009-03-01,0.018000000000000002
2009-04-01,0.013999999999999999
2009-05-01,0.011000000000000001
2009-06-01,0.006999999999999999
2009-07-01,0.006
2009-08-01,0.005
2009-09-01,0.0
2009-10-01,-0.001
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,-0.002
2010-02-01,-0.002
2010-03-01,0.003
2010-04-01,0.006999999999999999
2010-05-01,0.006999999999999999
2010-06-01,0.006999999999999999
2010-07-01,0.01
2010-08-01,0.011000000000000001
2010-09-01,0.011000000000000001
2010-10-01,0.01
2010-11-01,0.01
2010-12-01,0.013000000000000001
2011-01-01,0.032
2011-02-01,0.035
2011-03-01,0.038
2011-04-01,0.039
2011-05-01,0.042
2011-06-01,0.040999999999999995
2011-07-01,0.038
2011-08-01,0.040999999999999995
2011-09-01,0.044000000000000004
2011-10-01,0.046
2011-11-01,0.048
2011-12-01,0.046
2012-01-01,0.04
2012-02-01,0.04
2012-03-01,0.039
2012-04-01,0.037000000000000005
2012-05-01,0.034
2012-06-01,0.037000000000000005
2012-07-01,0.038
2012-08-01,0.038
2012-09-01,0.038
2012-10-01,0.039
2012-11-01,0.035
2012-12-01,0.034
2013-01-01,0.025
2013-02-01,0.023
2013-03-01,0.019
2013-04-01,0.017
2013-05-01,0.018000000000000002
2013-06-01,0.017
2013-07-01,0.016
2013-08-01,0.013999999999999999
2013-09-01,0.011000000000000001
2013-10-01,0.006999999999999999
2013-11-01,0.005
2013-12-01,0.004
2014-01-01,0.0
2014-02-01,-0.001
2014-03-01,-0.002
2014-04-01,-0.002
2014-05-01,0.0
2014-06-01,-0.001
2014-07-01,-0.001
2014-08-01,-0.002
2014-09-01,-0.001
2014-10-01,0.0
2014-11-01,0.0
2014-12-01,-0.001
2015-01-01,-0.005
2015-02-01,-0.006
2015-03-01,-0.004
2015-04-01,-0.001
2015-05-01,-0.001
2015-06-01,-0.001
2015-07-01,-0.002
2015-08-01,-0.002
2015-09-01,-0.005
2015-10-01,-0.005
2015-11-01,-0.004
2015-12-01,-0.005
2016-01-01,-0.006
2016-02-01,-0.003
2016-03-01,-0.005
2016-04-01,-0.004
2016-05-01,-0.006999999999999999
2016-06-01,-0.006999999999999999
2016-07-01,-0.009000000000000001
2016-08-01,-0.008
2016-09-01,-0.005
2016-10-01,-0.003
2016-11-01,-0.002
2016-12-01,0.002
2017-01-01,0.008
2017-02-01,0.012
2017-03-01,0.01
2017-04-01,0.008
2017-05-01,0.011000000000000001
2017-06-01,0.01
2017-07-01,0.015
2017-08-01,0.016
2017-09-01,0.018000000000000002
2017-10-01,0.018000000000000002
2017-11-01,0.021
2017-12-01,0.02
2018-01-01,0.026000000000000002
2018-02-01,0.022000000000000002
2018-03-01,0.025
2018-04-01,0.03
2018-05-01,0.027000000000000003
2018-06-01,0.028999999999999998
2018-07-01,0.026000000000000002
2018-08-01,0.028999999999999998
2018-09-01,0.027000000000000003
2018-10-01,0.025
2018-11-01,0.02
2018-12-01,0.019
2019-01-01,0.022000000000000002
2019-02-01,0.023
2019-03-01,0.027000000000000003
2019-04-01,0.024
2019-05-01,0.027000000000000003
2019-06-01,0.027000000000000003
2019-07-01,0.03
2019-08-01,0.03
2019-09-01,0.03
2019-10-01,0.028999999999999998
