date,pop
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,0.001975577879520074
2002-02-01,0.002308092516612348
2002-03-01,0.002640299428881221
2002-04-01,0.002972199053161262
2002-05-01,0.0027312605249711908
2002-06-01,0.002490552508616517
2002-07-01,0.0022500746666249682
2002-08-01,0.0020098266621833005
2002-09-01,0.0017698081591639436
2002-10-01,0.0015300188220841449
2002-11-01,0.0012859326613483546
2002-12-01,0.0010420805447122206
2003-01-01,0.0007984621285093141
2003-02-01,0.0005641762097443603
2003-03-01,0.0003301144846599158
2003-04-01,9.627662532096792e-05
2003-05-01,3.743188312910206e-05
2003-06-01,-2.1342742646979218e-05
2003-07-01,-8.004737733280365e-05
2003-08-01,-0.00013868214595547101
2003-09-01,-0.00019724717325075858
2003-10-01,-0.00025574258364002844
2003-11-01,-0.0003051171916617079
2003-12-01,-0.0003544335249578978
2004-01-01,-0.0004036916866940743
2004-02-01,-0.0004619265296952335
2004-03-01,-0.0005200923530832569
2004-04-01,-0.0005781892795564403
2004-05-01,-0.0006040690768678303
2004-06-01,-0.0006299276345878013
2004-07-01,-0.0006557649756242512
2004-08-01,-0.0006815811228548796
2004-09-01,-0.00070737609913607
2004-10-01,-0.0007331499273117714
2004-11-01,-0.0007634282849888763
2004-12-01,-0.0007936799930572391
2005-01-01,-0.0008239050844753848
2005-02-01,-0.0008495862172015478
2005-03-01,-0.000875246325870549
2005-04-01,-0.0009008854331700178
2005-05-01,-0.0008416291328572356
2005-06-01,-0.0007824371513578399
2005-07-01,-0.0007233093840568472
2005-08-01,-0.0006642457265613189
2005-09-01,-0.0006052460747145716
2005-10-01,-0.0005463103245748613
2005-11-01,-0.000491878465586737
2005-12-01,-0.0004375061039176842
2006-01-01,-0.0003831931422517698
2006-02-01,-0.00032450565067954074
2006-03-01,-0.0002658815504776868
2006-04-01,-0.0002073207390385079
2006-05-01,3.643586841306501e-05
2006-06-01,0.0002799083773101785
2006-07-01,0.0005230972909124887
2006-08-01,0.0007660031112592947
2006-09-01,0.0010086263392139472
2006-10-01,0.0012509674744283217
2006-11-01,0.001501907201669539
2006-12-01,0.0017525574375270025
2007-01-01,0.0020029186899837015
2007-02-01,0.0022441238002119945
2007-03-01,0.002485049310122278
2007-04-01,0.0027256957122556713
2007-05-01,0.0027951208552483564
2007-06-01,0.002864308729721543
2007-07-01,0.002933260158672013
2007-08-01,0.0030063509221012197
2007-09-01,0.0030791981375735133
2007-10-01,0.0031518026442132197
2007-11-01,0.003215363334192034
2007-12-01,0.003278695866649528
2008-01-01,0.003341801038638792
2008-02-01,0.003413462352261476
2008-03-01,0.003484885069891419
2008-04-01,0.0035560700104859677
2008-05-01,0.00328192386625048
2008-06-01,0.003008237288645077
2008-07-01,0.002735009113809639
2008-08-01,0.0024534882611355613
2008-09-01,0.0021724409721048943
2008-10-01,0.001891866042374346
2008-11-01,0.0016204859724702203
2008-12-01,0.001349558493275893
2009-01-01,0.0010790824645781072
2009-02-01,0.0008003589990295268
2009-03-01,0.0005221019841528118
2009-04-01,0.0002443102398661523
2009-05-01,-0.00019788001386977783
2009-06-01,-0.0006393422121426795
2009-07-01,-0.001080078193245626
2009-08-01,-0.0015157148288018618
2009-09-01,-0.0019506376432207873
