,country,date,pop_monthly
0,austria,2000-01-01,8003000.0
1,austria,2000-02-01,8004700.0
2,austria,2000-03-01,8006400.0
3,austria,2000-04-01,8008100.0
4,austria,2000-05-01,8010100.0
5,austria,2000-06-01,8012100.0
6,austria,2000-07-01,8014100.0
7,austria,2000-08-01,8015480.0
8,austria,2000-09-01,8016860.0
9,austria,2000-10-01,8018240.0
10,austria,2000-11-01,8019620.0
11,austria,2000-12-01,8021000.0
12,austria,2001-01-01,8028700.0
13,austria,2001-02-01,8031533.333333333
14,austria,2001-03-01,8034366.666666667
15,austria,2001-04-01,8037200.0
16,austria,2001-05-01,8040333.333333333
17,austria,2001-06-01,8043466.666666667
18,austria,2001-07-01,8046600.0
19,austria,2001-08-01,8048620.0
20,austria,2001-09-01,8050640.0
21,austria,2001-10-01,8052660.0
22,austria,2001-11-01,8054680.0
23,austria,2001-12-01,8056700.0
24,austria,2002-01-01,8068300.0
25,austria,2002-02-01,8071100.0
26,austria,2002-03-01,8073900.0
27,austria,2002-04-01,8076700.0
28,austria,2002-05-01,8080066.666666667
29,austria,2002-06-01,8083433.333333333
30,austria,2002-07-01,8086800.0
31,austria,2002-08-01,8088780.0
32,austria,2002-09-01,8090760.0
33,austria,2002-10-01,8092740.0
34,austria,2002-11-01,8094720.0
35,austria,2002-12-01,8096700.0
36,austria,2003-01-01,8103000.0
37,austria,2003-02-01,8105333.333333333
38,austria,2003-03-01,8107666.666666667
39,austria,2003-04-01,8110000.0
40,austria,2003-05-01,8114333.333333333
41,austria,2003-06-01,8118666.666666667
42,austria,2003-07-01,8123000.0
43,austria,2003-08-01,8125800.0
44,austria,2003-09-01,8128600.0
45,austria,2003-10-01,8131400.0
46,austria,2003-11-01,8134200.0
47,austria,2003-12-01,8137000.0
48,austria,2004-01-01,8147600.0
49,austria,2004-02-01,8151566.666666667
50,austria,2004-03-01,8155533.333333333
51,austria,2004-04-01,8159500.0
52,austria,2004-05-01,8165200.0
53,austria,2004-06-01,8170900.0
54,austria,2004-07-01,8176600.0
55,austria,2004-08-01,8180100.0
