date,gdp
2000-01-01,230947800000.0
2000-04-01,234469600000.0
2000-07-01,236713500000.0
2000-10-01,239502700000.0
2001-01-01,237766900000.0
2001-04-01,237647000000.0
2001-07-01,238515600000.0
2001-10-01,241682600000.0
2002-01-01,247039200000.0
2002-04-01,251301800000.0
2002-07-01,254369500000.0
2002-10-01,255717400000.0
2003-01-01,258504100000.0
2003-04-01,259807100000.0
2003-07-01,262097200000.0
2003-10-01,264497599999.99997
2004-01-01,269752500000.0
2004-04-01,273809800000.0
2004-07-01,278261700000.0
2004-10-01,280413700000.0
2005-01-01,280482400000.0
2005-04-01,285299900000.0
2005-07-01,289979000000.0
2005-10-01,296051400000.0
2006-01-01,304317800000.0
2006-04-01,308685900000.0
2006-07-01,315070100000.0
2006-10-01,317601100000.0
2007-01-01,321536600000.0
2007-04-01,325361700000.0
2007-07-01,327687200000.0
2007-10-01,332885400000.0
2008-01-01,338681800000.0
2008-04-01,345218300000.0
2008-07-01,347874300000.0
2008-10-01,343412800000.0
2009-01-01,339961900000.0
2009-04-01,338715300000.0
2009-07-01,341455100000.0
2009-10-01,344730600000.0
2010-01-01,342944100000.0
2010-04-01,348457700000.0
2010-07-01,352916100000.0
2010-10-01,359577300000.0
2011-01-01,365639900000.0
2011-04-01,370839900000.0
2011-07-01,376638800000.0
2011-10-01,378918200000.0
2012-01-01,387176100000.0
2012-04-01,389555800000.0
2012-07-01,393078800000.0
2012-10-01,397142000000.0
2013-01-01,400599700000.0
2013-04-01,403590200000.0
2013-07-01,408289500000.0
2013-10-01,412324300000.0
2014-01-01,412625700000.0
2014-04-01,417218100000.0
2014-07-01,418789300000.0
2014-10-01,420667000000.0
2015-01-01,422014100000.0
2015-04-01,427208400000.0
2015-07-01,434636800000.0
2015-10-01,440274300000.0
2016-01-01,449724200000.0
2016-04-01,458257200000.0
2016-07-01,463579600000.0
2016-10-01,469743200000.0
2017-01-01,470745300000.0
2017-04-01,473597200000.0
2017-07-01,478223000000.0
2017-10-01,484573500000.0
2018-01-01,492847200000.0
2018-04-01,499760100000.0
2018-07-01,505409900000.0
2018-10-01,515805700000.0
2019-01-01,522541500000.0
2019-04-01,525966699999.99994
2019-07-01,533816199999.99994
2019-10-01,537426300000.00006
