date,pop
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,-0.018025392494584125
2001-04-01,-0.03134982863729441
2001-07-01,-0.0316787437988193
2001-10-01,-0.032026970503387986
2002-01-01,-0.01907881958848634
2002-04-01,-0.005759764772875542
2002-07-01,-0.005796308883960322
2002-10-01,-0.005780840279038912
2003-01-01,-0.005952247115963871
2003-04-01,-0.006137957330620836
2003-07-01,-0.006022039403678292
2003-10-01,-0.0058016366375017725
2004-01-01,-0.005564488707028303
2004-04-01,-0.005353633525082557
2004-07-01,-0.005260603884194026
2004-10-01,-0.005204028474505407
2005-01-01,-0.005170030549775717
2005-04-01,-0.005201706142166529
2005-07-01,-0.005223762531638698
2005-10-01,-0.005347813558984171
2006-01-01,-0.005417264413447143
2006-04-01,-0.005449534226279695
2006-07-01,-0.005446212792639571
2006-10-01,-0.005246356474165381
2007-01-01,-0.005173075211706291
2007-04-01,-0.005179268523516356
2007-07-01,-0.005149241274331473
2007-10-01,-0.005143144471194461
2008-01-01,-0.004977311950913332
2008-04-01,-0.0048390777260785
2008-07-01,-0.004703055168679526
2008-10-01,-0.004472754523447975
2009-01-01,-0.0043048640496792245
2009-04-01,-0.004309445391212918
2009-07-01,-0.004791248043140683
2009-10-01,-0.005404421042015883
2010-01-01,-0.006108399876534776
2010-04-01,-0.0067377687420684396
2010-07-01,-0.007363101387481308
2010-10-01,-0.007828711498317986
2011-01-01,-0.016276574712021485
2011-04-01,-0.0246661011042697
2011-07-01,-0.023780542277142658
2011-10-01,-0.023492437911775355
2012-01-01,-0.01527492173422118
2012-04-01,-0.0065567748312513885
2012-07-01,-0.006527670085025861
2012-10-01,-0.006142164135988892
2013-01-01,-0.005217153086711335
2013-04-01,-0.004578360886954513
2013-07-01,-0.004627889527814233
2013-10-01,-0.00503481405831252
2014-01-01,-0.005216912387416173
2014-04-01,-0.00501357743422659
2014-07-01,-0.005714774539267609
2014-10-01,-0.006253046590412481
2015-01-01,-0.005924302744897858
2015-04-01,-0.005913530372090747
2015-07-01,-0.0050795346122445295
2015-10-01,-0.005454837287677705
2016-01-01,-0.006839848078293187
2016-04-01,-0.00695526502549626
2016-07-01,-0.00703726776372271
2016-10-01,-0.007169794475903046
2017-01-01,-0.0073092869557545015
2017-04-01,-0.007609831174574921
2017-07-01,-0.007835343967556696
2017-10-01,-0.007561366030175876
2018-01-01,-0.00734892155465694
2018-04-01,-0.007071865179716141
2018-07-01,-0.006162147203827573
2018-10-01,-0.0063356084417645064
2019-01-01,-0.007017572658646998
2019-04-01,-0.00689353401420334
2019-07-01,-0.006944125777469168
2019-10-01,-0.006992885485770373
