date,pop
2000-01-01,4508700.0
2000-04-01,4493800.0
2000-07-01,4479000.0
2000-10-01,4391700.0
2001-01-01,4294100.0
2001-04-01,4299200.0
2001-07-01,4304200.0
2001-10-01,4304200.0
2002-01-01,4305500.0
2002-04-01,4305500.0
2002-07-01,4305400.0
2002-10-01,4305400.0
2003-01-01,4305400.0
2003-04-01,4305500.0
2003-07-01,4305600.0
2003-10-01,4305700.0
2004-01-01,4306400.0
2004-04-01,4307700.0
2004-07-01,4308900.0
2004-10-01,4310200.0
2005-01-01,4311100.0
2005-04-01,4311500.0
2005-07-01,4311900.0
2005-10-01,4312300.0
2006-01-01,4312600.0
2006-04-01,4312900.0
2006-07-01,4313100.0
2006-10-01,4313400.0
2007-01-01,4314700.0
2007-04-01,4312400.0
2007-07-01,4312400.0
2007-10-01,4311400.0
2008-01-01,4310500.0
2008-04-01,4311800.0
2008-07-01,4310700.0
2008-10-01,4310500.0
2009-01-01,4308500.0
2009-04-01,4307600.0
2009-07-01,4306200.0
2009-10-01,4303000.0
2010-01-01,4300500.0
2010-04-01,4296800.0
2010-07-01,4294800.0
2010-10-01,4291900.0
2011-01-01,4287600.0
2011-04-01,4283300.0
2011-07-01,4281500.0
2011-10-01,4279600.0
2012-01-01,4274000.0
2012-04-01,4268700.0
2012-07-01,4268100.0
2012-10-01,4265200.0
2013-01-01,4256600.0
2013-04-01,4255600.0
2013-07-01,4254300.0
2013-10-01,4249500.0
2014-01-01,4242000.0
2014-04-01,4239800.0
2014-07-01,4232900.0
2014-10-01,4229300.0
2015-01-01,4221000.0
2015-04-01,4210100.0
2015-07-01,4203700.0
2015-10-01,4197200.0
2016-01-01,4183500.0
2016-04-01,4175700.0
2016-07-01,4168100.0000000005
2016-10-01,4160800.0
2017-01-01,4139899.9999999995
2017-04-01,4133000.0
2017-07-01,4126399.9999999995
2017-10-01,4120100.0000000005
2018-01-01,4099399.9999999995
2018-04-01,4093500.0
2018-07-01,4088000.0
2018-10-01,4082600.0
2019-01-01,4074300.0
2019-04-01,4069200.0
2019-07-01,4064800.0
2019-10-01,4060500.0
