date,pop
2000-01-01,10274000.0
2000-04-01,10272000.0
2000-07-01,10272000.0
2000-10-01,10269000.0
2001-01-01,10231000.0
2001-04-01,10227000.0
2001-07-01,10221000.0
2001-10-01,10213000.0
2002-01-01,10203000.0
2002-04-01,10201000.0
2002-07-01,10201000.0
2002-10-01,10203000.0
2003-01-01,10198000.0
2003-04-01,10199000.0
2003-07-01,10206000.0
2003-10-01,10211000.0
2004-01-01,10207000.0
2004-04-01,10206000.0
2004-07-01,10210000.0
2004-10-01,10217000.0
2005-01-01,10222000.0
2005-04-01,10228000.0
2005-07-01,10239000.0
2005-10-01,10250000.0
2006-01-01,10254000.0
2006-04-01,10262000.0
2006-07-01,10272000.0
2006-10-01,10284000.0
2007-01-01,10295000.0
2007-04-01,10310000.0
2007-07-01,10333000.0
2007-10-01,10357000.0
2008-01-01,10393000.0
2008-04-01,10419000.0
2008-07-01,10441000.0
2008-10-01,10461000.0
2009-01-01,10474000.0
2009-04-01,10486000.0
2009-07-01,10497000.0
2009-10-01,10506000.0
2010-01-01,10508000.0
2010-04-01,10513000.0
2010-07-01,10522000.0
2010-10-01,10531000.0
2011-01-01,10489000.0
2011-04-01,10493000.0
2011-07-01,10500000.0
2011-10-01,10506000.0
2012-01-01,10506000.0
2012-04-01,10508000.0
2012-07-01,10514000.0
2012-10-01,10517000.0
2013-01-01,10514000.0
2013-04-01,10511000.0
2013-07-01,10512000.0
2013-10-01,10514000.0
2014-01-01,10517000.0
2014-04-01,10522000.0
2014-07-01,10528000.0
2014-10-01,10536000.0
2015-01-01,10538000.0
2015-04-01,10540000.0
2015-07-01,10545000.0
2015-10-01,10551000.0
2016-01-01,10556000.0
2016-04-01,10561000.0
2016-07-01,10569000.0
2016-10-01,10577000.0
2017-01-01,10578000.0
2017-04-01,10584000.0
2017-07-01,10595000.0
2017-10-01,10606000.0
2018-01-01,10612000.0
2018-04-01,10619000.0
2018-07-01,10633000.0
2018-10-01,10646000.0
2019-01-01,10653000.0
2019-04-01,10662000.0
2019-07-01,10676000.0
2019-10-01,10689000.0
