date,co2
2000-01-01,139133057630.0
2000-04-01,99321927570.0
2000-07-01,87962535800.0
2000-10-01,123615700690.0
2001-01-01,131081893100.0
2001-04-01,101917211900.0
2001-07-01,90036711760.0
2001-10-01,130916456810.0
2002-01-01,133406666420.0
2002-04-01,102417756290.0
2002-07-01,88059240770.0
2002-10-01,123353695550.0
2003-01-01,138622676440.0
2003-04-01,98541360770.0
2003-07-01,88234110960.0
2003-10-01,128058384240.0
2004-01-01,138514408720.0
2004-04-01,101718038420.0
2004-07-01,88100022320.0
2004-10-01,126779969290.0
2005-01-01,141450263910.0
2005-04-01,100643088950.0
2005-07-01,89689507640.0
2005-10-01,129002556490.0
2006-01-01,144705071270.0
2006-04-01,95877053660.0
2006-07-01,85925474000.0
2006-10-01,119156595070.0
2007-01-01,129406586270.0
2007-04-01,94073139640.0
2007-07-01,87583242020.0
2007-10-01,132268729290.0
2008-01-01,130605383310.0
2008-04-01,98010727530.0
2008-07-01,87922918030.0
2008-10-01,127784405470.0
2009-01-01,137582244350.0
2009-04-01,90951449420.0
2009-07-01,84265736010.0
2009-10-01,121657000960.0
2010-01-01,136169830600.0
2010-04-01,96906186220.0
2010-07-01,86701561140.0
2010-10-01,126805819080.0
2011-01-01,132990592150.0
2011-04-01,91768087960.0
2011-07-01,85505729170.0
2011-10-01,118476809340.0
2012-01-01,134060762000.0
2012-04-01,97947451910.0
2012-07-01,86792743130.0
2012-10-01,119141525990.0
2013-01-01,136015436400.0
2013-04-01,98549844310.0
2013-07-01,85194596750.0
2013-10-01,117115523670.0
2014-01-01,120132235120.0
2014-04-01,88292055010.0
2014-07-01,76660800600.0
2014-10-01,114048621990.0
2015-01-01,129309195570.0
2015-04-01,86448668600.0
2015-07-01,79395748880.0
2015-10-01,112591379790.0
2016-01-01,120375431280.0
2016-04-01,90897469580.0
2016-07-01,81542336750.0
2016-10-01,120424963370.0
2017-01-01,123542140270.0
2017-04-01,91493364890.0
2017-07-01,83129396830.0
2017-10-01,118964430150.0
2018-01-01,119429619090.0
2018-04-01,90239860890.0
2018-07-01,82002538330.0
2018-10-01,115078937280.0
2019-01-01,117146635980.0
2019-04-01,89229923330.0
2019-07-01,81077283720.0
2019-10-01,112650100540.0
