date,co2
2000-01-01,285412486970.0
2000-04-01,191537305950.0
2000-07-01,176145061250.0
2000-10-01,252774955570.0
2001-01-01,286084583440.0
2001-04-01,198063179210.0
2001-07-01,171712600290.0
2001-10-01,266946360490.0
2002-01-01,268257207160.0
2002-04-01,200107639920.0
2002-07-01,177632166870.0
2002-10-01,262381986610.0
2003-01-01,285841432500.0
2003-04-01,197978110970.0
2003-07-01,180062308480.0
2003-10-01,260879489560.0
2004-01-01,283641010120.0
2004-04-01,200215223220.0
2004-07-01,176572359630.0
2004-10-01,255542428670.0
2005-01-01,281063580420.0
2005-04-01,197965393020.0
2005-07-01,172425315230.0
2005-10-01,254700254640.0
2006-01-01,306637824740.0
2006-04-01,202839586730.0
2006-07-01,178003186700.0
2006-10-01,247986809620.0
2007-01-01,270403595860.0
2007-04-01,193928299600.0
2007-07-01,183632631730.0
2007-10-01,267942286990.0
2008-01-01,279757365950.0
2008-04-01,199033404740.0
2008-07-01,182091841670.0
2008-10-01,262413964470.0
2009-01-01,278182839490.0
2009-04-01,175926779470.0
2009-07-01,163242713090.0
2009-10-01,243738849870.0
2010-01-01,277401137480.0
2010-04-01,201981204410.0
2010-07-01,177826309650.0
2010-10-01,263859492000.0
2011-01-01,284041072340.0
2011-04-01,193288761860.0
2011-07-01,167570131990.0
2011-10-01,246920934090.0
2012-01-01,278066998610.0
2012-04-01,197005860040.0
2012-07-01,174692864020.0
2012-10-01,263218630170.0
2013-01-01,301452294730.0
2013-04-01,199728768180.0
2013-07-01,176414915520.0
2013-10-01,255542997700.0
2014-01-01,265282498720.0
2014-04-01,194897057700.0
2014-07-01,175631140780.0
2014-10-01,254560835200.0
2015-01-01,279287610340.0
2015-04-01,191763523350.0
2015-07-01,175620366140.0
2015-10-01,249176418830.0
2016-01-01,269491453450.0
2016-04-01,194825092120.0
2016-07-01,173253326340.0
2016-10-01,260880110390.0
2017-01-01,267767623170.0
2017-04-01,199294654710.0
2017-07-01,179583439270.0
2017-10-01,238482708410.0
2018-01-01,261076149360.0
2018-04-01,192207584950.0
2018-07-01,169837403310.0
2018-10-01,238402452720.0
2019-01-01,247976419180.0
2019-04-01,179985359960.0
2019-07-01,157481895270.0
2019-10-01,225365837900.0
