date,gdp
2000-01-01,1512974300000.0
2000-04-01,1534647800000.0
2000-07-01,1550545700000.0
2000-10-01,1578806700000.0
2001-01-01,1593338000000.0
2001-04-01,1595303900000.0
2001-07-01,1597090200000.0
2001-10-01,1602115900000.0
2002-01-01,1615829400000.0
2002-04-01,1631454200000.0
2002-07-01,1645881000000.0
2002-10-01,1663240300000.0
2003-01-01,1667088000000.0
2003-04-01,1669129100000.0
2003-07-01,1673134900000.0
2003-10-01,1688098300000.0
2004-01-01,1693499200000.0
2004-04-01,1703740700000.0
2004-07-01,1701630300000.0
2004-10-01,1709603300000.0
2005-01-01,1707180200000.0
2005-04-01,1729682400000.0
2005-07-01,1760669300000.0
2005-10-01,1792539400000.0
2006-01-01,1828397900000.0
2006-04-01,1875025000000.0
2006-07-01,1908941700000.0
2006-10-01,1946878700000.0
2007-01-01,1959019600000.0
2007-04-01,1982651500000.0
2007-07-01,2009097800000.0
2007-10-01,2029600600000.0
2008-01-01,2082834800000.0
2008-04-01,2096602200000.0
2008-07-01,2105826000000.0
2008-10-01,2071935400000.0
2009-01-01,2036744600000.0
2009-04-01,2032291900000.0
2009-07-01,2048777200000.0
2009-10-01,2055891000000.0
2010-01-01,2054099400000.0
2010-04-01,2071018000000.0
2010-07-01,2085948800000.0
2010-10-01,2115761299999.9998
2011-01-01,2151426500000.0
2011-04-01,2177841400000.0
2011-07-01,2189705500000.0
2011-10-01,2177855700000.0002
2012-01-01,2170182900000.0
2012-04-01,2168857000000.0
2012-07-01,2174754700000.0002
2012-10-01,2176393200000.0002
2013-01-01,2171592400000.0
2013-04-01,2181918600000.0
2013-07-01,2195871700000.0002
2013-10-01,2198875200000.0002
2014-01-01,2201702700000.0
2014-04-01,2203494300000.0
2014-07-01,2207135800000.0
2014-10-01,2194748400000.0
2015-01-01,2194182200000.0002
2015-04-01,2220084200000.0
2015-07-01,2250012000000.0
2015-10-01,2295306300000.0
2016-01-01,2351399100000.0
2016-04-01,2409055800000.0
2016-07-01,2451343800000.0
2016-10-01,2479573200000.0
2017-01-01,2497048300000.0
2017-04-01,2507749200000.0
2017-07-01,2525299200000.0
2017-10-01,2551626700000.0
2018-01-01,2561221400000.0
2018-04-01,2587272600000.0
2018-07-01,2608931400000.0
2018-10-01,2644660400000.0
2019-01-01,2682707300000.0
2019-04-01,2726379700000.0
2019-07-01,2760726500000.0
2019-10-01,2772612600000.0
