date,brent
2000-01-01,80.78
2000-04-01,80.3
2000-07-01,92.02
2000-10-01,89.17
2001-01-01,77.62
2001-04-01,81.82
2001-07-01,75.91
2001-10-01,58.05
2002-01-01,63.400000000000006
2002-04-01,75.16
2002-07-01,80.78999999999999
2002-10-01,80.21
2003-01-01,94.56
2003-04-01,78.50999999999999
2003-07-01,85.35
2003-10-01,88.17
2004-01-01,95.77000000000001
2004-04-01,106.34
2004-07-01,124.16
2004-10-01,132.49
2005-01-01,143.09
2005-04-01,154.88
2005-07-01,184.41
2005-10-01,170.64
2006-01-01,185.26
2006-04-01,208.60000000000002
2006-07-01,208.86
2006-10-01,179.04
2007-01-01,173.29
2007-04-01,205.75
2007-07-01,224.86
2007-10-01,265.68
2008-01-01,290.81
2008-04-01,364.19
2008-07-01,343.19
2008-10-01,163.98000000000002
2009-01-01,133.3
2009-04-01,176.09
2009-07-01,204.60000000000002
2009-10-01,223.89
2010-01-01,228.75
2010-04-01,235.53
2010-07-01,230.46
2010-10-01,259.4
2011-01-01,314.88
2011-04-01,352.08
2011-07-01,340.02
2011-10-01,328.19
2012-01-01,355.47
2012-04-01,325.25
2012-07-01,328.84000000000003
2012-10-01,330.26
2013-01-01,337.48
2013-04-01,307.73
2013-07-01,330.81
2013-10-01,327.63
2014-01-01,324.5
2014-04-01,329.1
2014-07-01,305.47
2014-10-01,229.21
2015-01-01,161.75
2015-04-01,185.08
2015-07-01,150.7
2015-10-01,130.71
2016-01-01,101.09
2016-04-01,136.57
2016-07-01,137.36
2016-10-01,147.56
2017-01-01,161.04
2017-04-01,149.01
2017-07-01,156.32999999999998
2017-10-01,184.59
2018-01-01,200.42
2018-04-01,223.5
2018-07-01,225.67000000000002
2018-10-01,203.14
2019-01-01,189.51
2019-04-01,206.76999999999998
2019-07-01,185.79
2019-10-01,190.23000000000002
