date,gdp
2000-01-01,191274700000.0
2000-04-01,191887900000.0
2000-07-01,195927100000.0
2000-10-01,197983800000.0
2001-01-01,198121000000.0
2001-04-01,201183700000.0
2001-07-01,202764700000.0
2001-10-01,207373700000.0
2002-01-01,210061700000.0
2002-04-01,211409000000.0
2002-07-01,212965000000.0
2002-10-01,214006600000.0
2003-01-01,216562900000.0
2003-04-01,216169200000.0
2003-07-01,219107000000.0
2003-10-01,220504800000.0
2004-01-01,222358800000.0
2004-04-01,224610400000.0
2004-07-01,225952600000.0
2004-10-01,227735600000.0
2005-01-01,232427100000.0
2005-04-01,236858600000.0
2005-07-01,240208200000.0
2005-10-01,245421400000.0
2006-01-01,252645600000.0
2006-04-01,259636900000.0
2006-07-01,262085500000.0
2006-10-01,264468700000.0
2007-01-01,267818300000.0
2007-04-01,269687000000.0
2007-07-01,271445099999.99997
2007-10-01,276391300000.0
2008-01-01,279011100000.0
2008-04-01,280643800000.0
2008-07-01,284031900000.0
2008-10-01,282544700000.0
2009-01-01,276694700000.0
2009-04-01,277615800000.0
2009-07-01,281257600000.0
2009-10-01,282947600000.0
2010-01-01,286419700000.0
2010-04-01,289049900000.0
2010-07-01,289072800000.0
2010-10-01,288377800000.0
2011-01-01,285407200000.0
2011-04-01,284176900000.0
2011-07-01,282575800000.0
2011-10-01,278290400000.0
2012-01-01,278666800000.0
2012-04-01,277242100000.0
2012-07-01,277857800000.0
2012-10-01,278192600000.0
2013-01-01,284937500000.0
2013-04-01,291085600000.0
2013-07-01,293689000000.0
2013-10-01,298967800000.0
2014-01-01,296959100000.0
2014-04-01,298516100000.0
2014-07-01,299096500000.0
2014-10-01,301239500000.0
2015-01-01,302380500000.0
2015-04-01,305450500000.0
2015-07-01,308397500000.0
2015-10-01,312761900000.0
2016-01-01,318064800000.0
2016-04-01,323998500000.0
2016-07-01,329701400000.0
2016-10-01,333854500000.0
2017-01-01,337005200000.0
2017-04-01,337882700000.0
2017-07-01,340849100000.0
2017-10-01,345714800000.0
2018-01-01,350701300000.0
2018-04-01,357337000000.0
2018-07-01,361636300000.0
2018-10-01,367269800000.0
2019-01-01,374038700000.0
2019-04-01,380837000000.0
2019-07-01,386289100000.0
2019-10-01,393785400000.0
