date,pop
2000-01-01,10260900000.0
2000-04-01,10280500000.0
2000-07-01,10299900000.0
2000-10-01,10318200000.0
2001-01-01,10339100000.0
2001-04-01,10354900000.0
2001-07-01,10370900000.0
2001-10-01,10386000000.0
2002-01-01,10400600000.0
2002-04-01,10414000000.0
2002-07-01,10426500000.0
2002-10-01,10437400000.0
2003-01-01,10449000000.0
2003-04-01,10456800000.0
2003-07-01,10461500000.0
2003-10-01,10467900000.0
2004-01-01,10475100000.0
2004-04-01,10480700000.0
2004-07-01,10486900000.0
2004-10-01,10492900000.0
2005-01-01,10496200000.0
2005-04-01,10500200000.0
2005-07-01,10506200000.0
2005-10-01,10510800000.0
2006-01-01,10516400000.0
2006-04-01,10520500000.0
2006-07-01,10523500000.0
2006-10-01,10528700000.0
2007-01-01,10534400000.0
2007-04-01,10541100000.0
2007-07-01,10546400000.0
2007-10-01,10549900000.0
2008-01-01,10553800000.0
2008-04-01,10557200000.0
2008-07-01,10560000000.0
2008-10-01,10561600000.0
2009-01-01,10564100000.0
2009-04-01,10566900000.0
2009-07-01,10569500000.0
2009-10-01,10572400000.0
2010-01-01,10573700000.0
2010-04-01,10573300000.0
2010-07-01,10572400000.0
2010-10-01,10573000000.0
2011-01-01,10567500000.0
2011-04-01,10561600000.0
2011-07-01,10554900000.0
2011-10-01,10546200000.0
2012-01-01,10534000000.0
2012-04-01,10521400000.0
2012-07-01,10508800000.0
2012-10-01,10495100000.0
2013-01-01,10478800000.0
2013-04-01,10464900000.0
2013-07-01,10450200000.0
2013-10-01,10435300000.0
2014-01-01,10419400000.0
2014-04-01,10406400000.0
2014-07-01,10394700000.0
2014-10-01,10383800000.0
2015-01-01,10374800000.0
2015-04-01,10363800000.0
2015-07-01,10352700000.0
2015-10-01,10341000000.0
2016-01-01,10339000000.0
2016-04-01,10329600000.0
2016-07-01,10320800000.0
2016-10-01,10312500000.0
2017-01-01,10308000000.0
2017-04-01,10301000000.0
2017-07-01,10297200000.0
2017-10-01,10295000000.0
2018-01-01,10284500000.0
2018-04-01,10282600000.0
2018-07-01,10283300000.0
2018-10-01,10284900000.0
2019-01-01,10286100000.0
2019-04-01,10287200000.0
2019-07-01,10286700000.0
2019-10-01,10285000000.0
