date,pop
2000-01-01,22455700.0
2000-04-01,22446700.0
2000-07-01,22446700.0
2000-10-01,22446700.0
2001-01-01,22431400.0
2001-04-01,22419900.0
2001-07-01,22419900.0
2001-10-01,22419900.0
2002-01-01,21837200.0
2002-04-01,21820000.0
2002-07-01,21689900.0
2002-10-01,21669400.0
2003-01-01,21635000.0
2003-04-01,21611800.0
2003-07-01,21590300.0
2003-10-01,21564200.0
2004-01-01,21532300.0
2004-04-01,21504200.0
2004-07-01,21468700.0
2004-10-01,21438900.0
2005-01-01,21396000.0
2005-04-01,21365400.0
2005-07-01,21336300.0
2005-10-01,21305100.0
2006-01-01,21272500.0
2006-04-01,21239600.0
2006-07-01,21210300.0
2006-10-01,21178500.0
2007-01-01,21147300.0
2007-04-01,21112300.0
2007-07-01,20899600.0
2007-10-01,20867000.0
2008-01-01,20653500.0
2008-04-01,20617000.0
2008-07-01,20553900.0
2008-10-01,20521800.0
2009-01-01,20458300.0
2009-04-01,20423000.0
2009-07-01,20382400.0
2009-10-01,20351600.0
2010-01-01,20311600.0
2010-04-01,20280200.0
2010-07-01,20259500.0
2010-10-01,20232600.0
2011-01-01,20213700.0
2011-04-01,20187300.0
2011-07-01,20158500.0
2011-10-01,20134800.0
2012-01-01,20108500.0
2012-04-01,20086500.0
2012-07-01,20069200.0
2012-10-01,20049000.0
2013-01-01,20031500.0
2013-04-01,20010200.0
2013-07-01,19999600.0
2013-10-01,19975900.0
2014-01-01,19965100.0
2014-04-01,19942900.0
2014-07-01,19927400.0
2014-10-01,19903200.0
2015-01-01,19888400.0
2015-04-01,19864800.0
2015-07-01,19833600.0
2015-10-01,19808200.0
2016-01-01,19774400.0
2016-04-01,19749500.0
2016-07-01,19718000.0
2016-10-01,19691800.0
2017-01-01,19658500.0
2017-04-01,19632200.0
2017-07-01,19605200.0
2017-10-01,19577700.0
2018-01-01,19548500.0
2018-04-01,19521000.0
2018-07-01,19497000.0
2018-10-01,19467700.0
2019-01-01,19441500.0
2019-04-01,19412900.0
2019-07-01,19408200.0
2019-10-01,19377100.0
