date,unempl
2000-01-01,-2.082111770235715
2000-04-01,-2.1258345812495465
2000-07-01,-2.137070654516472
2000-10-01,-2.1657259102768487
2001-01-01,-2.2380465718564744
2001-04-01,-2.2537949288246137
2001-07-01,-2.2506253540633345
2001-10-01,-2.24431618487007
2002-01-01,-2.183321672167228
2002-04-01,-2.183321672167228
2002-07-01,-2.1427363920521496
2002-10-01,-2.1541650878757723
2003-01-01,-2.1484344131667874
2003-04-01,-2.1715568305876416
2003-07-01,-2.1599287925925226
2003-10-01,-2.17448509036673
2004-01-01,-2.1892564076870427
2004-04-01,-2.1892564076870427
2004-07-01,-2.210309816884875
2004-10-01,-2.2506253540633345
2005-01-01,-2.312635428847547
2005-04-01,-2.3644604967121334
2005-07-01,-2.449539505950709
2005-10-01,-2.441847160327553
2006-01-01,-2.43802306388915
2006-04-01,-2.4651040224918206
2006-07-01,-2.4929388214852644
2006-10-01,-2.4929388214852644
2007-01-01,-2.501036031717884
2007-04-01,-2.5299040157187362
2007-07-01,-2.49697923102227
2007-10-01,-2.453407982728629
2008-01-01,-2.375155785828881
2008-04-01,-2.2633643798407643
2008-07-01,-2.1599287925925226
2008-10-01,-1.9780890474195485
2009-01-01,-1.7877674479585175
2009-04-01,-1.7222334065794447
2009-07-01,-1.7037485919053417
2009-10-01,-1.6748657177565556
2010-01-01,-1.6485253011421472
2010-04-01,-1.6111059695347973
2010-07-01,-1.6094379124341005
2010-10-01,-1.5978387765907485
2011-01-01,-1.584745299843729
2011-04-01,-1.5718210488627935
2011-07-01,-1.5263230057235937
2011-10-01,-1.4857464400915508
2012-01-01,-1.443923473956527
2012-04-01,-1.40649706843741
2012-07-01,-1.3783261914707137
2012-10-01,-1.352215047467028
2013-01-01,-1.3343346221891794
2013-04-01,-1.3394107752210402
2013-07-01,-1.3445128271049358
2013-10-01,-1.3535045382968995
2014-01-01,-1.374365790254617
2014-04-01,-1.40377967546091
2014-07-01,-1.4215761752645304
2014-10-01,-1.4354846053106625
2015-01-01,-1.4624557220854546
2015-04-01,-1.4931374567379396
2015-07-01,-1.5309348509461567
2015-10-01,-1.5622363109498063
2016-01-01,-1.5880026317140352
2016-04-01,-1.6044503709230613
2016-07-01,-1.6450650900772514
2016-10-01,-1.6748657177565556
2017-01-01,-1.7037485919053417
2017-04-01,-1.75061752589688
2017-07-01,-1.7877674479585175
2017-10-01,-1.791759469228055
2018-01-01,-1.820158943749753
2018-04-01,-1.8664830154239915
2018-07-01,-1.9082932854840065
2018-10-01,-1.9264343725546567
2019-01-01,-1.9495835544216222
2019-04-01,-1.9519282213808764
2019-07-01,-1.9589953886039688
2019-10-01,-1.9756823073889833
