date,pop
2000-01-01,7239400.0
2000-04-01,7249200.0
2000-07-01,7257000.0
2000-10-01,7264800.0
2001-01-01,7272600.0
2001-04-01,7280500.0
2001-07-01,7293800.0
2001-10-01,7307100.0
2002-01-01,7320400.0
2002-04-01,7333700.0
2002-07-01,7347300.0
2002-10-01,7360900.0
2003-01-01,7374400.0
2003-04-01,7388000.0
2003-07-01,7400600.0
2003-10-01,7413200.0
2004-01-01,7425800.0
2004-04-01,7438400.0
2004-07-01,7449400.0
2004-10-01,7460400.0
2005-01-01,7471400.0
2005-04-01,7482400.0
2005-07-01,7493100.0
2005-10-01,7503800.0
2006-01-01,7514400.0
2006-04-01,7525100.0
2006-07-01,7541000.0
2006-10-01,7556900.0
2007-01-01,7572800.0
2007-04-01,7588700.0
2007-07-01,7611500.0
2007-10-01,7634400.0
2008-01-01,7657200.0
2008-04-01,7680100.0
2008-07-01,7703700.0
2008-10-01,7727300.0
2009-01-01,7750900.0
2009-04-01,7774500.0
2009-07-01,7788600.0
2009-10-01,7802700.0
2010-01-01,7816700.0
2010-04-01,7830800.0
2010-07-01,7844900.0
2010-10-01,7858900.0
2011-01-01,7873000.0
2011-04-01,7892500.0
2011-07-01,7917500.0
2011-10-01,7941000.0
2012-01-01,7961500.0
2012-04-01,7981000.0
2012-07-01,8002000.0
2012-10-01,8024500.0
2013-01-01,8047000.0
2013-04-01,8071500.0
2013-07-01,8098500.0
2013-10-01,8124000.0
2014-01-01,8148000.0
2014-04-01,8171500.0
2014-07-01,8197000.0
2014-10-01,8223500.0
2015-01-01,8246000.0
2015-04-01,8279700.000000001
2015-07-01,8306200.000000001
2015-10-01,8325200.000000001
2016-01-01,8341600.0
2016-04-01,8364100.0
2016-07-01,8392000.0
2016-10-01,8417700.0
2017-01-01,8431700.0
2017-04-01,8448600.0
2017-07-01,8465200.0
2017-10-01,8482200.0
2018-01-01,8493000.0
2018-04-01,8508900.0
2018-07-01,8526900.0
2018-10-01,8542300.0
2019-01-01,8555500.0
2019-04-01,8570100.0
2019-07-01,8586500.0
2019-10-01,8603900.0
