LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Period,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,1995-Q1,Q1-1995,PER,Persons,3,Thousands,,,7946.1,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,1995-Q2,Q2-1995,PER,Persons,3,Thousands,,,7947,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,1995-Q3,Q3-1995,PER,Persons,3,Thousands,,,7948.7,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,1995-Q4,Q4-1995,PER,Persons,3,Thousands,,,7951.3,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,1996-Q1,Q1-1996,PER,Persons,3,Thousands,,,7954.7,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,1996-Q2,Q2-1996,PER,Persons,3,Thousands,,,7957.8,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,1996-Q3,Q3-1996,PER,Persons,3,Thousands,,,7960.6,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,1996-Q4,Q4-1996,PER,Persons,3,Thousands,,,7963,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,1997-Q1,Q1-1997,PER,Persons,3,Thousands,,,7965.1,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,1997-Q2,Q2-1997,PER,Persons,3,Thousands,,,7967.1,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,1997-Q3,Q3-1997,PER,Persons,3,Thousands,,,7969,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,1997-Q4,Q4-1997,PER,Persons,3,Thousands,,,7970.9,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,1998-Q1,Q1-1998,PER,Persons,3,Thousands,,,7972.6,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,1998-Q2,Q2-1998,PER,Persons,3,Thousands,,,7975,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,1998-Q3,Q3-1998,PER,Persons,3,Thousands,,,7978,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,1998-Q4,Q4-1998,PER,Persons,3,Thousands,,,7981.6,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,1999-Q1,Q1-1999,PER,Persons,3,Thousands,,,7985.9,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,1999-Q2,Q2-1999,PER,Persons,3,Thousands,,,7990.2,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,1999-Q3,Q3-1999,PER,Persons,3,Thousands,,,7994.5,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,1999-Q4,Q4-1999,PER,Persons,3,Thousands,,,7998.7,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2000-Q1,Q1-2000,PER,Persons,3,Thousands,,,8003,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2000-Q2,Q2-2000,PER,Persons,3,Thousands,,,8008.1,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2000-Q3,Q3-2000,PER,Persons,3,Thousands,,,8014.1,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2000-Q4,Q4-2000,PER,Persons,3,Thousands,,,8021,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2001-Q1,Q1-2001,PER,Persons,3,Thousands,,,8028.7,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2001-Q2,Q2-2001,PER,Persons,3,Thousands,,,8037.2,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2001-Q3,Q3-2001,PER,Persons,3,Thousands,,,8046.6,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2001-Q4,Q4-2001,PER,Persons,3,Thousands,,,8056.7,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2002-Q1,Q1-2002,PER,Persons,3,Thousands,,,8068.3,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2002-Q2,Q2-2002,PER,Persons,3,Thousands,,,8076.7,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2002-Q3,Q3-2002,PER,Persons,3,Thousands,,,8086.8,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2002-Q4,Q4-2002,PER,Persons,3,Thousands,,,8096.7,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2003-Q1,Q1-2003,PER,Persons,3,Thousands,,,8103,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2003-Q2,Q2-2003,PER,Persons,3,Thousands,,,8110,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2003-Q3,Q3-2003,PER,Persons,3,Thousands,,,8123,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2003-Q4,Q4-2003,PER,Persons,3,Thousands,,,8137,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2004-Q1,Q1-2004,PER,Persons,3,Thousands,,,8147.6,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2004-Q2,Q2-2004,PER,Persons,3,Thousands,,,8159.5,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2004-Q3,Q3-2004,PER,Persons,3,Thousands,,,8176.6,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2004-Q4,Q4-2004,PER,Persons,3,Thousands,,,8194.1,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2005-Q1,Q1-2005,PER,Persons,3,Thousands,,,8205.9,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2005-Q2,Q2-2005,PER,Persons,3,Thousands,,,8216.2,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2005-Q3,Q3-2005,PER,Persons,3,Thousands,,,8231.5,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2005-Q4,Q4-2005,PER,Persons,3,Thousands,,,8247.6,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2006-Q1,Q1-2006,PER,Persons,3,Thousands,,,8257.7,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2006-Q2,Q2-2006,PER,Persons,3,Thousands,,,8263.4,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2006-Q3,Q3-2006,PER,Persons,3,Thousands,,,8271,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2006-Q4,Q4-2006,PER,Persons,3,Thousands,,,8279.7,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2007-Q1,Q1-2007,PER,Persons,3,Thousands,,,8285.6,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2007-Q2,Q2-2007,PER,Persons,3,Thousands,,,8290.9,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2007-Q3,Q3-2007,PER,Persons,3,Thousands,,,8298.5,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2007-Q4,Q4-2007,PER,Persons,3,Thousands,,,8305.7,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2008-Q1,Q1-2008,PER,Persons,3,Thousands,,,8311.3,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2008-Q2,Q2-2008,PER,Persons,3,Thousands,,,8317,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2008-Q3,Q3-2008,PER,Persons,3,Thousands,,,8325.1,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2008-Q4,Q4-2008,PER,Persons,3,Thousands,,,8332.9,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2009-Q1,Q1-2009,PER,Persons,3,Thousands,,,8335.7,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2009-Q2,Q2-2009,PER,Persons,3,Thousands,,,8337.6,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2009-Q3,Q3-2009,PER,Persons,3,Thousands,,,8343.1,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2009-Q4,Q4-2009,PER,Persons,3,Thousands,,,8349.5,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2010-Q1,Q1-2010,PER,Persons,3,Thousands,,,8353.8,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2010-Q2,Q2-2010,PER,Persons,3,Thousands,,,8356.7,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2010-Q3,Q3-2010,PER,Persons,3,Thousands,,,8362.5,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2010-Q4,Q4-2010,PER,Persons,3,Thousands,,,8371.4,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2011-Q1,Q1-2011,PER,Persons,3,Thousands,,,8377.6,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2011-Q2,Q2-2011,PER,Persons,3,Thousands,,,8382.5,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2011-Q3,Q3-2011,PER,Persons,3,Thousands,,,8391.2,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2011-Q4,Q4-2011,PER,Persons,3,Thousands,,,8402.8,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2012-Q1,Q1-2012,PER,Persons,3,Thousands,,,8411.8,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2012-Q2,Q2-2012,PER,Persons,3,Thousands,,,8417.9,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2012-Q3,Q3-2012,PER,Persons,3,Thousands,,,8429.9,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2012-Q4,Q4-2012,PER,Persons,3,Thousands,,,8445.7,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2013-Q1,Q1-2013,PER,Persons,3,Thousands,,,8457.5,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2013-Q2,Q2-2013,PER,Persons,3,Thousands,,,8467.7,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2013-Q3,Q3-2013,PER,Persons,3,Thousands,,,8483,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2013-Q4,Q4-2013,PER,Persons,3,Thousands,,,8500.8,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2014-Q1,Q1-2014,PER,Persons,3,Thousands,,,8516.1,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2014-Q2,Q2-2014,PER,Persons,3,Thousands,,,8531.4,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2014-Q3,Q3-2014,PER,Persons,3,Thousands,,,8552.5,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2014-Q4,Q4-2014,PER,Persons,3,Thousands,,,8575.8,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2015-Q1,Q1-2015,PER,Persons,3,Thousands,,,8592.4,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2015-Q2,Q2-2015,PER,Persons,3,Thousands,,,8609.3,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2015-Q3,Q3-2015,PER,Persons,3,Thousands,,,8637.8,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2015-Q4,Q4-2015,PER,Persons,3,Thousands,,,8678.7,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2016-Q1,Q1-2016,PER,Persons,3,Thousands,,,8712.1,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2016-Q2,Q2-2016,PER,Persons,3,Thousands,,,8730.7,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2016-Q3,Q3-2016,PER,Persons,3,Thousands,,,8749.4,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2016-Q4,Q4-2016,PER,Persons,3,Thousands,,,8767,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2017-Q1,Q1-2017,PER,Persons,3,Thousands,,,8776.9,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2017-Q2,Q2-2017,PER,Persons,3,Thousands,,,8785.8,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2017-Q3,Q3-2017,PER,Persons,3,Thousands,,,8800.8,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2017-Q4,Q4-2017,PER,Persons,3,Thousands,,,8816.7,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2018-Q1,Q1-2018,PER,Persons,3,Thousands,,,8824.7,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2018-Q2,Q2-2018,PER,Persons,3,Thousands,,,8830.2,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2018-Q3,Q3-2018,PER,Persons,3,Thousands,,,8841.6,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2018-Q4,Q4-2018,PER,Persons,3,Thousands,,,8854.4,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2019-Q1,Q1-2019,PER,Persons,3,Thousands,,,8862.6,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2019-Q2,Q2-2019,PER,Persons,3,Thousands,,,8869.4,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2019-Q3,Q3-2019,PER,Persons,3,Thousands,,,8882,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2019-Q4,Q4-2019,PER,Persons,3,Thousands,,,8896.6,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2020-Q1,Q1-2020,PER,Persons,3,Thousands,,,8905.3,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2020-Q2,Q2-2020,PER,Persons,3,Thousands,,,8910.8,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2020-Q3,Q3-2020,PER,Persons,3,Thousands,,,8921,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2020-Q4,Q4-2020,PER,Persons,3,Thousands,,,8930.2,,
AUT,Austria,POPNC,Total population,PERSA,"Persons, seasonally adjusted",Q,Quarterly,2021-Q1,Q1-2021,PER,Persons,3,Thousands,,,8933.8,,
