date,country,co2,treatment_dummy,post_dummy,treatment_post_dummy
2014-04-01,france,32520531260.0,1,1,1
2014-05-01,france,29647688570.0,1,1,1
2014-06-01,france,26123835180.0,1,1,1
2014-07-01,france,25329953140.0,1,1,1
2014-08-01,france,24721503870.0,1,1,1
2014-09-01,france,26609343590.0,1,1,1
2014-10-01,france,30760746780.0,1,1,1
2014-11-01,france,38059193050.0,1,1,1
2014-12-01,france,45228682160.0,1,1,1
2015-01-01,france,44487087120.0,1,1,1
2015-02-01,france,44491672230.0,1,1,1
2015-03-01,france,40330436220.0,1,1,1
2015-04-01,france,32568160680.0,1,1,1
2015-05-01,france,27713280880.0,1,1,1
2015-06-01,france,26167227040.0,1,1,1
2015-07-01,france,26282760200.0,1,1,1
2015-08-01,france,25319312460.0,1,1,1
2015-09-01,france,27793676220.0,1,1,1
2015-10-01,france,35591536660.0,1,1,1
2015-11-01,france,37876989330.0,1,1,1
2015-12-01,france,39122853800.0,1,1,1
2016-01-01,france,40715812520.0,1,1,1
2016-02-01,france,39029577850.0,1,1,1
2016-03-01,france,40630040910.0,1,1,1
2016-04-01,france,34775629490.0,1,1,1
2016-05-01,france,29067798250.0,1,1,1
2016-06-01,france,27054041840.0,1,1,1
2016-07-01,france,26825393580.0,1,1,1
2016-08-01,france,26276836040.0,1,1,1
2016-09-01,france,28440107130.0,1,1,1
2016-10-01,france,35420187090.0,1,1,1
2016-11-01,france,40431341810.0,1,1,1
2016-12-01,france,44573434470.0,1,1,1
2017-01-01,france,47893787250.0,1,1,1
2017-02-01,france,38835037610.0,1,1,1
2017-03-01,france,36813315410.0,1,1,1
