date,co2
2011-01-01,10599590150.0
2011-02-01,9928574655.0
2011-03-01,9856865817.0
2011-04-01,8082753981.0
2011-05-01,7410557716.0
2011-06-01,6492970936.0
2011-07-01,6449897709.0
2011-08-01,5891235305.0
2011-09-01,6530542449.0
2011-10-01,8396211444.000001
2011-11-01,9421108362.0
2011-12-01,9742294110.0
2011-01-01,12292478120.0
2011-02-01,11466378620.0
2011-03-01,11157118930.0
2011-04-01,8917941224.0
2011-05-01,8811074501.0
2011-06-01,8202192577.0
2011-07-01,8078715808.0
2011-08-01,7723414195.0
2011-09-01,8065359245.0
2011-10-01,9742666252.0
2011-11-01,10792904630.0
2011-12-01,11365300650.0
2011-01-01,5760347779.0
2011-02-01,5282289793.0
2011-03-01,5402986595.0
2011-04-01,4683475067.0
2011-05-01,4575691710.0
2011-06-01,4542370044.0
2011-07-01,4774619376.0
2011-08-01,4632901289.0
2011-09-01,4627953268.0
2011-10-01,4727124654.0
2011-11-01,5223234203.0
2011-12-01,5217855490.0
2011-01-01,2945915831.0
2011-02-01,2798467415.0
2011-03-01,2607462696.0
2011-04-01,1951771989.0
2011-05-01,1764635981.0
2011-06-01,1715572656.0
2011-07-01,1700417936.0
2011-08-01,1664317184.0
2011-09-01,1752471074.0
2011-10-01,2184311572.0
2011-11-01,2723472944.0
2011-12-01,2732691518.0
2011-01-01,14464266690.0
2011-02-01,13450413130.0
2011-03-01,13565903050.0
2011-04-01,10572506120.0
2011-05-01,9707895844.0
2011-06-01,8388109033.000001
2011-07-01,8478986585.000001
2011-08-01,7938834859.0
2011-09-01,8234273880.000001
2011-10-01,10858469510.0
2011-11-01,12746765750.0
2011-12-01,12753846390.0
2011-01-01,98935192840.0
2011-02-01,92000429640.0
2011-03-01,93105449860.0
2011-04-01,71003689480.0
2011-05-01,65205173540.0
2011-06-01,57079898840.0
2011-07-01,57675455690.0
2011-08-01,53879208240.0
2011-09-01,56015468060.0
2011-10-01,73440409150.0
2011-11-01,86346071350.0
2011-12-01,87134453590.0
2011-01-01,9304088975.0
2011-02-01,8527909680.000001
2011-03-01,8670754702.0
2011-04-01,7324051077.0
2011-05-01,7002730171.0
2011-06-01,6971184353.0
2011-07-01,7263382103.0
2011-08-01,7084296699.0
2011-09-01,7039790566.0
2011-10-01,7071543390.0
2011-11-01,8357407477.999999
2011-12-01,8563631707.0
2011-01-01,6943075491.0
2011-02-01,6536467140.0
2011-03-01,5915406081.0
2011-04-01,4666481741.0
2011-05-01,4575434625.0
2011-06-01,4470182662.0
2011-07-01,4530853768.0
2011-08-01,4468045897.0
2011-09-01,4600128456.0
2011-10-01,5043940045.0
2011-11-01,6436438373.0
2011-12-01,6296018785.0
2011-01-01,48906841960.0
2011-02-01,45260781480.0
2011-03-01,45166256780.0
2011-04-01,35810146190.0
2011-05-01,33038554920.000004
2011-06-01,31930070040.0
2011-07-01,33251574900.0
2011-08-01,31578273300.0
2011-09-01,33878772110.0
2011-10-01,36432226490.0
2011-11-01,41520710080.0
2011-12-01,45178199280.0
2011-01-01,1989439751.0
2011-02-01,2056073697.0
2011-03-01,1978724793.0
2011-04-01,1616059851.0
2011-05-01,1373292532.0
2011-06-01,1161722165.0
2011-07-01,1185939733.0
2011-08-01,1179060587.0
2011-09-01,1308151418.0
2011-10-01,1651897061.0
2011-11-01,1746222134.0
2011-12-01,1761913962.0
2011-01-01,19444529840.0
2011-02-01,18105448450.0
2011-03-01,18328922610.0
2011-04-01,14874255630.0
2011-05-01,13907436540.0
2011-06-01,13101713430.0
2011-07-01,13419861290.0
2011-08-01,13140368940.0
2011-09-01,13105820400.0
2011-10-01,15253614140.0
2011-11-01,16987098139.999998
2011-12-01,17232425090.0
2011-01-01,12267399770.0
2011-02-01,11378802880.0
2011-03-01,11285125760.0
2011-04-01,8907308374.0
2011-05-01,7474108358.0
2011-06-01,6595026918.0
2011-07-01,6560966231.0
2011-08-01,6229427536.0
2011-09-01,6491477537.0
2011-10-01,9165581435.0
2011-11-01,10966774510.0
2011-12-01,10720939370.0
2011-01-01,4532231299.0
2011-02-01,4358118240.0
2011-03-01,4262014199.0
2011-04-01,3611496808.0
2011-05-01,3283259426.0
2011-06-01,2943339328.0
2011-07-01,2867712239.0
2011-08-01,2727838029.0
2011-09-01,2841480424.0
2011-10-01,3681536070.0
2011-11-01,4189224914.000001
2011-12-01,4213987404.000001
2011-01-01,32284953200.0
2011-02-01,29763055290.0
2011-03-01,30072427810.0
2011-04-01,25669685660.0
2011-05-01,25637994450.0
2011-06-01,25450728930.0
2011-07-01,25819478940.0
2011-08-01,25359116370.0
2011-09-01,25484197480.0
2011-10-01,25822116220.0
2011-11-01,28535348330.0
2011-12-01,30813232140.0
