date,austria,belgium,bulgaria,croatia,czech_republic,france,germany,greece,hungary,italy,lithuania,netherlands,romania,slovakia,spain
2014-04-01,7723666310.0,8930982502.0,4008616772.0,1884641585.0,9954118780.0,32520531260.0,71957432630.0,6261682451.0,4325208527.0,32742083850.0,1614243989.0,14425652850.0,8113925197.0,3352224815.0,22253668880.0
2014-05-01,7109312257.0,8339047558.0,4034396196.0,1638064023.0,8688514409.0,29647688570.0,65264730250.0,5870653819.0,4245249677.0,28411492540.0,1439897028.0,13476247960.0,6586667148.0,2975907572.0,22718443990.0
2014-06-01,6318183068.0,7787046309.0,4108664340.000001,1550556127.0,7636277390.0,26123835180.0,57674894820.0,6093748627.0,4185210020.000001,27445944830.0,1321347528.0,12519280270.0,5870813170.0,2753783965.0,23223286650.0
2014-07-01,5968962928.0,7579740252.0,4278736371.0,1526335683.0,7534806124.0,25329953140.0,56485318500.0,6427567459.0,4238198366.0,27647156070.0,1232123717.0,12717661330.0,5773198578.0,2589426060.0,23481253540.0
2014-08-01,6013759283.0,7434637221.0,4235817094.0,1484588050.0,7776311222.0,24721503870.0,57005062690.0,6364501880.0,4152553835.0,26572474740.0,1238462981.0,12325951680.0,5769074716.0,2497833690.0,23280046080.0
2014-09-01,6738557909.0,8156122546.0,4359610538.0,1586887948.0,8587113223.0,26609343590.0,62140759590.0,6131653117.0,4392844317.0,28600002190.0,1418408320.0,12742484510.0,6475606820.0,2833590893.0,23814561890.0
2014-10-01,7994125080.0,9272241973.0,4540693378.0,1859209447.0,10911525910.0,30760746780.0,75963431960.0,6112658283.0,4796876601.0,30602055020.0,1771271205.0,14166823340.0,8779300875.0,3483246761.0,23980254970.0
2014-11-01,8731569727.0,10267100830.0,4582757330.0,2167198760.0,11853218380.0,38059193050.0,85925825070.0,6422700683.0,5455145724.0,35168987280.0,1814533850.0,16294762940.0,9933240838.0,3758879724.0,25435750970.0
2014-12-01,9625298550.0,11580595960.0,4907826837.0,2637024555.0,12762438850.0,45228682160.0,92671578170.0,7122480196.0,6295073011.0,42539253580.0,1856596636.0,17896093800.0,10736511260.0,4018824500.0,28908624740.0
2015-01-01,9661822298.0,11995776960.0,5321749987.0,2629643776.0,13108047810.0,44487087120.0,94584513630.0,7514612925.0,6439937034.0,42647315800.0,1894151477.0,18937144690.0,11015065020.0,4096914972.0,30018465930.0
2015-02-01,9620444935.0,11680047070.0,4808575863.0,2599236484.0,12991043390.0,44491672230.0,94829440680.0,6567317447.0,6007855892.0,41366297930.0,1859469568.0,18337897510.0,10554140610.0,4068242194.0,27379676710.0
2015-03-01,9233919044.0,11070920420.0,4758809416.0,2379805098.0,12474276600.0,40330436220.0,89873656030.0,6543186454.0,5592073542.0,39338080890.0,1893242800.0,17917890280.0,10135244700.0,3944184956.0,25683882090.0
2015-04-01,7969022537.0,9790809596.0,4241191388.0,1969592828.0,10056650780.0,32568160680.0,73064739880.0,5657045746.0,4626812693.0,32975006470.0,1763340188.0,15926503120.0,8187231456.0,3439367588.0,23926216200.0
2015-05-01,6902598979.0,8647111933.0,4067456391.0,1590879508.0,8601515178.0,27713280880.0,63382214970.0,5527272661.0,4389449487.0,27836934810.0,1555789626.0,14078849610.0,6260016817.0,2999197715.0,23290053030.0
2015-06-01,6108242726.0,7685270670.0,4134906967.0,1562725581.0,7487207505.0,26167227040.0,55316568500.0,5674408970.0,4236650337.0,27931553830.0,1379261358.0,12827592290.0,5778544774.0,2731055738.0,24574003000.0
2015-07-01,6032809529.0,7716997055.0,4482141946.0,1564277671.0,7549485106.0,26282760200.0,54892860260.0,6663837836.0,4404571369.0,30857385100.0,1319676882.0,13300391100.0,5754683883.0,2662256950.0,25922734310.0
2015-08-01,5941852485.0,7631975737.0,4376841517.0,1529744590.0,7814464310.0,25319312460.0,56415457850.0,6352816142.0,4421539044.0,28172458110.0,1339965922.0,12990535530.0,5864234791.0,2624015568.0,24652808630.0
2015-09-01,6897561296.0,8739863726.0,4362990935.0,1610096426.0,8809102004.0,27793676220.0,64312048030.0,6123092309.0,4578226832.0,29462278030.0,1526871951.0,13525002170.0,6366078933.0,2887869494.0,24532026050.0
2015-10-01,8366662820.0,10136429440.0,4621208697.0,1995540236.0,10928822940.0,35591536660.0,78917489930.0,6089709606.0,5177527011.0,31910777140.0,1892237501.0,15726375640.0,8766748975.0,3541360430.0,25029626670.0
2015-11-01,8909339209.0,10259418770.0,4866426314.0,2297517672.0,11244813260.0,37876989330.0,79789887980.0,6319269271.0,5847060439.0,36831676500.0,1865912560.0,15950908040.0,9224789751.0,3748014122.0,27194812520.0
2015-12-01,9723033312.0,10210385550.0,5139637193.0,2592478679.0,13005891860.0,39122853800.0,90469040920.0,7710049261.0,6440057384.0,42414628510.0,1917532731.0,15892795930.0,10805552890.0,4118180477.0,28547643800.0
