model,timeframe,timestamp,treatment_country,incl_vars,incl_countries,incl_years,stat,impl_date,months_cor,split_date,n_train,n_test,r2_pre_log_diff_stand,r2_pre_log_diff,r2_pre_log,r2_pre,lasso_alpha,n_pars,lasso_pars,lasso_coefs,normal_errors,shapiro_p,att_mean,att_std,att_sign,att_sign
arco,m,"2023-10-16, 15:29",ireland,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent', 'co2_cap']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,2010-05-01,-24,2008-05-01,88,138,0.0,-0.038,0.495,0.437,0.999,0,[],[],0,0.030580971390008926,0.01823128383053164,0.07073396475024953,1,0.006902762906994006
arco,m,"2023-10-16, 15:30",ireland,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent', 'co2_cap']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,2010-05-01,-21,2008-08-01,91,135,0.0,-0.032,0.54,0.492,0.999,0,[],[],0,0.030580971390008926,0.01696590294367041,0.07073396475024955,1,0.011756719166687012
arco,m,"2023-10-16, 15:30",ireland,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent', 'co2_cap']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,2010-05-01,-18,2008-11-01,94,132,0.0,-0.028,0.571,0.529,0.999,0,[],[],0,0.030580971390008926,0.01604227850406932,0.07073396475024955,1,0.017046159920874736
arco,m,"2023-10-16, 15:30",ireland,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent', 'co2_cap']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,2010-05-01,-15,2009-02-01,97,129,0.0,-0.025,0.588,0.55,0.8,0,[],[],0,0.030580971390008926,0.015476342590469464,0.07073396475024955,1,0.021248802528769217
arco,m,"2023-10-16, 15:30",ireland,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent', 'co2_cap']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,2010-05-01,-12,2009-05-01,100,126,0.0,-0.013,0.674,0.649,0.664,0,[],[],0,0.030580971390008926,0.012041285133574428,0.07073396475024954,1,0.07177557700662587
arco,m,"2023-10-16, 15:30",ireland,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent', 'co2_cap']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,2010-05-01,-9,2009-08-01,103,123,0.0,-0.005,0.727,0.708,0.999,0,[],[],0,0.030580971390008926,0.008532608042900486,0.07073396475024953,0,0.20038720239453886
arco,m,"2023-10-16, 15:30",ireland,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent', 'co2_cap']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,2010-05-01,-6,2009-11-01,106,120,0.0,-0.0,0.743,0.724,0.526,0,[],[],0,0.030580971390008926,0.004595952247645203,0.07073396475024953,0,0.4892657224440732
arco,m,"2023-10-16, 15:31",ireland,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent', 'co2_cap']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,2010-05-01,-3,2010-02-01,109,117,0.0,-0.0,0.737,0.717,0.625,0,[],[],0,0.030580971390008926,0.0029868803693290633,0.07073396475024954,0,0.6529540058741619
arco,m,"2023-10-16, 15:31",ireland,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent', 'co2_cap']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,2010-05-01,0,2010-05-01,112,114,0.0,0.0,0.737,0.717,0.522,0,[],[],0,0.030580971390008926,0.0029579707413999934,0.07073396475024955,0,0.6560929516833512
arco,m,"2023-10-16, 15:31",ireland,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent', 'co2_cap']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,2010-05-01,3,2010-08-01,115,111,0.0,-0.0,0.731,0.711,0.603,0,[],[],0,0.030580971390008926,0.002217474694451197,0.07073396475024954,0,0.7384559851774604
