date,country,co2,treatment_dummy,post_dummy,treatment_post_dummy
2010-05-01,ireland,3351738511.0,1,1,1
2010-06-01,ireland,2924201226.0,1,1,1
2010-07-01,ireland,2824248905.0,1,1,1
2010-08-01,ireland,2878007587.0,1,1,1
2010-09-01,ireland,3009473547.0,1,1,1
2010-10-01,ireland,3505654632.0,1,1,1
2010-11-01,ireland,3971537579.0,1,1,1
2010-12-01,ireland,4583648294.0,1,1,1
2011-01-01,ireland,4063768672.0,1,1,1
2011-02-01,ireland,3428172501.0,1,1,1
2011-03-01,ireland,3837150251.0,1,1,1
2011-04-01,ireland,3196985729.0,1,1,1
2011-05-01,ireland,3035820061.0,1,1,1
2011-06-01,ireland,3002303019.0,1,1,1
2011-07-01,ireland,2830952729.0,1,1,1
2011-08-01,ireland,2900398688.0,1,1,1
2011-09-01,ireland,2772708894.0,1,1,1
2011-10-01,ireland,3217873011.0,1,1,1
2011-11-01,ireland,3285747234.0,1,1,1
2011-12-01,ireland,3617816220.0,1,1,1
2012-01-01,ireland,3562636989.0,1,1,1
2012-02-01,ireland,3467002837.0,1,1,1
2012-03-01,ireland,3493692710.0,1,1,1
2012-04-01,ireland,3538954320.0,1,1,1
2012-05-01,ireland,3262612824.0,1,1,1
2012-06-01,ireland,2942977977.0,1,1,1
2012-07-01,ireland,2831918292.0,1,1,1
2012-08-01,ireland,2624722806.0,1,1,1
2012-09-01,ireland,2931084585.0,1,1,1
2012-10-01,ireland,3547817229.0,1,1,1
2012-11-01,ireland,3727695536.0,1,1,1
2012-12-01,ireland,3634040786.0,1,1,1
2013-01-01,ireland,3571636428.0,1,1,1
2013-02-01,ireland,3493465557.0,1,1,1
2013-03-01,ireland,4035195558.0,1,1,1
2013-04-01,ireland,3525605324.0,1,1,1
