date,austria,belgium,bulgaria,croatia,czech_republic,germany,greece,hungary,ireland,italy,lithuania,netherlands,romania,slovakia,spain
2000-01-01,9726927646.0,13515769470.0,4928316162.0,3078088777.0,15722476940.0,103420781300.0,10448381500.0,7257626701.0,4188590779.0,49277220690.0,1559264754.0,18798186460.0,14154340940.0,5269153288.0,31920310350.0
2000-02-01,8532685058.999999,12871374300.0,4386917057.0,2586918128.0,13901964250.0,92867029860.0,9231248700.0,5949641677.0,3998299432.0,45608406950.0,1470131596.0,17515732510.0,12267129060.0,4567891347.0,27856422790.0
2000-03-01,8134567013.0,12665085380.0,4508010478.0,2456383994.0,13708966530.0,89124675810.0,9336752036.0,5975620560.0,4098188758.0,44544032680.0,1437988322.0,17690690390.0,11074126340.0,4272754063.000001,28857737940.0
2000-04-01,6546737758.0,10983855590.0,4064743312.0,1822786002.0,10826953980.0,72297976100.0,7906574857.0,4774741231.0,4115409105.0,38098758150.0,1170322257.0,15644127650.0,8253911639.0,3213318598.0,27973346380.0
2000-05-01,5603261736.0,9315179888.0,3915583339.0,1583388049.0,9551626366.0,61903313400.0,7657042447.0,4509105089.0,3613861086.0,33651105430.000004,1083703793.0,13136858200.0,7121694392.0,2782593256.0,25280067380.0
2000-06-01,5014335790.0,8931074404.0,3961267358.0,1574508179.0,9034564778.0,57336016450.0,7772991568.0,4444806358.0,3261551996.0,33955628690.0,988539894.5,12570750940.0,6681513527.0,2586328048.0,25976066440.0
2000-07-01,5086068559.0,8688269729.0,3991105473.0,1559893365.0,8688454179.0,58268983970.0,7870545901.0,4413243017.0,3075096115.0,34480655840.0,951717436.4,12844267800.0,6440982688.0,2414125395.0,26231506120.0
2000-08-01,4677045310.0,8228563349.0,4035300787.0,1506478751.0,8709286319.0,55276769030.0,7958760419.0,4571853293.0,3035498640.0,32458328660.0,927696435.2,12525410780.0,6551235501.0,2386298445.0,25712511290.0
2000-09-01,5640955129.0,8622392444.0,4057632349.0,1584056215.0,9930632397.0,62599308250.0,7944331708.0,4501720683.0,3287821207.0,35104383900.0,1155639500.0,12508338140.0,7385415002.0,2822060227.0,27225302600.0
2000-10-01,6713320305.0,10492387550.0,4237516780.0,1800506530.0,11346823320.0,75068330130.0,8153425820.0,4822729934.0,3988294718.0,37068057580.0,1264490718.0,14764337070.0,9177110859.0,3326543997.0,27316449880.0
2000-11-01,7693260028.0,11768392390.0,4316224364.0,2094191894.0,12711678860.0,84820935460.0,8313884956.0,5407609047.0,4127008591.0,41193881960.0,1413457993.0,16335280280.0,9968898649.0,3839336609.0,29218612580.0
2000-12-01,8617632709.0,12466567410.0,4538999463.0,2548401081.0,14128198850.0,92885689980.0,9329511572.0,6443022699.0,4188589906.0,44368728370.0,1565426623.0,17444831770.0,11497683120.0,4524279389.0,28130843300.0
2001-01-01,9542545264.0,13129519360.0,4706746370.0,2715665149.0,15586488790.0,102940513900.0,9552634473.0,6532083063.0,4553918250.0,45779361140.0,1606808546.0,19417749320.0,12907597190.0,4862085855.0,27993758310.0
2001-02-01,8877452527.0,12259469700.0,4312991238.0,2557499507.0,14092391860.0,93508307170.0,8864575785.0,5715006894.0,4274292641.0,44317534850.0,1559455094.0,17852972780.0,11969373400.0,4445421446.0,26726998360.0
