date,country,co2,treatment_dummy,post_dummy,treatment_post_dummy
2012-01-01,austria,9982622708.0,0,0,0
2012-02-01,austria,10673830060.0,0,0,0
2012-03-01,austria,8857567377.0,0,0,0
2012-04-01,austria,7985115547.0,0,0,0
2012-05-01,austria,6829004374.0,0,0,0
2012-06-01,austria,6257926100.0,0,0,0
2012-07-01,austria,5959167952.0,0,0,0
2012-08-01,austria,5924401708.0,0,0,0
2012-09-01,austria,6678332715.0,0,0,0
2012-10-01,austria,8307245199.000001,0,0,0
2012-11-01,austria,8986899630.0,0,0,0
2012-12-01,austria,10358234550.0,0,0,0
2013-01-01,austria,10596340490.0,0,0,0
2013-02-01,austria,9889167663.0,0,0,0
2013-03-01,austria,9781840570.0,0,0,0
2013-04-01,austria,8089162199.0,0,0,0
2013-05-01,austria,7107150290.0,0,0,0
2013-06-01,austria,6337925097.0,0,0,0
2013-07-01,austria,6037485440.0,0,0,0
2013-08-01,austria,5964684141.0,0,0,0
2013-09-01,austria,6844367569.0,0,0,0
2013-10-01,austria,8197145798.0,0,0,0
2013-11-01,austria,9126193719.0,0,0,0
2013-12-01,austria,9581441668.0,0,0,0
2014-01-01,austria,9543098855.0,0,0,0
2014-02-01,austria,9066223924.0,0,0,0
2014-03-01,austria,8593633548.0,0,0,0
2014-04-01,austria,7723666310.0,0,0,0
2014-05-01,austria,7109312257.0,0,0,0
2014-06-01,austria,6318183068.0,0,0,0
2014-07-01,austria,5968962928.0,0,0,0
2014-08-01,austria,6013759283.0,0,0,0
2014-09-01,austria,6738557909.0,0,0,0
2014-10-01,austria,7994125080.0,0,0,0
2014-11-01,austria,8731569727.0,0,0,0
2014-12-01,austria,9625298550.0,0,0,0
2012-01-01,belgium,11280642510.0,0,0,0
2012-02-01,belgium,12932200180.0,0,0,0
2012-03-01,belgium,10337617470.0,0,0,0
2012-04-01,belgium,10111142540.0,0,0,0
2012-05-01,belgium,8314910754.0,0,0,0
2012-06-01,belgium,7997888484.0,0,0,0
2012-07-01,belgium,7847591356.0,0,0,0
2012-08-01,belgium,7681645165.0,0,0,0
2012-09-01,belgium,8263363692.999999,0,0,0
2012-10-01,belgium,9605396896.0,0,0,0
2012-11-01,belgium,10668842980.0,0,0,0
2012-12-01,belgium,11369932130.0,0,0,0
2013-01-01,belgium,12495440710.0,0,0,0
2013-02-01,belgium,12394542940.0,0,0,0
2013-03-01,belgium,12462525430.0,0,0,0
2013-04-01,belgium,10143731700.0,0,0,0
2013-05-01,belgium,9295659702.0,0,0,0
2013-06-01,belgium,7875567075.0,0,0,0
2013-07-01,belgium,7765284432.0,0,0,0
2013-08-01,belgium,7461974268.0,0,0,0
2013-09-01,belgium,7848032705.0,0,0,0
2013-10-01,belgium,8712971749.0,0,0,0
2013-11-01,belgium,10721136230.0,0,0,0
2013-12-01,belgium,11118860660.0,0,0,0
2014-01-01,belgium,10775756000.0,0,0,0
2014-02-01,belgium,10267003860.0,0,0,0
2014-03-01,belgium,10130065750.0,0,0,0
2014-04-01,belgium,8930982502.0,0,0,0
2014-05-01,belgium,8339047558.0,0,0,0
2014-06-01,belgium,7787046309.0,0,0,0
2014-07-01,belgium,7579740252.0,0,0,0
2014-08-01,belgium,7434637221.0,0,0,0
2014-09-01,belgium,8156122546.0,0,0,0
2014-10-01,belgium,9272241973.0,0,0,0
2014-11-01,belgium,10267100830.0,0,0,0
2014-12-01,belgium,11580595960.0,0,0,0
2012-01-01,bulgaria,5388905855.0,0,0,0
2012-02-01,bulgaria,5406125218.0,0,0,0
2012-03-01,bulgaria,4656294071.0,0,0,0
2012-04-01,bulgaria,4083167863.0,0,0,0
2012-05-01,bulgaria,4102384457.0,0,0,0
2012-06-01,bulgaria,4161806138.0,0,0,0
2012-07-01,bulgaria,4327781266.0,0,0,0
2012-08-01,bulgaria,4285754506.0,0,0,0
2012-09-01,bulgaria,4214505053.0,0,0,0
2012-10-01,bulgaria,4489284460.0,0,0,0
2012-11-01,bulgaria,4569096279.0,0,0,0
2012-12-01,bulgaria,5137905939.0,0,0,0
2013-01-01,bulgaria,4896764519.0,0,0,0
2013-02-01,bulgaria,4406272498.0,0,0,0
2013-03-01,bulgaria,4377795665.0,0,0,0
2013-04-01,bulgaria,3866867466.0,0,0,0
2013-05-01,bulgaria,3769932004.0,0,0,0
2013-06-01,bulgaria,3714745728.0,0,0,0
2013-07-01,bulgaria,3998159558.0,0,0,0
2013-08-01,bulgaria,3946984266.0,0,0,0
2013-09-01,bulgaria,4001819294.0,0,0,0
2013-10-01,bulgaria,4246925054.000001,0,0,0
2013-11-01,bulgaria,4242382876.0,0,0,0
2013-12-01,bulgaria,4815634934.0,0,0,0
2014-01-01,bulgaria,4963979854.0,0,0,0
2014-02-01,bulgaria,4349013459.0,0,0,0
2014-03-01,bulgaria,4301238331.0,0,0,0
2014-04-01,bulgaria,4008616772.0,0,0,0
2014-05-01,bulgaria,4034396196.0,0,0,0
2014-06-01,bulgaria,4108664340.000001,0,0,0
2014-07-01,bulgaria,4278736371.0,0,0,0
2014-08-01,bulgaria,4235817094.0,0,0,0
2014-09-01,bulgaria,4359610538.0,0,0,0
2014-10-01,bulgaria,4540693378.0,0,0,0
2014-11-01,bulgaria,4582757330.0,0,0,0
2014-12-01,bulgaria,4907826837.0,0,0,0
2012-01-01,croatia,2748747763.0,0,0,0
2012-02-01,croatia,3118758084.0,0,0,0
2012-03-01,croatia,2252083056.0,0,0,0
2012-04-01,croatia,1998031647.0,0,0,0
2012-05-01,croatia,1647993661.0,0,0,0
2012-06-01,croatia,1625279809.0,0,0,0
2012-07-01,croatia,1615206330.0,0,0,0
2012-08-01,croatia,1588848126.0,0,0,0
2012-09-01,croatia,1646285421.0,0,0,0
2012-10-01,croatia,1936257720.0,0,0,0
2012-11-01,croatia,2144283585.0,0,0,0
2012-12-01,croatia,2780747922.0,0,0,0
2013-01-01,croatia,2749818329.0,0,0,0
2013-02-01,croatia,2650871587.0,0,0,0
2013-03-01,croatia,2612377611.0,0,0,0
2013-04-01,croatia,1924562789.0,0,0,0
2013-05-01,croatia,1638060658.0,0,0,0
2013-06-01,croatia,1595831441.0,0,0,0
2013-07-01,croatia,1590002311.0,0,0,0
2013-08-01,croatia,1558474415.0,0,0,0
2013-09-01,croatia,1634152738.0,0,0,0
2013-10-01,croatia,1850487772.0,0,0,0
2013-11-01,croatia,2284216008.0,0,0,0
2013-12-01,croatia,2642155523.0,0,0,0
2014-01-01,croatia,2495981187.0,0,0,0
2014-02-01,croatia,2319878157.0,0,0,0
2014-03-01,croatia,2216450278.0,0,0,0
2014-04-01,croatia,1884641585.0,0,0,0
2014-05-01,croatia,1638064023.0,0,0,0
2014-06-01,croatia,1550556127.0,0,0,0
2014-07-01,croatia,1526335683.0,0,0,0
2014-08-01,croatia,1484588050.0,0,0,0
2014-09-01,croatia,1586887948.0,0,0,0
2014-10-01,croatia,1859209447.0,0,0,0
2014-11-01,croatia,2167198760.0,0,0,0
2014-12-01,croatia,2637024555.0,0,0,0
2012-01-01,czech_republic,13227404770.0,0,0,0
2012-02-01,czech_republic,14218177830.0,0,0,0
2012-03-01,czech_republic,11808618490.0,0,0,0
2012-04-01,czech_republic,10390027400.0,0,0,0
2012-05-01,czech_republic,8747482897.0,0,0,0
2012-06-01,czech_republic,8139733700.0,0,0,0
2012-07-01,czech_republic,7928519960.0,0,0,0
2012-08-01,czech_republic,7940687031.0,0,0,0
2012-09-01,czech_republic,8658971244.0,0,0,0
2012-10-01,czech_republic,10962653330.0,0,0,0
2012-11-01,czech_republic,11539259170.0,0,0,0
2012-12-01,czech_republic,14687973790.0,0,0,0
2013-01-01,czech_republic,14494021230.0,0,0,0
2013-02-01,czech_republic,12412875310.0,0,0,0
2013-03-01,czech_republic,13070193070.0,0,0,0
2013-04-01,czech_republic,10092988150.0,0,0,0
2013-05-01,czech_republic,8615229235.0,0,0,0
2013-06-01,czech_republic,7536524011.0,0,0,0
2013-07-01,czech_republic,7554046667.0,0,0,0
2013-08-01,czech_republic,7578342984.0,0,0,0
2013-09-01,czech_republic,8556019812.0,0,0,0
2013-10-01,czech_republic,10874427500.0,0,0,0
2013-11-01,czech_republic,11701270510.0,0,0,0
2013-12-01,czech_republic,12107228360.0,0,0,0
2014-01-01,czech_republic,12945760940.0,0,0,0
2014-02-01,czech_republic,12242496680.0,0,0,0
2014-03-01,czech_republic,11605937470.0,0,0,0
2014-04-01,czech_republic,9954118780.0,0,0,0
2014-05-01,czech_republic,8688514409.0,0,0,0
2014-06-01,czech_republic,7636277390.0,0,0,0
2014-07-01,czech_republic,7534806124.0,0,0,0
2014-08-01,czech_republic,7776311222.0,0,0,0
2014-09-01,czech_republic,8587113223.0,0,0,0
2014-10-01,czech_republic,10911525910.0,0,0,0
2014-11-01,czech_republic,11853218380.0,0,0,0
2014-12-01,czech_republic,12762438850.0,0,0,0
2012-01-01,germany,93428488270.0,0,0,0
2012-02-01,germany,101422275200.0,0,0,0
