date,country,co2,treatment_dummy,post_dummy,treatment_post_dummy
2008-01-01,austria,0.0408395181155327,0,1,0
2008-02-01,austria,0.0427968398332119,0,1,0
2008-03-01,austria,0.0406902615129816,0,1,0
2008-04-01,austria,0.0776037249650833,0,1,0
2008-05-01,austria,-0.005031353418591,0,1,0
2008-06-01,austria,-0.0186602951746621,0,1,0
2008-07-01,austria,-0.0220524418675758,0,1,0
2008-08-01,austria,-0.0034070594748563,0,1,0
2008-09-01,austria,0.0143172033702434,0,1,0
2008-10-01,austria,-0.0306212346645331,0,1,0
2008-11-01,austria,-0.053245829103691,0,1,0
2008-12-01,austria,-0.031351603837546,0,1,0
2009-01-01,austria,0.0006030000028935,0,1,0
2009-02-01,austria,-0.0379917529923936,0,1,0
2009-03-01,austria,-0.0676993985209257,0,1,0
2009-04-01,austria,-0.1461402131735418,0,1,0
2009-05-01,austria,-0.0594794108169338,0,1,0
2009-06-01,austria,-0.0303100935396543,0,1,0
2009-07-01,austria,-0.0877910870766705,0,1,0
2009-08-01,austria,-0.1082296391446284,0,1,0
2009-09-01,austria,-0.1415466170729011,0,1,0
2009-10-01,austria,-0.0187410338150399,0,1,0
2009-11-01,austria,-0.0747817597691451,0,1,0
2009-12-01,austria,-0.0279510648759782,0,1,0
2010-01-01,austria,0.0422823060443278,0,1,0
2010-02-01,austria,0.0494980987211697,0,1,0
2010-03-01,austria,0.0743952902534808,0,1,0
2010-04-01,austria,0.1254369593005684,0,1,0
2010-05-01,austria,0.1198721516172831,0,1,0
2010-06-01,austria,0.0782246497997931,0,1,0
2010-07-01,austria,0.1175097770987108,0,1,0
2010-08-01,austria,0.100553005510978,0,1,0
2010-09-01,austria,0.1146610198628579,0,1,0
2010-10-01,austria,0.0567439686776474,0,1,0
2010-11-01,austria,0.0748126812977183,0,1,0
2010-12-01,austria,0.0952367174379134,0,1,0
2008-01-01,germany,0.0370204750157761,0,1,0
2008-02-01,germany,0.0239831073273641,0,1,0
2008-03-01,germany,0.0412799766356997,0,1,0
2008-04-01,germany,0.1307909828765652,0,1,0
2008-05-01,germany,-0.0394689068309297,0,1,0
2008-06-01,germany,-0.036778910917576,0,1,0
2008-07-01,germany,-0.0339877812675268,0,1,0
2008-08-01,germany,-0.0235691151217238,0,1,0
2008-09-01,germany,0.0268481453170004,0,1,0
2008-10-01,germany,-0.0142307173980285,0,1,0
2008-11-01,germany,-0.0467398751544934,0,1,0
2008-12-01,germany,-0.0023968560406508,0,1,0
2009-01-01,germany,0.0589902907188495,0,1,0
2009-02-01,germany,-0.0125714291931444,0,1,0
2009-03-01,germany,-0.0737718347620735,0,1,0
2009-04-01,germany,-0.2400946148827394,0,1,0
2009-05-01,germany,-0.0676441476825999,0,1,0
2009-06-01,germany,-0.0367118202059337,0,1,0
2009-07-01,germany,-0.0762896291596568,0,1,0
2009-08-01,germany,-0.0857010780824474,0,1,0
2009-09-01,germany,-0.1588279644859191,0,1,0
2009-10-01,germany,-0.0596977845440029,0,1,0
2009-11-01,germany,-0.1337958513044839,0,1,0
2009-12-01,germany,-0.0337220095412575,0,1,0
2010-01-01,germany,-0.0271356676821454,0,1,0
2010-02-01,germany,-0.0174522620125294,0,1,0
2010-03-01,germany,0.0423474447796792,0,1,0
2010-04-01,germany,0.1656271921907581,0,1,0
2010-05-01,germany,0.1775493194239636,0,1,0
2010-06-01,germany,0.0618220634850636,0,1,0
2010-07-01,germany,0.1024576997928967,0,1,0
2010-08-01,germany,0.0558340056684123,0,1,0
2010-09-01,germany,0.0966098559250241,0,1,0
2010-10-01,germany,0.0347559312274832,0,1,0
2010-11-01,germany,0.1043993427046707,0,1,0
2010-12-01,germany,0.094442319730394,0,1,0
2008-01-01,italy,0.0349802726571581,0,1,0
2008-02-01,italy,0.0729699592752126,0,1,0
2008-03-01,italy,0.0109813290634868,0,1,0
2008-04-01,italy,0.0770612219574928,0,1,0
2008-05-01,italy,-0.0545201841068418,0,1,0
2008-06-01,italy,-0.0315249501273413,0,1,0
2008-07-01,italy,-0.027176846091212,0,1,0
2008-08-01,italy,-0.0213844843234163,0,1,0
2008-09-01,italy,-0.0094287037055593,0,1,0
2008-10-01,italy,-0.0771991293062974,0,1,0
2008-11-01,italy,-0.0912872648368932,0,1,0
2008-12-01,italy,-0.0499170008809031,0,1,0
2009-01-01,italy,-0.0585689464776386,0,1,0
2009-02-01,italy,-0.0984603540582753,0,1,0
2009-03-01,italy,-0.1134742967058493,0,1,0
2009-04-01,italy,-0.1772493341907157,0,1,0
2009-05-01,italy,-0.1331984566210664,0,1,0
2009-06-01,italy,-0.1342740686248298,0,1,0
2009-07-01,italy,-0.1248115540286498,0,1,0
2009-08-01,italy,-0.092412736553431,0,1,0
2009-09-01,italy,-0.1105797610908361,0,1,0
2009-10-01,italy,-0.047028587005375,0,1,0
2009-11-01,italy,-0.0872951683380804,0,1,0
2009-12-01,italy,-0.0825070435480057,0,1,0
2010-01-01,italy,0.0308227960202671,0,1,0
2010-02-01,italy,-0.0086564000045967,0,1,0
2010-03-01,italy,0.0397616609472137,0,1,0
2010-04-01,italy,0.0459607349705493,0,1,0
2010-05-01,italy,0.0353964705005722,0,1,0
2010-06-01,italy,0.0193207610615608,0,1,0
2010-07-01,italy,0.0469501762605091,0,1,0
2010-08-01,italy,0.0035420885738481,0,1,0
2010-09-01,italy,0.0057511587073051,0,1,0
2010-10-01,italy,0.0059073650801515,0,1,0
2010-11-01,italy,-0.0097552746840818,0,1,0
2010-12-01,italy,0.0418562180559689,0,1,0
