date,country,co2,treatment_dummy,post_dummy,treatment_post_dummy
2013-04-01,united_kingdom,43759810210.0,1,1,1
2013-05-01,united_kingdom,39492115750.0,1,1,1
2013-06-01,united_kingdom,35182539530.0,1,1,1
2013-07-01,united_kingdom,34626912100.0,1,1,1
2013-08-01,united_kingdom,33812462180.000004,1,1,1
2013-09-01,united_kingdom,35881206770.0,1,1,1
2013-10-01,united_kingdom,38980290910.0,1,1,1
2013-11-01,united_kingdom,45346947920.0,1,1,1
2013-12-01,united_kingdom,45116193740.0,1,1,1
2014-01-01,united_kingdom,45449149120.0,1,1,1
2014-02-01,united_kingdom,42564213800.0,1,1,1
2014-03-01,united_kingdom,44076766060.0,1,1,1
2014-04-01,united_kingdom,38985288480.0,1,1,1
2014-05-01,united_kingdom,36493501250.0,1,1,1
2014-06-01,united_kingdom,33138930810.0,1,1,1
2014-07-01,united_kingdom,32948315240.000004,1,1,1
2014-08-01,united_kingdom,32425830080.0,1,1,1
2014-09-01,united_kingdom,34658422710.0,1,1,1
2014-10-01,united_kingdom,39288231410.0,1,1,1
2014-11-01,united_kingdom,42992343450.0,1,1,1
2014-12-01,united_kingdom,46185072640.0,1,1,1
2015-01-01,united_kingdom,45192239530.0,1,1,1
2015-02-01,united_kingdom,44081133550.0,1,1,1
2015-03-01,united_kingdom,43937549290.0,1,1,1
2015-04-01,united_kingdom,39139871340.0,1,1,1
2015-05-01,united_kingdom,36313302180.0,1,1,1
2015-06-01,united_kingdom,32879961050.0,1,1,1
2015-07-01,united_kingdom,31848123640.0,1,1,1
2015-08-01,united_kingdom,31408559560.0,1,1,1
2015-09-01,united_kingdom,34721703070.0,1,1,1
2015-10-01,united_kingdom,39144080790.0,1,1,1
2015-11-01,united_kingdom,40246765140.0,1,1,1
2015-12-01,united_kingdom,39429628680.0,1,1,1
2016-01-01,united_kingdom,41522125250.0,1,1,1
2016-02-01,united_kingdom,40678922650.0,1,1,1
2016-03-01,united_kingdom,42003529780.0,1,1,1
