date,co2
2010-01-01,10763054880.0
2010-02-01,10033818480.0
2010-03-01,9546160182.0
2010-04-01,8129422099.0
2010-05-01,7303756335.0
2010-06-01,6629090453.0
2010-07-01,6386995375.0
2010-08-01,6111034447.0
2010-09-01,7173825940.0
2010-10-01,8896324570.0
2010-11-01,9266729148.0
2010-12-01,10739440600.0
2010-01-01,13581055000.0
2010-02-01,12315340820.0
2010-03-01,11711498110.0
2010-04-01,10358811400.0
2010-05-01,9883366101.0
2010-06-01,8606581759.0
2010-07-01,8646206429.0
2010-08-01,8234311126.000001
2010-09-01,8700840542.0
2010-10-01,10375927120.0
2010-11-01,11388204960.0
2010-12-01,13527779990.0
2010-01-01,5149333824.0
2010-02-01,4646878357.0
2010-03-01,4619318418.0
2010-04-01,4191118287.0
2010-05-01,4095232258.0
2010-06-01,4084520530.0
2010-07-01,4332961169.0
2010-08-01,4246799587.000001
2010-09-01,4328662648.0
2010-10-01,4578001326.0
2010-11-01,4396559647.0
2010-12-01,5005573784.0
2010-01-01,3132892374.0
2010-02-01,2788791700.0
2010-03-01,2656230407.0
2010-04-01,2117241222.0
2010-05-01,1791744777.0
2010-06-01,1753555995.0
2010-07-01,1753755182.0
2010-08-01,1698480748.0
2010-09-01,1785411365.0
2010-10-01,2306968027.0
2010-11-01,2353729124.0
2010-12-01,3040034769.0
2010-01-01,14461503620.0
2010-02-01,13088777670.0
2010-03-01,12698034580.0
2010-04-01,10489004100.0
2010-05-01,9404137850.0
2010-06-01,8504674402.000001
2010-07-01,8558946737.0
2010-08-01,8250426984.0
2010-09-01,9520195284.0
2010-10-01,11752079520.0
2010-11-01,11979630800.0
2010-12-01,14330350630.0
2010-01-01,100649957900.0
2010-02-01,90433493790.0
2010-03-01,86317685790.0
2010-04-01,73851153960.0
2010-05-01,69118363880.0
2010-06-01,59011686570.0
2010-07-01,58488971390.0
2010-08-01,55629972800.0
2010-09-01,63707365460.0
2010-10-01,78909633830.0
2010-11-01,84032998070.0
2010-12-01,100916860100.0
2010-01-01,9343367668.0
2010-02-01,8192715609.000001
2010-03-01,8134539392.0
2010-04-01,7488447531.0
2010-05-01,7422877418.0
2010-06-01,7457663815.0
2010-07-01,8052079455.0
2010-08-01,8069636991.0
2010-09-01,7629068359.0
2010-10-01,7690823472.0
2010-11-01,7263851321.0
2010-12-01,8520737223.0
2010-01-01,7200674959.0
2010-02-01,6255900265.0
2010-03-01,5807502881.0
2010-04-01,4738507947.0
2010-05-01,4618948851.0
2010-06-01,4498732381.0
2010-07-01,4482041296.0
2010-08-01,4370469322.0
2010-09-01,4637634773.0
2010-10-01,5588795228.0
2010-11-01,5505537654.0
2010-12-01,7132945247.0
2010-01-01,51683851570.0
2010-02-01,46625498810.0
2010-03-01,46348981700.0
2010-04-01,38259723780.0
2010-05-01,32735968220.0
2010-06-01,32297427850.0
2010-07-01,34252329070.0
2010-08-01,31850465100.0
2010-09-01,33453390870.000004
2010-10-01,38318927200.0
2010-11-01,42134280740.0
2010-12-01,50626210200.0
2010-01-01,2037359664.0
2010-02-01,1786044499.0
2010-03-01,1773303624.0
2010-04-01,1542367287.0
2010-05-01,1358044913.0
2010-06-01,1232796160.0
2010-07-01,1188463131.0
2010-08-01,1165833631.0
2010-09-01,1351357308.0
2010-10-01,1689651239.0
2010-11-01,1718433671.0
2010-12-01,1995562976.0
2010-01-01,21017148570.0
2010-02-01,19162053170.0
2010-03-01,18344068500.0
2010-04-01,16350784020.0
2010-05-01,15352250230.0
2010-06-01,13576459020.0
2010-07-01,13983820600.0
2010-08-01,13648052950.0
2010-09-01,13708260730.0
2010-10-01,15722663520.0
2010-11-01,17510969210.0
2010-12-01,20195971030.0
2010-01-01,12041412130.0
2010-02-01,10643302010.0
2010-03-01,10230824420.0
2010-04-01,8108937614.0
2010-05-01,6569283744.0
2010-06-01,6193211735.0
2010-07-01,6088090109.0
2010-08-01,5939809667.0
2010-09-01,6604756788.0
2010-10-01,9417635914.0
2010-11-01,8995882252.0
2010-12-01,11656001090.0
2010-01-01,4749983094.0
2010-02-01,4458324909.0
2010-03-01,4274101044.0
2010-04-01,3704035836.0
2010-05-01,3241789987.0
2010-06-01,2971875124.0
2010-07-01,2891713458.0
2010-08-01,2760895972.0
2010-09-01,3174701162.0
2010-10-01,4008171399.0
2010-11-01,4034008733.0
2010-12-01,4784691103.0
2010-01-01,29951515140.0
2010-02-01,27919733320.0
2010-03-01,27366364840.0
2010-04-01,24975865630.0
2010-05-01,24637214620.0
2010-06-01,24954588060.0
2010-07-01,25999815830.0
2010-08-01,25291664130.0
2010-09-01,26383672950.0
2010-10-01,26070100730.0
2010-11-01,28491558050.0
2010-12-01,29741512700.0
