series,log,diff_level,diff_order,regression,stationary,p_value
brent,0,0,1,c,0.0,0.18470177102908858
brent,0,0,1,ct,0.0,0.46331019494504133
brent,0,0,1,ctt,0.0,0.14570179718578397
brent,0,0,1,n,0.0,0.39817114997541064
brent,0,0,2,c,0.0,0.18470177102908858
brent,0,0,2,ct,0.0,0.46331019494504133
brent,0,0,2,ctt,0.0,0.14570179718578397
brent,0,0,2,n,0.0,0.39817114997541064
brent,0,1,1,c,1.0,6.998274904205244e-19
brent,0,1,2,c,1.0,1.5497604451132589e-09
brent,0,2,1,c,1.0,3.883770884758536e-05
brent,0,2,2,c,1.0,6.386628383166029e-09
brent,0,12,1,c,0.0,0.10291056774014168
brent,0,12,1,ct,0.0,0.23207275585624015
brent,0,12,1,ctt,0.0,0.46018815727937135
brent,0,12,1,n,1.0,0.010841284684218268
brent,0,12,2,c,1.0,0.002386173622310269
brent,0,24,1,c,0.0,0.050972762004615604
brent,0,24,1,ct,0.0,0.13354914890393937
brent,0,24,1,ctt,0.0,0.31072784945521614
brent,0,24,1,n,1.0,0.0046931750632088
brent,0,24,2,c,1.0,0.04109355702675031
brent,1,0,1,c,0.0,0.2900766303758474
brent,1,0,1,ct,0.0,0.630510935863581
brent,1,0,1,ctt,0.0,0.1778434656835866
brent,1,0,1,n,0.0,0.7389049232543226
brent,1,0,2,c,0.0,0.2900766303758474
brent,1,0,2,ct,0.0,0.630510935863581
brent,1,0,2,ctt,0.0,0.1778434656835866
brent,1,0,2,n,0.0,0.7389049232543226
brent,1,1,1,c,1.0,4.402146313637615e-23
brent,1,1,2,c,1.0,9.491253658644095e-16
brent,1,2,1,c,1.0,8.314802684664657e-05
brent,1,2,2,c,1.0,1.841692614570333e-09
brent,1,12,1,c,0.0,0.07477003134675624
brent,1,12,1,ct,0.0,0.1373450948393058
brent,1,12,1,ctt,0.0,0.30521731174021255
brent,1,12,1,n,1.0,0.008617385231251112
brent,1,12,2,c,1.0,0.011797134558845209
brent,1,24,1,c,0.0,0.08123696621113607
brent,1,24,1,ct,0.0,0.10352127870338163
brent,1,24,1,ctt,0.0,0.22467790303565305
brent,1,24,1,n,1.0,0.011341234972344202
brent,1,24,2,c,1.0,0.03609081671792617
co2,0,0,1,c,0.07692307692307693,0.5894407037067368
co2,0,0,1,ct,0.08333333333333333,0.2085669418336994
co2,0,0,1,ctt,0.0,0.4730796876401934
co2,0,0,1,n,0.0,0.4860004480109397
co2,0,0,2,c,0.07692307692307693,0.5894407037067368
co2,0,0,2,ct,0.08333333333333333,0.2085669418336994
co2,0,0,2,ctt,0.0,0.4730796876401934
co2,0,0,2,n,0.0,0.4860004480109397
co2,0,1,1,c,1.0,0.0010017260869325194
co2,0,1,2,c,1.0,1.2535387323863973e-16
co2,0,2,1,c,1.0,0.0009661925930447508
co2,0,2,2,c,1.0,1.1021229653922954e-11
co2,0,12,1,c,0.9230769230769231,0.013747175373979792
co2,0,12,1,ct,0.0,0.20975686124087067
co2,0,12,1,ctt,1.0,0.04558646858900898
co2,0,12,2,c,1.0,0.00028399231887269935
co2,0,24,1,c,0.6923076923076923,0.038436943851512355
co2,0,24,1,ct,0.0,0.31032121325561224
co2,0,24,1,ctt,0.5,0.13807954069877953
co2,0,24,1,n,1.0,0.013329143810208721
co2,0,24,2,c,0.9230769230769231,0.017381181393975074
co2,0,24,2,ct,0.0,0.33677029803731506
co2,0,24,2,ctt,0.0,0.58776121835436
co2,0,24,2,n,1.0,0.012321403444040958
co2,1,0,1,c,0.07692307692307693,0.5682457486220165
co2,1,0,1,ct,0.08333333333333333,0.19324618917916955
co2,1,0,1,ctt,0.0,0.4549825031924772
co2,1,0,1,n,0.09090909090909091,0.5013542959385
co2,1,0,2,c,0.07692307692307693,0.5682457486220165
co2,1,0,2,ct,0.08333333333333333,0.19324618917916955
co2,1,0,2,ctt,0.0,0.4549825031924772
co2,1,0,2,n,0.09090909090909091,0.5013542959385
co2,1,1,1,c,1.0,0.0024045243898135806
co2,1,1,2,c,1.0,3.4798365111171423e-17
co2,1,2,1,c,1.0,0.0018617873599856942
co2,1,2,2,c,1.0,7.706595796548105e-11
co2,1,12,1,c,0.7692307692307693,0.027469512939359956
co2,1,12,1,ct,0.0,0.2269819900851675
co2,1,12,1,ctt,0.3333333333333333,0.24210799998275856
co2,1,12,1,n,0.5,0.054048939313166976
co2,1,12,2,c,1.0,0.0006348858664636237
co2,1,24,1,c,0.6153846153846154,0.06208484128881188
co2,1,24,1,ct,0.0,0.33663914773716525
co2,1,24,1,ctt,0.6,0.13206605125866916
co2,1,24,1,n,1.0,0.017969022111275205
co2,1,24,2,c,0.8461538461538461,0.031232829148533522
co2,1,24,2,ct,0.0,0.41976768975456513
co2,1,24,2,ctt,0.0,0.6622044281329356
co2,1,24,2,n,1.0,0.02663086317157575
co2_cap,0,0,1,c,0.0,0.7219240428926269
co2_cap,0,0,1,ct,0.15384615384615385,0.24960205480157394
co2_cap,0,0,1,ctt,0.18181818181818182,0.42024292147090525
co2_cap,0,0,1,n,0.1111111111111111,0.48266649412623785
co2_cap,0,0,2,c,0.0,0.7219240428926269
co2_cap,0,0,2,ct,0.15384615384615385,0.24960205480157394
co2_cap,0,0,2,ctt,0.18181818181818182,0.42024292147090525
co2_cap,0,0,2,n,0.1111111111111111,0.48266649412623785
co2_cap,0,1,1,c,1.0,9.281133030761212e-05
co2_cap,0,1,2,c,1.0,1.3236565733929174e-16
co2_cap,0,2,1,c,1.0,0.0008898091374918434
co2_cap,0,2,2,c,1.0,1.3755317589567817e-11
co2_cap,0,12,1,c,0.9230769230769231,0.011182000740080486
co2_cap,0,12,1,ct,0.0,0.1921145902656748
co2_cap,0,12,1,ctt,1.0,0.04465665025763739
co2_cap,0,12,2,c,1.0,0.0002701414630595451
co2_cap,0,24,1,c,0.7692307692307693,0.03364486064800838
co2_cap,0,24,1,ct,0.0,0.3525801788002059
co2_cap,0,24,1,ctt,0.6666666666666666,0.13530836339941668
co2_cap,0,24,1,n,1.0,0.014315558360018035
co2_cap,0,24,2,c,0.9230769230769231,0.01685158174523383
co2_cap,0,24,2,ct,0.0,0.33788543171929586
co2_cap,0,24,2,ctt,0.0,0.5982301960148813
co2_cap,0,24,2,n,1.0,0.011734606089023469
co2_cap,1,0,1,c,0.0,0.698797630289759
