,country,series,log,diff_level,diff_order,regression,stationary,p_value
0,austria,co2,0,0,1,c,1,0.03829866125671928
1,austria,co2,0,0,2,c,1,0.03829866125671928
2,austria,co2,0,1,1,c,1,1.4041891144522713e-08
3,austria,co2,0,1,2,c,1,3.60491444939367e-10
4,austria,co2,0,2,1,c,0,0.24337873056221315
5,austria,co2,0,2,2,c,1,0.0031007106347405366
6,austria,co2,0,4,1,c,0,0.2364337244565039
7,austria,co2,0,4,2,c,1,0.002399495102349884
8,austria,co2,0,8,1,c,1,0.00025843033072346514
9,austria,co2,0,8,2,c,0,0.1279167733019843
10,austria,co2,1,0,1,c,1,0.04388452436254984
11,austria,co2,1,0,2,c,1,0.04388452436254984
12,austria,co2,1,1,1,c,0,0.28555857682827396
13,austria,co2,1,1,2,c,1,1.159672210698655e-10
14,austria,co2,1,2,1,c,0,0.27774281211725227
15,austria,co2,1,2,2,c,1,0.005427831454949997
16,austria,co2,1,4,1,c,0,0.2732615383248138
17,austria,co2,1,4,2,c,1,0.0006209822602252285
18,austria,co2,1,8,1,c,0,0.32447019497188656
19,austria,co2,1,8,2,c,0,0.19325920882641412
20,austria,gdp,0,0,1,c,0,0.9986088521210239
21,austria,gdp,0,0,2,c,0,0.9986088521210239
22,austria,gdp,0,1,1,c,1,1.120339220428604e-05
23,austria,gdp,0,1,2,c,1,1.1204160269968212e-09
24,austria,gdp,0,2,1,c,1,0.0002064481815617534
25,austria,gdp,0,2,2,c,1,0.006420446233504053
26,austria,gdp,0,4,1,c,0,0.16058002447109382
27,austria,gdp,0,4,2,c,1,0.005672843552430394
28,austria,gdp,0,8,1,c,0,0.33728555823199086
29,austria,gdp,0,8,2,c,1,0.03281990015235761
30,austria,gdp,1,0,1,c,0,0.9641521876191924
31,austria,gdp,1,0,2,c,0,0.9641521876191924
32,austria,gdp,1,1,1,c,1,1.524695138165028e-06
33,austria,gdp,1,1,2,c,1,1.9176789954020213e-11
34,austria,gdp,1,2,1,c,1,0.007029210974011916
35,austria,gdp,1,2,2,c,1,0.005195826047775865
36,austria,gdp,1,4,1,c,0,0.40807565252991473
37,austria,gdp,1,4,2,c,1,0.0032641085993628943
38,austria,gdp,1,8,1,c,1,0.025064294250183684
39,austria,gdp,1,8,2,c,1,0.022535753179896225
40,austria,pop,0,0,1,c,0,0.9941502146877523
41,austria,pop,0,0,2,c,0,0.9941502146877523
42,austria,pop,0,1,1,c,0,0.19427027813052966
43,austria,pop,0,1,2,c,1,0.049531113106420714
44,austria,pop,0,2,1,c,0,0.43208668041630066
45,austria,pop,0,2,2,c,0,0.7082201462628142
46,austria,pop,0,4,1,c,0,0.41010834667593976
47,austria,pop,0,4,2,c,0,0.40119089001469077
48,austria,pop,0,8,1,c,1,0.0038733821306724476
49,austria,pop,0,8,2,c,1,0.01367671841582155
50,austria,pop,1,0,1,c,0,0.9926200784272646
51,austria,pop,1,0,2,c,0,0.9926200784272646
52,austria,pop,1,1,1,c,0,0.18256389353638275
53,austria,pop,1,1,2,c,1,0.04550804118467313
54,austria,pop,1,2,1,c,0,0.3915558801403321
55,austria,pop,1,2,2,c,0,0.6903711667950513
56,austria,pop,1,4,1,c,0,0.37102347448494505
57,austria,pop,1,4,2,c,0,0.40462516933460546
58,austria,pop,1,8,1,c,1,0.002824688482879205
59,austria,pop,1,8,2,c,1,0.013909883459247043
60,belgium,co2,0,0,1,c,0,0.8256428458935887
61,belgium,co2,0,0,2,c,0,0.8256428458935887
62,belgium,co2,0,1,1,c,0,0.08619608512447074
63,belgium,co2,0,1,2,c,1,2.9130840168359354e-13
64,belgium,co2,0,2,1,c,0,0.09540582765697098
65,belgium,co2,0,2,2,c,1,1.493558430823826e-05
66,belgium,co2,0,4,1,c,0,0.08303766270892726
67,belgium,co2,0,4,2,c,1,0.014336300201909194
68,belgium,co2,0,8,1,c,0,0.13875224517435647
69,belgium,co2,0,8,2,c,0,0.05725673890286267
70,belgium,co2,1,0,1,c,0,0.8234866077745178
71,belgium,co2,1,0,2,c,0,0.8234866077745178
72,belgium,co2,1,1,1,c,0,0.10590492976387822
73,belgium,co2,1,1,2,c,1,2.3270433687094424e-14
74,belgium,co2,1,2,1,c,0,0.10415976616284128
75,belgium,co2,1,2,2,c,1,0.008225373117009032
76,belgium,co2,1,4,1,c,0,0.09319317531707683
77,belgium,co2,1,4,2,c,1,0.025567861005029075
78,belgium,co2,1,8,1,c,0,0.14539923476223127
79,belgium,co2,1,8,2,c,0,0.05611828981292654
80,belgium,gdp,0,0,1,c,0,1.0
81,belgium,gdp,0,0,2,c,0,1.0
82,belgium,gdp,0,1,1,c,1,0.017964470616249995
83,belgium,gdp,0,1,2,c,1,0.003474873839344851
84,belgium,gdp,0,2,1,c,0,0.9623060693519173
85,belgium,gdp,0,2,2,c,1,0.00145107832088501
86,belgium,gdp,0,4,1,c,0,0.989221549654863
87,belgium,gdp,0,4,2,c,1,0.004306659513342713
88,belgium,gdp,0,8,1,c,0,0.9813037916339289
89,belgium,gdp,0,8,2,c,0,0.06849010164200484
90,belgium,gdp,1,0,1,c,0,0.9931101747959582
91,belgium,gdp,1,0,2,c,0,0.9931101747959582
92,belgium,gdp,1,1,1,c,1,6.530847244118582e-07
93,belgium,gdp,1,1,2,c,1,0.0012436618649396772
94,belgium,gdp,1,2,1,c,1,0.006158976326852133
95,belgium,gdp,1,2,2,c,1,0.0002813484604570549
96,belgium,gdp,1,4,1,c,0,0.4380839467351876
97,belgium,gdp,1,4,2,c,1,0.0006084045445687753
98,belgium,gdp,1,8,1,c,0,0.08391428364215592
99,belgium,gdp,1,8,2,c,1,0.014745015666559837
100,belgium,pop,0,0,1,c,0,0.9217587671143191
101,belgium,pop,0,0,2,c,0,0.9217587671143191
102,belgium,pop,0,1,1,c,1,0.025753777288121914
103,belgium,pop,0,1,2,c,1,8.574438712048433e-29
104,belgium,pop,0,2,1,c,0,0.14161643359196607
105,belgium,pop,0,2,2,c,1,0.022631425960100426
106,belgium,pop,0,4,1,c,0,0.26043562858156627
107,belgium,pop,0,4,2,c,0,0.4527530806277174
108,belgium,pop,0,8,1,c,0,0.3848933052348637
109,belgium,pop,0,8,2,c,0,0.5231980091420867
110,belgium,pop,1,0,1,c,0,0.8832516466541136
111,belgium,pop,1,0,2,c,0,0.8832516466541136
112,belgium,pop,1,1,1,c,1,0.02730244011582983
113,belgium,pop,1,1,2,c,1,9.033365449631321e-29
114,belgium,pop,1,2,1,c,0,0.15360092126490776
115,belgium,pop,1,2,2,c,1,0.024434421569244618
116,belgium,pop,1,4,1,c,0,0.2844336441453521
117,belgium,pop,1,4,2,c,0,0.45959529954315265
118,belgium,pop,1,8,1,c,0,0.42548933540438394
119,belgium,pop,1,8,2,c,0,0.5246962984479909
120,bulgaria,co2,0,0,1,c,1,0.0010647462202738995
121,bulgaria,co2,0,0,2,c,1,0.0010647462202738995
122,bulgaria,co2,0,1,1,c,1,0.02020990881978279
123,bulgaria,co2,0,1,2,c,1,5.378447354261913e-07
124,bulgaria,co2,0,2,1,c,1,0.0014892938765804456
125,bulgaria,co2,0,2,2,c,1,0.00034804144745261115
126,bulgaria,co2,0,4,1,c,1,0.0011951175218133702
127,bulgaria,co2,0,4,2,c,1,0.01891372309782712
128,bulgaria,co2,0,8,1,c,0,0.08975098814142302
129,bulgaria,co2,0,8,2,c,0,0.05810627790604477
130,bulgaria,co2,1,0,1,c,1,0.0004481048043956431
131,bulgaria,co2,1,0,2,c,1,0.0004481048043956431
132,bulgaria,co2,1,1,1,c,1,0.008047378323242215
133,bulgaria,co2,1,1,2,c,1,2.1985513387700255e-07
134,bulgaria,co2,1,2,1,c,1,0.001012802280508643
135,bulgaria,co2,1,2,2,c,1,0.00027849092564234337
136,bulgaria,co2,1,4,1,c,1,0.0008562433107792517
137,bulgaria,co2,1,4,2,c,1,0.02422191191447501
138,bulgaria,co2,1,8,1,c,0,0.09869491832198957
139,bulgaria,co2,1,8,2,c,0,0.08169383444894113
140,bulgaria,gdp,0,0,1,c,0,0.9972692663806831
141,bulgaria,gdp,0,0,2,c,0,0.9972692663806831
142,bulgaria,gdp,0,1,1,c,0,0.06502538375355538
143,bulgaria,gdp,0,1,2,c,1,1.0253898447097918e-06
144,bulgaria,gdp,0,2,1,c,0,0.8832047801657875
145,bulgaria,gdp,0,2,2,c,0,0.2782179186897532
146,bulgaria,gdp,0,4,1,c,0,0.7629273085291157
147,bulgaria,gdp,0,4,2,c,0,0.39621765794211206
148,bulgaria,gdp,0,8,1,c,0,0.8424145949889663
149,bulgaria,gdp,0,8,2,c,0,0.34027250788624275
150,bulgaria,gdp,1,0,1,c,0,0.6463749185501817
151,bulgaria,gdp,1,0,2,c,0,0.6463749185501817
152,bulgaria,gdp,1,1,1,c,1,0.012625563259625135
153,bulgaria,gdp,1,1,2,c,1,5.324313902145319e-07
154,bulgaria,gdp,1,2,1,c,0,0.6020950190203271
155,bulgaria,gdp,1,2,2,c,0,0.26925391111559005
156,bulgaria,gdp,1,4,1,c,0,0.4496283122829311
157,bulgaria,gdp,1,4,2,c,0,0.27212568047106594
158,bulgaria,gdp,1,8,1,c,0,0.533200034716696
159,bulgaria,gdp,1,8,2,c,0,0.19832552046204244
160,bulgaria,pop,0,0,1,c,0,0.9268373584897974
161,bulgaria,pop,0,0,2,c,0,0.9268373584897974
162,bulgaria,pop,0,1,1,c,1,4.40762016034055e-08
163,bulgaria,pop,0,1,2,c,1,1.034607138792551e-15
164,bulgaria,pop,0,2,1,c,1,0.015186589561885112
165,bulgaria,pop,0,2,2,c,1,0.0006163521268510551
166,bulgaria,pop,0,4,1,c,1,0.012648051998414797
167,bulgaria,pop,0,4,2,c,1,0.00018743951464923563
168,bulgaria,pop,0,8,1,c,1,5.524708533661373e-06
169,bulgaria,pop,0,8,2,c,1,0.04647980242167158
170,bulgaria,pop,1,0,1,c,0,0.5257834428297828
171,bulgaria,pop,1,0,2,c,0,0.5257834428297828
172,bulgaria,pop,1,1,1,c,1,0.0013273758608547768
173,bulgaria,pop,1,1,2,c,1,2.557362175932618e-15
174,bulgaria,pop,1,2,1,c,1,0.015812756505208542
175,bulgaria,pop,1,2,2,c,1,0.0006454131157431223
176,bulgaria,pop,1,4,1,c,1,0.011276504498237088
177,bulgaria,pop,1,4,2,c,1,0.00019220443461405052
