series,log,diff_level,regression,stationary,p_value
co2,0,0,c,0.10526315789473684,0.5814043162795283
co2,0,1,c,1.0,0.0008876253211520017
co2,0,2,c,1.0,0.0009084414367869338
co2,1,0,c,0.15789473684210525,0.5704075292554002
co2,1,1,c,1.0,0.0015583197118785427
co2,1,2,c,1.0,0.0012335614509007362
gdp,0,0,c,0.0,0.9380281143296431
gdp,0,1,c,0.631578947368421,0.10370577065322066
gdp,0,2,c,0.42105263157894735,0.17191172444639097
gdp,1,0,c,0.0,0.7960475795173604
gdp,1,1,c,0.8421052631578947,0.048487125765383
gdp,1,2,c,0.7368421052631579,0.06909469020531574
pop,0,0,c,0.15789473684210525,0.5834751727673356
pop,0,1,c,0.3684210526315789,0.2574768962007569
pop,0,2,c,0.2631578947368421,0.2893442120689327
pop,1,0,c,0.15789473684210525,0.5729114819808986
pop,1,1,c,0.3684210526315789,0.25983657953126665
pop,1,2,c,0.2631578947368421,0.28961903885708756
